Id,Desc,,Type,Name,,FullPathName,SuchName,PanLevel,Volume,MinDistance,Spread,IsLoop,Delay,FadeInTime,FadeOutTime,CurMaxPlayingCount,Priority
8120000,,,1,sound_name_8120000,登录,a_sound_bgm/bgm_DengLu,bgm_DengLu,0,0.8,1,0,1,0,0.5,0.5,1,0
8120001,,,1,sound_name_8120001,星海往事,a_sound_bgm/bgm_BianNianShi_01_star_ocean_past,bgm_BianNianShi_01_star_ocean_past,0,0.8,1,0,1,0,0.5,0.5,1,0
8120002,,,1,sound_name_8120002,创世纪,a_sound_bgm/bgm_BianNianShi_02_genesis,bgm_BianNianShi_02_genesis,0,0.8,1,0,1,0,0.5,0.5,1,0
8120003,,,1,sound_name_8120003,禁忌之轮,a_sound_bgm/bgm_BianNianShi_03_taboo_and_betrayal,bgm_BianNianShi_03_taboo_and_betrayal,0,0.8,1,0,1,0,0.5,0.5,1,0
8120004,,,1,sound_name_8120004,上古之战,a_sound_bgm/bgm_BianNianShi_04_battle_of_the_ancients,bgm_BianNianShi_04_battle_of_the_ancients,0,0.8,1,0,1,0,0.5,0.5,1,0
8120005,,,1,sound_name_8120005,杰西斯之约,a_sound_bgm/bgm_BianNianShi_05_appointment_with_jessis,bgm_BianNianShi_05_appointment_with_jessis,0,0.8,1,0,1,0,0.5,0.5,1,0
8120006,,,1,sound_name_8120006,物种洗牌,a_sound_bgm/bgm_BianNianShi_06_species_shuffle,bgm_BianNianShi_06_species_shuffle,0,0.8,1,0,1,0,0.5,0.5,1,0
8120007,,,1,sound_name_8120007,黄金时代,a_sound_bgm/bgm_BianNianShi_07_golden_age,bgm_BianNianShi_07_golden_age,0,0.8,1,0,1,0,0.5,0.5,1,0
8120008,,,1,sound_name_8120008,圣龙战争,a_sound_bgm/bgm_BianNianShi_08_dragons_war,bgm_BianNianShi_08_dragons_war,0,0.8,1,0,1,0,0.5,0.5,1,0
8120009,,,1,sound_name_8120009,弑神,a_sound_bgm/bgm_BianNianShi_09_deicide,bgm_BianNianShi_09_deicide,0,0.8,1,0,1,0,0.5,0.5,1,0
8120010,,,1,sound_name_8120010,新的秩序,a_sound_bgm/bgm_BianNianShi_10_new_order,bgm_BianNianShi_10_new_order,0,0.8,1,0,1,0,0.5,0.5,1,0
