ItemId,,GroupId,EffectType,Rank,Type,EffectParam
19860010,失败的试验菜,0,1,1,0,"810100,1"
19860021,粗盐腌肉1,1976002,1,1,2,"810101,1"
19860022,粗盐腌肉2,1976002,1,2,2,"810102,1"
19860023,粗盐腌肉3,1976002,1,3,2,"810103,1"
19860024,粗盐腌肉4,1976002,1,4,2,"810104,1"
19860031,混合烤肉,1976003,1,1,4,"810201,1"
19860032,混合烤肉,1976003,1,2,4,"810202,1"
19860033,混合烤肉,1976003,1,3,4,"810203,1"
19860034,混合烤肉,1976003,1,4,4,"810204,1"
19860041,糖醋鱼丸,1976004,1,1,2,"810421,1"
19860042,糖醋鱼丸,1976004,1,2,2,"810422,1"
19860043,糖醋鱼丸,1976004,1,3,2,"810423,1"
19860044,糖醋鱼丸,1976004,1,4,2,"810424,1"
19860051,全鱼蒸锅,1976005,1,1,4,"810521,1"
19860052,全鱼蒸锅,1976005,1,2,4,"810522,1"
19860053,全鱼蒸锅,1976005,1,3,4,"810523,1"
19860054,全鱼蒸锅,1976005,1,4,4,"810524,1"
19860061,清炒鲜蔬,1976006,1,1,2,"810501,1"
19860062,清炒鲜蔬,1976006,1,2,2,"810502,1"
19860063,清炒鲜蔬,1976006,1,3,2,"810503,1"
19860064,清炒鲜蔬,1976006,1,4,2,"810504,1"
19860071,芙蓉四鲜汤,1976007,1,1,4,"810421,1"
19860072,芙蓉四鲜汤,1976007,1,2,4,"810422,1"
19860073,芙蓉四鲜汤,1976007,1,3,4,"810423,1"
19860074,芙蓉四鲜汤,1976007,1,4,4,"810424,1"
19860081,炭烤蘑菇,1976008,1,1,2,"810201,1"
19860082,炭烤蘑菇,1976008,1,2,2,"810202,1"
19860083,炭烤蘑菇,1976008,1,3,2,"810203,1"
19860084,炭烤蘑菇,1976008,1,4,2,"810204,1"
19860091,千丝烧麦,1976009,1,1,4,"810121,1"
19860092,千丝烧麦,1976009,1,2,4,"810122,1"
19860093,千丝烧麦,1976009,1,3,4,"810123,1"
19860094,千丝烧麦,1976009,1,4,4,"810124,1"
19860101,拔丝酱果,1976010,1,1,2,"810301,1"
19860102,拔丝酱果,1976010,1,2,2,"810302,1"
19860103,拔丝酱果,1976010,1,3,2,"810303,1"
19860104,拔丝酱果,1976010,1,4,2,"810304,1"
19860111,什锦水果,1976011,1,1,4,"810321,1"
19860112,什锦水果,1976011,1,2,4,"810322,1"
19860113,什锦水果,1976011,1,3,4,"810323,1"
19860114,什锦水果,1976011,1,4,4,"810324,1"
19860121,鱼香肉丝,1976012,1,1,3,"810501,1;813701,1"
19860122,鱼香肉丝,1976012,1,2,3,"810501,1;813702,1"
19860123,鱼香肉丝,1976012,1,3,3,"810501,1;813703,1"
19860124,鱼香肉丝,1976012,1,4,3,"810501,1;813704,1"
19860131,菜包肉,1976013,1,1,3,"810201,1;811401,1"
19860132,菜包肉,1976013,1,2,3,"810201,1;811402,1"
19860133,菜包肉,1976013,1,3,3,"810201,1;811403,1"
19860134,菜包肉,1976013,1,4,3,"810201,1;811404,1"
19860141,百兽饺,1976014,1,1,3,"810101,1;810801,1"
19860142,百兽饺,1976014,1,2,3,"810101,1;810802,1"
19860143,百兽饺,1976014,1,3,3,"810101,1;810803,1"
19860144,百兽饺,1976014,1,4,3,"810101,1;810804,1"
19860151,咕咾肉,1976015,1,1,3,"810201,1;810901,1"
19860152,咕咾肉,1976015,1,2,3,"810202,1;810902,1"
19860153,咕咾肉,1976015,1,3,3,"810203,1;810903,1"
19860154,咕咾肉,1976015,1,4,3,"810204,1;810904,1"
19860161,豆豉炒鱼,1976016,1,1,3,"810501,1;810701,1"
19860162,豆豉炒鱼,1976016,1,2,3,"810502,1;810702,1"
19860163,豆豉炒鱼,1976016,1,3,3,"810503,1;810703,1"
19860164,豆豉炒鱼,1976016,1,4,3,"810504,1;810704,1"
19860171,清炖翠鱼汤,1976017,1,1,3,"810401,1;812001,1"
19860172,清炖翠鱼汤,1976017,1,2,3,"810402,1;812002,1"
19860173,清炖翠鱼汤,1976017,1,3,3,"810403,1;812003,1"
19860174,清炖翠鱼汤,1976017,1,4,3,"810404,1;812004,1"
19860181,蜜汁鱼冻,1976018,1,1,3,"810301,1;813301,1"
19860182,蜜汁鱼冻,1976018,1,2,3,"810302,1;813302,1"
19860183,蜜汁鱼冻,1976018,1,3,3,"810303,1;813303,1"
19860184,蜜汁鱼冻,1976018,1,4,3,"810304,1;813304,1"
19860191,水光素色,1976019,1,1,3,"810301,1;813801,1"
19860192,水光素色,1976019,1,2,3,"810302,1;813802,1"
19860193,水光素色,1976019,1,3,3,"810303,1;813803,1"
19860194,水光素色,1976019,1,4,3,"810304,1;813804,1"
19860201,融雪火山,1976020,1,1,3,"810401,1;813401,1"
19860202,融雪火山,1976020,1,2,3,"810402,1;813402,1"
19860203,融雪火山,1976020,1,3,3,"810403,1;813403,1"
19860204,融雪火山,1976020,1,4,3,"810404,1;813404,1"
19860211,落日米糕,1976021,1,1,3,"810101,1;812101,1"
19860212,落日米糕,1976021,1,2,3,"810102,1;812102,1"
19860213,落日米糕,1976021,1,3,3,"810103,1;812103,1"
19860214,落日米糕,1976021,1,4,3,"810104,1;812104,1"
19860221,湖月三蒸,1976022,1,1,4,"810511,1;812011,1"
19860222,湖月三蒸,1976022,1,2,4,"810512,1;812012,1"
19860223,湖月三蒸,1976022,1,3,4,"810513,1;812013,1"
19860224,湖月三蒸,1976022,1,4,4,"810514,1;812014,1"
19860231,鱼肠粉,1976023,1,1,4,"810111,1;814111,1"
19860232,鱼肠粉,1976023,1,2,4,"810112,1;814112,1"
19860233,鱼肠粉,1976023,1,3,4,"810113,1;814113,1"
19860234,鱼肠粉,1976023,1,4,4,"810114,1;814114,1"
19860241,大骨汤,1976024,1,1,4,"810411,1;810811,1"
19860242,大骨汤,1976024,1,2,4,"810412,1;810812,1"
19860243,大骨汤,1976024,1,3,4,"810413,1;810813,1"
19860244,大骨汤,1976024,1,4,4,"810414,1;810814,1"
19860251,肉末粉丝煲,1976025,1,1,4,"810111,1;810711,1"
19860252,肉末粉丝煲,1976025,1,2,4,"810112,1;810712,1"
19860253,肉末粉丝煲,1976025,1,3,4,"810113,1;810713,1"
19860254,肉末粉丝煲,1976025,1,4,4,"810114,1;810714,1"
19860261,铁板肉卷,1976026,1,1,4,"810211,1;811611,1"
19860262,铁板肉卷,1976026,1,2,4,"810212,1;811612,1"
19860263,铁板肉卷,1976026,1,3,4,"810213,1;811613,1"
19860264,铁板肉卷,1976026,1,4,4,"810214,1;811614,1"
19860271,炙风肉串,1976027,1,1,4,"810211,1;813711,1"
19860272,炙风肉串,1976027,1,2,4,"810212,1;813712,1"
19860273,炙风肉串,1976027,1,3,4,"810213,1;813713,1"
19860274,炙风肉串,1976027,1,4,4,"810214,1;813714,1"
19860281,回锅飞鲫,1976028,1,1,4,"810511,1;810711,1"
19860282,回锅飞鲫,1976028,1,2,4,"810512,1;810712,1"
19860283,回锅飞鲫,1976028,1,3,4,"810513,1;810713,1"
19860284,回锅飞鲫,1976028,1,4,4,"810514,1;810714,1"
19860291,西瓜鱼,1976029,1,1,4,"810311,1;812111,1"
19860292,西瓜鱼,1976029,1,2,4,"810312,1;812112,1"
19860293,西瓜鱼,1976029,1,3,4,"810313,1;812113,1"
19860294,西瓜鱼,1976029,1,4,4,"810314,1;812114,1"
19860301,潮汐鱼羹,1976030,1,1,4,"810411,1;815011,1"
19860302,潮汐鱼羹,1976030,1,2,4,"810412,1;815012,1"
19860303,潮汐鱼羹,1976030,1,3,4,"810413,1;815013,1"
19860304,潮汐鱼羹,1976030,1,4,4,"810414,1;815014,1"
19860311,水果沙拉,1976031,1,1,4,"810311,1;812111,1"
19860312,水果沙拉,1976031,1,2,4,"810312,1;812112,1"
19860313,水果沙拉,1976031,1,3,4,"810313,1;812113,1"
19860314,水果沙拉,1976031,1,4,4,"810314,1;812114,1"
19860321,红白丸子汤,1976032,1,1,5,"810421,1;810821,1"
19860322,红白丸子汤,1976032,1,2,5,"810422,1;810822,1"
19860323,红白丸子汤,1976032,1,3,5,"810423,1;810823,1"
19860324,红白丸子汤,1976032,1,4,5,"810424,1;810824,1"
19860331,番茄肉酱鱼粉,1976033,1,1,5,"810521,1;813721,1"
19860332,番茄肉酱鱼粉,1976033,1,2,5,"810522,1;813722,1"
19860333,番茄肉酱鱼粉,1976033,1,3,5,"810523,1;813723,1"
19860334,番茄肉酱鱼粉,1976033,1,4,5,"810524,1;813724,1"
19860341,鸡汤闷菌丝,1976034,1,1,5,"810421,1;813821,1"
19860342,鸡汤闷菌丝,1976034,1,2,5,"810422,1;813822,1"
19860343,鸡汤闷菌丝,1976034,1,3,5,"810423,1;813823,1"
19860344,鸡汤闷菌丝,1976034,1,4,5,"810424,1;813824,1"
19860351,培根蘑菇披萨,1976035,1,1,5,"810221,1;812421,1"
19860352,培根蘑菇披萨,1976035,1,2,5,"810222,1;812422,1"
19860353,培根蘑菇披萨,1976035,1,3,5,"810223,1;812423,1"
19860354,培根蘑菇披萨,1976035,1,4,5,"810224,1;812424,1"
19860361,黄金烤鱼,1976036,1,1,5,"810221,1;810921,1"
19860362,黄金烤鱼,1976036,1,2,5,"810222,1;810922,1"
19860363,黄金烤鱼,1976036,1,3,5,"810223,1;810923,1"
19860364,黄金烤鱼,1976036,1,4,5,"810224,1;810924,1"
19860371,三明治,1976037,1,1,5,"810121,1;812121,1"
19860372,三明治,1976037,1,2,5,"810122,1;812122,1"
19860373,三明治,1976037,1,3,5,"810123,1;812123,1"
19860374,三明治,1976037,1,4,5,"810124,1;812124,1"
19860711,什锦披萨,1976071,1,1,5,"810321,1;814121,1"
19860712,什锦披萨,1976071,1,2,5,"810322,1;814122,1"
19860713,什锦披萨,1976071,1,3,5,"810323,1;814123,1"
19860714,什锦披萨,1976071,1,4,5,"810324,1;814124,1"
19860721,红心蛋包饭,1976072,1,1,5,"810121,1;815021,1"
19860722,红心蛋包饭,1976072,1,2,5,"810122,1;815022,1"
19860723,红心蛋包饭,1976072,1,3,5,"810123,1;815023,1"
19860724,红心蛋包饭,1976072,1,4,5,"810124,1;815024,1"
19860751,索式椒麻鸡,1976075,1,1,5,"810521,1;811421,1"
19860752,索式椒麻鸡,1976075,1,2,5,"810522,1;811422,1"
19860753,索式椒麻鸡,1976075,1,3,5,"810523,1;811423,1"
19860754,索式椒麻鸡,1976075,1,4,5,"810524,1;811424,1"
19860781,果香烤肉,1976078,1,1,5,"810221,1;812321,1"
19860782,果香烤肉,1976078,1,2,5,"810222,1;812322,1"
19860783,果香烤肉,1976078,1,3,5,"810223,1;812323,1"
19860784,果香烤肉,1976078,1,4,5,"810224,1;812324,1"
19860791,黑石煎牛排,1976079,1,1,5,"810521,1;813921,1"
19860792,黑石煎牛排,1976079,1,2,5,"810522,1;813922,1"
19860793,黑石煎牛排,1976079,1,3,5,"810523,1;813923,1"
19860794,黑石煎牛排,1976079,1,4,5,"810524,1;813924,1"
19860801,火焰芝士肉球,1976080,1,1,5,"810321,1;813521,1"
19860802,火焰芝士肉球,1976080,1,2,5,"810322,1;813522,1"
19860803,火焰芝士肉球,1976080,1,3,5,"810323,1;813523,1"
19860804,火焰芝士肉球,1976080,1,4,5,"810324,1;813524,1"
19860811,黄金锅巴,1976081,1,1,5,"810321,1;810721,1"
19860812,黄金锅巴,1976081,1,2,5,"810322,1;810722,1"
19860813,黄金锅巴,1976081,1,3,5,"810323,1;810723,1"
19860814,黄金锅巴,1976081,1,4,5,"810324,1;810724,1"
19860871,潮汐捞面,1976087,1,1,5,"810121,1;813321,1"
19860872,潮汐捞面,1976087,1,2,5,"810122,1;813322,1"
19860873,潮汐捞面,1976087,1,3,5,"810123,1;813323,1"
19860874,潮汐捞面,1976087,1,4,5,"810124,1;813324,1"
