Id,Chinese,English,Japanese,TChinese,Korea,Actor
zxjq_xu_01_n_Actor_1,【选项】,,,,,【选项】
zxjq_xu_01_n_Actor_2,旁白,,,,,旁白
zxjq_xu_01_n_Actor_3,侍主,,,,,侍主
zxjq_xu_01_n_Actor_4,？？？,,,,,？？？
zxjq_xu_01_n_Actor_5,我,,,,,我
zxjq_xu_01_n_Actor_8,天空1,,,,,天空1
zxjq_xu_01_n_Actor_9,天空2,,,,,天空2
zxjq_xu_01_n_Actor_10,天界1,,,,,天界1
zxjq_xu_01_n_Actor_11,天界2,,,,,天界2
zxjq_xu_01_n_Actor_6,莉莉娅,,,,,莉莉娅
zxjq_xu_01_n_Actor_7,杰西斯,,,,,杰西斯
zxjq_xu_01_n_Title_Title,第一节 长梦初醒,,,,,Title
zxjq_xu_01_n_Description_Description,他做了一个长梦，而今终于醒来。,,,,,Description
zxjq_xu_01_n_Entry_1_2,none,,,,,旁白
zxjq_xu_01_n_Entry_1_3,在光芒中，——是蔚蓝色的广阔苍穹；,,,,,旁白
zxjq_xu_01_n_Entry_1_4,有若有若无的云影，在上面不稳定地流动着。,,,,,旁白
zxjq_xu_01_n_Entry_1_5,抱歉，不能再睡啦。,,,,,？？？
zxjq_xu_01_n_Entry_1_6,头顶上清楚地传来女人的声音。我抬起头——,,,,,旁白
zxjq_xu_01_n_Entry_1_7,none,,,,,旁白
zxjq_xu_01_n_Entry_1_8,有什么沿着她的轮廓呼啸着打转，发出我想象中的呼呼声。……是风，我慢了好几拍，才想到它的身份。,,,,,旁白
zxjq_xu_01_n_Entry_1_9,而接下来——,,,,,旁白
zxjq_xu_01_n_Entry_1_10,紫罗兰色双眸，薄嘴唇，长长的、有些上扬的耳朵……是人，是一位半精灵女性。,,,,,旁白
zxjq_xu_01_n_Entry_1_11,该怎么形容呢……,,,,,旁白
zxjq_xu_01_n_Entry_1_12,在发什么呆？好不容易才见着。,,,,,？？？
zxjq_xu_01_n_Entry_1_13,……,,,,,？？？
zxjq_xu_01_n_Entry_1_14,……睡久了，变笨喽。,,,,,？？？
zxjq_xu_01_n_Entry_1_15,……莉莉，娅？,,,,,我
zxjq_xu_01_n_Entry_1_16,这个感觉要怎么形容……,,,,,旁白
zxjq_xu_01_n_Entry_1_17,当我看到她，我不知道她是谁，但我仍然觉得“就是她”。,,,,,旁白
zxjq_xu_01_n_Entry_1_18,甚至，我认出了她，我叫出了她的名字？,,,,,旁白
zxjq_xu_01_n_Entry_1_19,……不错嘛，还记得我是谁。,,,,,莉莉娅
zxjq_xu_01_n_Entry_1_20,这时我突然慢慢意识到自己……头枕在一个触感很舒服的东西上面。是什么？,,,,,旁白
zxjq_xu_01_n_Entry_1_21,嗯，在我腿上呢。,,,,,莉莉娅
zxjq_xu_01_n_Entry_1_22,清醒点了吧？,,,,,莉莉娅
zxjq_xu_01_n_Entry_1_23,莉莉娅垂下的手向上举，摸向我的脸。,,,,,旁白
zxjq_xu_01_n_Entry_1_24,她用手摩挲着我的脸颊，又捏了捏，像是在确认什么。,,,,,旁白
zxjq_xu_01_n_Entry_1_25,……,,,,,我
zxjq_xu_01_n_Entry_1_26,出了点儿意外，我提前叫醒你啦。,,,,,莉莉娅
zxjq_xu_01_n_Entry_1_27,叫醒我是什么意思？,,,,,我
zxjq_xu_01_n_Entry_1_28,不……说到底，我是——？,,,,,我
zxjq_xu_01_n_Entry_1_29,对了，我的名字是——？,,,,,旁白
zxjq_xu_01_n_Entry_1_30,关于自己的名字，我似乎有一些模糊不清的印象。,,,,,旁白
zxjq_xu_01_n_Entry_1_31,我有意细究，便循着微薄的印象，试图迈入哪一条记忆的路径。这时，一段“空白”却浮了上来。,,,,,旁白
zxjq_xu_01_n_Entry_1_32,霎时间，我就像被封在了琥珀里一样，什么都无法再思考和回忆了。,,,,,旁白
zxjq_xu_01_n_Entry_1_33,……,,,,,莉莉娅
zxjq_xu_01_n_Entry_1_34,我想不起来，你能告诉我吗？关于我是谁。,,,,,我
zxjq_xu_01_n_Entry_1_35,我又看向她的脸。,,,,,旁白
zxjq_xu_01_n_Entry_1_36,……这又是哪里？,,,,,我
zxjq_xu_01_n_Entry_1_37,她露出稍微有点苦恼的表情，像是在犹豫要从哪里说起。,,,,,旁白
zxjq_xu_01_n_Entry_1_38,我决定等待，同时也看看周围。,,,,,旁白
zxjq_xu_01_n_Entry_1_39,我把视线从莉莉娅的脸上移开。,,,,,旁白
zxjq_xu_01_n_Entry_1_40,none,,,,,旁白
zxjq_xu_01_n_Entry_1_41,飘摇云海中的岛屿群，出现在我的视线中。,,,,,旁白
zxjq_xu_01_n_Entry_1_42,能听到爆炸声，嘶吼的喊杀声、铿锵的金铁交鸣声——,,,,,旁白
zxjq_xu_01_n_Entry_1_43,洁白无暇的羽翼，和光一样洒下的血。,,,,,旁白
zxjq_xu_01_n_Entry_1_44,悄然无声地，在坠落中与云絮纯粹的白同化，归于了虚无的天使们。,,,,,旁白
zxjq_xu_01_n_Entry_1_45,……又有两三位天使被击落了。,,,,,旁白
zxjq_xu_01_n_Entry_1_46,猎猎旗帜像流淌的火焰一样到处蔓延，搅动着云海。,,,,,旁白
zxjq_xu_01_n_Entry_1_47,这里是，天界？,,,,,旁白
zxjq_xu_01_n_Entry_1_48,none,,,,,旁白
zxjq_xu_01_n_Entry_1_49,莉莉娅又用手抚弄着我的头发，还轻轻地亲吻了我的面颊。,,,,,旁白
zxjq_xu_01_n_Entry_1_50,我回过了神。,,,,,旁白
zxjq_xu_01_n_Entry_1_51,你啊，以前不听我的话，去做了危险的事情后差点死了。,,,,,莉莉娅
zxjq_xu_01_n_Entry_1_52,亏得我机智灵敏，才想出了救你的办法。,,,,,莉莉娅
zxjq_xu_01_n_Entry_1_53,什么办法？该不会是会让我失忆的办法吧……,,,,,我
zxjq_xu_01_n_Entry_1_54,唔，一下就说中了。你在这方面的本领倒是没有变化呢。,,,,,莉莉娅
zxjq_xu_01_n_Entry_1_55,就没有更好一点的办法吗……,,,,,我
zxjq_xu_01_n_Entry_1_56,有什么关系，真是小气的男人。,,,,,莉莉娅
zxjq_xu_01_n_Entry_1_57,究竟是为什么呢？我跟这个女人、莉莉娅聊天时非常愉快，感觉自己什么话都能说。,,,,,旁白
zxjq_xu_01_n_Entry_1_58,一点小问题，一两百年之后总会恢复的。不许有意见。我可是……花费了漫长的时间，将死亡赶了回去。,,,,,莉莉娅
zxjq_xu_01_n_Entry_1_59,将死亡赶了回去。,,,,,我
zxjq_xu_01_n_Entry_1_60,……那，我是处在一种不正常的状态里了？,,,,,我
zxjq_xu_01_n_Entry_1_61,我该做什么？,,,,,我
zxjq_xu_01_n_Entry_1_62,……,,,,,莉莉娅
