Id,RoleDressId,,RoleId,,Preset,IllusionOff,IntervalX,IntervalY,IntervalZ,posX,posY,posZ,IntervalX1,IntervalY1,IntervalZ1,RotX,RotY,RotZ,Scale,ScalInterval,BrightpartColour,BrightpartHue,BrightpartSaturation,BrightpartBrightness,ShadowsColour,ShadowsHue,ShadowsSaturation,ShadowsBrightness
1,5002001,格蕾,3000001,律,1,,,,,-2,-25,-39,,,,96002,64641,67087,500,,,,,,,,,
2,5002001,格蕾,3000001,律,2,,,,,-4,0,12,,,,79230,22754,23846,400,,,,,,,,,
3,5002001,格蕾,3000001,律,0,,"-332,377","-135,300","-455,298",-2,-25,-39,"-180000,180000","-180000,180000","-180000,180000",96002,64641,67087,500,"200,1500",,,,,,,,
4,5002001,格蕾,3000002,克萝萝,1,,,,,-3,-52,-11,,,,86509,85480,88443,300,,,,,,,,,
5,5002001,格蕾,3000002,克萝萝,2,,,,,-1,6,36,,,,80505,-4645,-3181,400,,,,,,,,,
6,5002001,格蕾,3000002,克萝萝,0,,"-332,377","-135,300","-455,298",-3,-52,-11,"-180000,180000","-180000,180000","-180000,180000",86509,85480,88443,300,"200,1500",,,,,,,,
7,5002001,格蕾,3000003,黑神月咏,1,,,,,-8,-3,-72,,,,62199,29883,29802,1000,,,,,,,,,
8,5002001,格蕾,3000003,黑神月咏,2,,,,,0,4,18,,,,75129,2758,4336,400,,,,,,,,,
9,5002001,格蕾,3000003,黑神月咏,0,,"-332,377","-135,300","-455,298",-8,-3,-72,"-180000,180000","-180000,180000","-180000,180000",62199,29883,29802,1000,"200,1500",,,,,,,,
10,5002001,格蕾,3000004,安洁,1,,,,,-2,1,-63,,,,71085,5024,7072,900,,,,,,,,,
11,5002001,格蕾,3000004,安洁,2,,,,,-2,4,35,,,,78300,13193,13395,300,,,,,,,,,
12,5002001,格蕾,3000004,安洁,0,,"-332,377","-135,300","-455,298",-2,1,-63,"-180000,180000","-180000,180000","-180000,180000",71085,5024,7072,900,"200,1500",,,,,,,,
13,5002001,格蕾,3000005,米娅,1,,,,,3,2,-63,,,,43601,51021,53055,1000,,,,,,,,,
14,5002001,格蕾,3000005,米娅,2,,,,,2,-14,44,,,,81240,-10897,-10909,400,,,,,,,,,
15,5002001,格蕾,3000005,米娅,0,,"-332,377","-135,300","-455,298",3,2,-63,"-180000,180000","-180000,180000","-180000,180000",43601,51021,53055,1000,"200,1500",,,,,,,,
16,5002001,格蕾,3000006,玛莎,1,,,,,-6,-10,-72,,,,62199,29883,29802,1000,,,,,,,,,
17,5002001,格蕾,3000006,玛莎,2,,,,,0,4,18,,,,75129,2758,4336,400,,,,,,,,,
18,5002001,格蕾,3000006,玛莎,0,,"-332,377","-135,300","-455,298",-6,-10,-72,"-180000,180000","-180000,180000","-180000,180000",62199,29883,29802,1000,"200,1500",,,,,,,,
19,5002002,阿涅克丝,3000001,律,1,,,,,272,31,-13,,,,-32684,-71226,-15331,1000,,,,,,,,,
20,5002002,阿涅克丝,3000001,律,2,,,,,233,38,-9,,,,-40927,-439706,163051,1000,,,,,,,,,
21,5002002,阿涅克丝,3000001,律,0,,"-332,377","-135,300","-455,298",272,31,-13,"-120000,-30000","-180000,180000","-40000,40000",-32684,-71226,-15331,1000,"200,1500",,,,,,,,
22,5002002,阿涅克丝,3000002,克萝萝,1,1,,,,26,8,0,,,,-102757,-111668,-173037,1000,,,,,,,,,
23,5002002,阿涅克丝,3000002,克萝萝,0,1,"-332,377","-135,300","-455,298",26,8,0,"-120000,-30000","-180000,180000","-40000,40000",-102757,-111668,-173037,1000,"200,1500",,,,,,,,
24,5002002,阿涅克丝,3000003,黑神月咏,1,,,,,156,57,-6,,,,-37718,-69567,-35835,800,,,,,,,,,
25,5002002,阿涅克丝,3000003,黑神月咏,2,,,,,170,62,-3,,,,-48661,-445692,164968,800,,,,,,,,,
26,5002002,阿涅克丝,3000003,黑神月咏,0,,"-332,377","-135,300","-455,298",156,57,-6,"-120000,-30000","-180000,180000","-40000,40000",-37718,-69567,-35835,800,"200,1500",,,,,,,,
27,5002002,阿涅克丝,3000004,安洁,1,,,,,68,9,-79,,,,-6857,-94387,-102739,1000,,,,,,,,,
28,5002002,阿涅克丝,3000004,安洁,2,,,,,41,0,-94,,,,-3054,-67526,-104591,800,,,,,,,,,
29,5002002,阿涅克丝,3000004,安洁,0,,"-332,377","-135,300","-455,298",68,9,-79,"-120000,-30000","-180000,180000","-40000,40000",-6857,-94387,-102739,1000,"200,1500",,,,,,,,
30,5002002,阿涅克丝,3000005,米娅,1,,,,,81,-11,14,,,,-128697,79347,-2657,700,,,,,,,,,
31,5002002,阿涅克丝,3000005,米娅,2,,,,,90,-5,13,,,,-41746,-87336,-184779,1000,,,,,,,,,
32,5002002,阿涅克丝,3000005,米娅,0,,"-332,377","-135,300","-455,298",81,-11,14,"-120000,-30000","-180000,180000","-40000,40000",-128697,79347,-2657,700,"200,1500",,,,,,,,
33,5002002,阿涅克丝,3000006,玛莎,1,1,,,,0,4,18,,,,75129,2758,4336,800,,,,,,,,,
34,5002002,阿涅克丝,3000006,玛莎,2,1,,,,170,62,-3,,,,-48661,-445692,164968,800,,,,,,,,,
35,5002002,阿涅克丝,3000006,玛莎,0,1,"-332,377","-135,300","-455,298",156,57,-6,"-120000,-30000","-180000,180000","-40000,40000",-37718,-69567,-35835,800,"200,1500",,,,,,,,
36,5002003,炽爱,3000001,律,1,1,,,,-11,-25,-148,,,,85950,13823,13234,300,,,,,,,,,
37,5002003,炽爱,3000001,律,2,1,,,,-9,-88,68,,,,85950,13823,13234,300,,,,,,,,,
38,5002003,炽爱,3000001,律,0,1,"-332,377","-135,300","-455,298",-11,-25,-148,"-180000,180000","-180000,180000","-180000,180000",85950,13823,13234,300,"300,1000",,,,,,,,
39,5002003,炽爱,3000002,克萝萝,1,1,,,,0,-23,43,,,,84823,82007,82694,400,,,,,,,,,
40,5002003,炽爱,3000002,克萝萝,2,1,,,,4,-53,-95,,,,84823,82007,82694,300,,,,,,,,,
41,5002003,炽爱,3000002,克萝萝,0,1,"-332,377","-135,300","-455,298",0,-23,43,"-180000,180000","-180000,180000","-180000,180000",84823,82007,82694,400,"300,1000",,,,,,,,
42,5002003,炽爱,3000003,黑神月咏,1,1,,,,-5,-65,-137,,,,87894,84252,83803,350,,,,,,,,,
43,5002003,炽爱,3000003,黑神月咏,2,1,,,,8,-40,18,,,,94354,-2057,-4201,300,,,,,,,,,
44,5002003,炽爱,3000003,黑神月咏,0,1,"-332,377","-135,300","-455,298",-5,-65,-137,"-180000,180000","-180000,180000","-180000,180000",87894,84252,83803,350,"300,1000",,,,,,,,
45,5002003,炽爱,3000004,安洁,1,0,,,,16,-3,71,,,,60509,-90046,-91525,400,,,,,,,,,
46,5002003,炽爱,3000004,安洁,2,0,,,,-5,-41,-224,,,,66952,-92075,-91507,500,,,,,,,,,
47,5002003,炽爱,3000004,安洁,0,0,"-332,377","-135,300","-455,298",16,-3,71,"-180000,180000","-180000,180000","-180000,180000",60509,-90046,-91525,400,"300,1000",,,,,,,,
48,5002003,炽爱,3000005,米娅,1,0,,,,-32,-17,87,,,,116450,49457,53239,300,,,,,,,,,
49,5002003,炽爱,3000005,米娅,2,0,,,,-42,-21,62,,,,115186,54519,56674,400,,,,,,,,,
50,5002003,炽爱,3000005,米娅,0,0,"-332,377","-135,300","-455,298",-32,-17,87,"-180000,180000","-180000,180000","-180000,180000",116450,49457,53239,300,"300,1000",,,,,,,,
51,5002003,炽爱,3000006,玛莎,1,,,,,-6,-11,-11,,,,87894,84252,83803,350,,,,,,,,,
52,5002003,炽爱,3000006,玛莎,2,,,,,1,-5,-175,,,,94354,-2057,-4201,800,,,,,,,,,
53,5002003,炽爱,3000006,玛莎,0,,"-332,377","-135,300","-455,298",-6,-11,-11,"-180000,180000","-180000,180000","-180000,180000",87894,84252,83803,350,"300,1000",,,,,,,,
54,5002004,水仙,3000001,律,1,1,,,,27,-27,4,,,,-4530,8071,-1438,1000,,,,,,,,,
55,5002004,水仙,3000001,律,2,1,,,,-11,-33,24,,,,-335,-1948,-9324,1000,,,,,,,,,
56,5002004,水仙,3000001,律,0,1,"-332,377","-135,300","-455,298",27,-27,4,"-180000,180000","-180000,180000","-180000,180000",-4530,8071,-1438,1000,"300,1500",,,,,,,,
57,5002004,水仙,3000002,克萝萝,1,0,,,,-55,-11,16,,,,11034,-9605,-12640,1000,,,,,,,,,
58,5002004,水仙,3000002,克萝萝,2,0,,,,34,-29,25,,,,10613,349339,339766,1000,,,,,,,,,
59,5002004,水仙,3000002,克萝萝,0,0,"-332,377","-135,300","-455,298",-55,-11,16,"-180000,180000","-180000,180000","-180000,180000",11034,-9605,-12640,1000,"300,1500",,,,,,,,
60,5002004,水仙,3000003,黑神月咏,1,,,,,-3,-27,4,,,,358731,8503,336566,1000,,,,,,,,,
61,5002004,水仙,3000003,黑神月咏,2,,,,,4,-23,-2,,,,1479,13161,349414,500,,,,,,,,,
62,5002004,水仙,3000003,黑神月咏,0,,"-332,377","-135,300","-455,298",-3,-27,4,"-180000,180000","-180000,180000","-180000,180000",358731,8503,336566,1000,"300,1500",,,,,,,,
63,5002004,水仙,3000004,安洁,1,,,,,-12,-2,20,,,,-89,1590,-39924,500,,,,,,,,,
