RoleId,,gospelname,gospelname_en,gospeltitle_en,gospelintro,cv_cn,cv,illust,gospel_title,gospel_race,basic_data_1,basic_data_2,favor_data_1,favor_data_2,favor_data_3,favor_data_4,favor_data_5,secret_data,start_captain,start_team,start_combat,end_combat,treasure,complaint,encourage,revivify,end_captain,end_team
3013001,格蕾,rolepet_name_3013001,rolepet_en_name_3013001,rolepet_letile_name_3013001,rolepet_brief_3013001,rolepet_cv_cn_3013001,rolepet_cv_jp_3013001,rolepet_illust_3013001,rolepet_title_3013001,rolepet_race_3013001,rolepet_basic_data_1_3013001,rolepet_basic_data_2_3013001,rolepet_favor_data_1_3013001,rolepet_favor_data_2_3013001,rolepet_favor_data_3_3013001,rolepet_favor_data_4_3013001,rolepet_favor_data_5_3013001,rolepet_job_desc_3013001,rolepet_start_cap_3013001,rolepet_start_team_3013001,rolepet_start_combat_3013001,rolepet_end_3013001,rolepet_treasure_3013001,rolepet_complaint_3013001,rolepet_encourage_3013001,rolepet_revivify_3013001,rolepet_end_captain_3013001,rolepet_end_team_3013001
3013003,阿涅克丝,rolepet_name_3013003,rolepet_en_name_3013003,rolepet_letile_name_3013003,rolepet_brief_3013003,rolepet_cv_cn_3013003,rolepet_cv_jp_3013003,rolepet_illust_3013003,rolepet_title_3013003,rolepet_race_3013003,rolepet_basic_data_1_3013003,rolepet_basic_data_2_3013003,rolepet_favor_data_1_3013003,rolepet_favor_data_2_3013003,rolepet_favor_data_3_3013003,rolepet_favor_data_4_3013003,rolepet_favor_data_5_3013003,rolepet_job_desc_3013003,rolepet_start_cap_3013003,rolepet_start_team_3013003,rolepet_start_combat_3013003,rolepet_end_3013003,rolepet_treasure_3013003,rolepet_complaint_3013003,rolepet_encourage_3013003,rolepet_revivify_3013003,rolepet_end_captain_3013003,rolepet_end_team_3013003
3013004,炽爱,rolepet_name_3013004,rolepet_en_name_3013004,rolepet_letile_name_3013004,rolepet_brief_3013004,rolepet_cv_cn_3013004,rolepet_cv_jp_3013004,rolepet_illust_3013004,rolepet_title_3013004,rolepet_race_3013004,rolepet_basic_data_1_3013004,rolepet_basic_data_2_3013004,rolepet_favor_data_1_3013004,rolepet_favor_data_2_3013004,rolepet_favor_data_3_3013004,rolepet_favor_data_4_3013004,rolepet_favor_data_5_3013004,rolepet_job_desc_3013004,rolepet_start_cap_3013004,rolepet_start_team_3013004,rolepet_start_combat_3013004,rolepet_end_3013004,rolepet_treasure_3013004,rolepet_complaint_3013004,rolepet_encourage_3013004,rolepet_revivify_3013004,rolepet_end_captain_3013004,rolepet_end_team_3013004
3013006,水仙,rolepet_name_3013006,rolepet_en_name_3013006,rolepet_letile_name_3013006,rolepet_brief_3013006,rolepet_cv_cn_3013006,rolepet_cv_jp_3013006,rolepet_illust_3013006,rolepet_title_3013006,rolepet_race_3013006,rolepet_basic_data_1_3013006,rolepet_basic_data_2_3013006,rolepet_favor_data_1_3013006,rolepet_favor_data_2_3013006,rolepet_favor_data_3_3013006,rolepet_favor_data_4_3013006,rolepet_favor_data_5_3013006,rolepet_job_desc_3013006,rolepet_start_cap_3013006,rolepet_start_team_3013006,rolepet_start_combat_3013006,rolepet_end_3013006,rolepet_treasure_3013006,rolepet_complaint_3013006,rolepet_encourage_3013006,rolepet_revivify_3013006,rolepet_end_captain_3013006,rolepet_end_team_3013006
3013007,菲莉希亚,rolepet_name_3013007,rolepet_en_name_3013007,rolepet_letile_name_3013007,rolepet_brief_3013007,rolepet_cv_cn_3013007,rolepet_cv_jp_3013007,rolepet_illust_3013007,rolepet_title_3013007,rolepet_race_3013007,rolepet_basic_data_1_3013007,rolepet_basic_data_2_3013007,rolepet_favor_data_1_3013007,rolepet_favor_data_2_3013007,rolepet_favor_data_3_3013007,rolepet_favor_data_4_3013007,rolepet_favor_data_5_3013007,rolepet_job_desc_3013007,rolepet_start_cap_3013007,rolepet_start_team_3013007,rolepet_start_combat_3013007,rolepet_end_3013007,rolepet_treasure_3013007,rolepet_complaint_3013007,rolepet_encourage_3013007,rolepet_revivify_3013007,rolepet_end_captain_3013007,rolepet_end_team_3013007
3013008,梅露特,rolepet_name_3013008,rolepet_en_name_3013008,rolepet_letile_name_3013008,rolepet_brief_3013008,rolepet_cv_cn_3013008,rolepet_cv_jp_3013008,rolepet_illust_3013008,rolepet_title_3013008,rolepet_race_3013008,rolepet_basic_data_1_3013008,rolepet_basic_data_2_3013008,rolepet_favor_data_1_3013008,rolepet_favor_data_2_3013008,rolepet_favor_data_3_3013008,rolepet_favor_data_4_3013008,rolepet_favor_data_5_3013008,rolepet_job_desc_3013008,rolepet_start_cap_3013008,rolepet_start_team_3013008,rolepet_start_combat_3013008,rolepet_end_3013008,rolepet_treasure_3013008,rolepet_complaint_3013008,rolepet_encourage_3013008,rolepet_revivify_3013008,rolepet_end_captain_3013008,rolepet_end_team_3013008
3013009,奈奈芙,rolepet_name_3013009,rolepet_en_name_3013009,rolepet_letile_name_3013009,rolepet_brief_3013009,rolepet_cv_cn_3013009,rolepet_cv_jp_3013009,rolepet_illust_3013009,rolepet_title_3013009,rolepet_race_3013009,rolepet_basic_data_1_3013009,rolepet_basic_data_2_3013009,rolepet_favor_data_1_3013009,rolepet_favor_data_2_3013009,rolepet_favor_data_3_3013009,rolepet_favor_data_4_3013009,rolepet_favor_data_5_3013009,rolepet_job_desc_3013009,rolepet_start_cap_3013009,rolepet_start_team_3013009,rolepet_start_combat_3013009,rolepet_end_3013009,rolepet_treasure_3013009,rolepet_complaint_3013009,rolepet_encourage_3013009,rolepet_revivify_3013009,rolepet_end_captain_3013009,rolepet_end_team_3013009
3013014,玛瑙,rolepet_name_3013014,rolepet_en_name_3013014,rolepet_letile_name_3013014,rolepet_brief_3013014,rolepet_cv_cn_3013014,rolepet_cv_jp_3013014,rolepet_illust_3013014,rolepet_title_3013014,rolepet_race_3013014,rolepet_basic_data_1_3013014,rolepet_basic_data_2_3013014,rolepet_favor_data_1_3013014,rolepet_favor_data_2_3013014,rolepet_favor_data_3_3013014,rolepet_favor_data_4_3013014,rolepet_favor_data_5_3013014,rolepet_job_desc_3013014,rolepet_start_cap_3013014,rolepet_start_team_3013014,rolepet_start_combat_3013014,rolepet_end_3013014,rolepet_treasure_3013014,rolepet_complaint_3013014,rolepet_encourage_3013014,rolepet_revivify_3013014,rolepet_end_captain_3013014,rolepet_end_team_3013014
3013015,哀歌,rolepet_name_3013015,rolepet_en_name_3013015,rolepet_letile_name_3013015,rolepet_brief_3013015,rolepet_cv_cn_3013015,rolepet_cv_jp_3013015,rolepet_illust_3013015,rolepet_title_3013015,rolepet_race_3013015,rolepet_basic_data_1_3013015,rolepet_basic_data_2_3013015,rolepet_favor_data_1_3013015,rolepet_favor_data_2_3013015,rolepet_favor_data_3_3013015,rolepet_favor_data_4_3013015,rolepet_favor_data_5_3013015,rolepet_job_desc_3013015,rolepet_start_cap_3013015,rolepet_start_team_3013015,rolepet_start_combat_3013015,rolepet_end_3013015,rolepet_treasure_3013015,rolepet_complaint_3013015,rolepet_encourage_3013015,rolepet_revivify_3013015,rolepet_end_captain_3013015,rolepet_end_team_3013015
3013017,波斯菊,rolepet_name_3013017,rolepet_en_name_3013017,rolepet_letile_name_3013017,rolepet_brief_3013017,rolepet_cv_cn_3013017,rolepet_cv_jp_3013017,rolepet_illust_3013017,rolepet_title_3013017,rolepet_race_3013017,rolepet_basic_data_1_3013017,rolepet_basic_data_2_3013017,rolepet_favor_data_1_3013017,rolepet_favor_data_2_3013017,rolepet_favor_data_3_3013017,rolepet_favor_data_4_3013017,rolepet_favor_data_5_3013017,rolepet_job_desc_3013017,rolepet_start_cap_3013017,rolepet_start_team_3013017,rolepet_start_combat_3013017,rolepet_end_3013017,rolepet_treasure_3013017,rolepet_complaint_3013017,rolepet_encourage_3013017,rolepet_revivify_3013017,rolepet_end_captain_3013017,rolepet_end_team_3013017
3013018,爱琳,rolepet_name_3013018,rolepet_en_name_3013018,rolepet_letile_name_3013018,rolepet_brief_3013018,rolepet_cv_cn_3013018,rolepet_cv_jp_3013018,rolepet_illust_3013018,rolepet_title_3013018,rolepet_race_3013018,rolepet_basic_data_1_3013018,rolepet_basic_data_2_3013018,rolepet_favor_data_1_3013018,rolepet_favor_data_2_3013018,rolepet_favor_data_3_3013018,rolepet_favor_data_4_3013018,rolepet_favor_data_5_3013018,rolepet_job_desc_3013018,rolepet_start_cap_3013018,rolepet_start_team_3013018,rolepet_start_combat_3013018,rolepet_end_3013018,rolepet_treasure_3013018,rolepet_complaint_3013018,rolepet_encourage_3013018,rolepet_revivify_3013018,rolepet_end_captain_3013018,rolepet_end_team_3013018
3013019,库萝心,rolepet_name_3013019,rolepet_en_name_3013019,rolepet_letile_name_3013019,rolepet_brief_3013019,rolepet_cv_cn_3013019,rolepet_cv_jp_3013019,rolepet_illust_3013019,rolepet_title_3013019,rolepet_race_3013019,rolepet_basic_data_1_3013019,rolepet_basic_data_2_3013019,rolepet_favor_data_1_3013019,rolepet_favor_data_2_3013019,rolepet_favor_data_3_3013019,rolepet_favor_data_4_3013019,rolepet_favor_data_5_3013019,rolepet_job_desc_3013019,rolepet_start_cap_3013019,rolepet_start_team_3013019,rolepet_start_combat_3013019,rolepet_end_3013019,rolepet_treasure_3013019,rolepet_complaint_3013019,rolepet_encourage_3013019,rolepet_revivify_3013019,rolepet_end_captain_3013019,rolepet_end_team_3013019
3013020,维达,rolepet_name_3013020,rolepet_en_name_3013020,rolepet_letile_name_3013020,rolepet_brief_3013020,rolepet_cv_cn_3013020,rolepet_cv_jp_3013020,rolepet_illust_3013020,rolepet_title_3013020,rolepet_race_3013020,rolepet_basic_data_1_3013020,rolepet_basic_data_2_3013020,rolepet_favor_data_1_3013020,rolepet_favor_data_2_3013020,rolepet_favor_data_3_3013020,rolepet_favor_data_4_3013020,rolepet_favor_data_5_3013020,rolepet_job_desc_3013020,rolepet_start_cap_3013020,rolepet_start_team_3013020,rolepet_start_combat_3013020,rolepet_end_3013020,rolepet_treasure_3013020,rolepet_complaint_3013020,rolepet_encourage_3013020,rolepet_revivify_3013020,rolepet_end_captain_3013020,rolepet_end_team_3013020
3013022,莱拉,rolepet_name_3013022,rolepet_en_name_3013022,rolepet_letile_name_3013022,rolepet_brief_3013022,rolepet_cv_cn_3013022,rolepet_cv_jp_3013022,rolepet_illust_3013022,rolepet_title_3013022,rolepet_race_3013022,rolepet_basic_data_1_3013022,rolepet_basic_data_2_3013022,rolepet_favor_data_1_3013022,rolepet_favor_data_2_3013022,rolepet_favor_data_3_3013022,rolepet_favor_data_4_3013022,rolepet_favor_data_5_3013022,rolepet_job_desc_3013022,rolepet_start_cap_3013022,rolepet_start_team_3013022,rolepet_start_combat_3013022,rolepet_end_3013022,rolepet_treasure_3013022,rolepet_complaint_3013022,rolepet_encourage_3013022,rolepet_revivify_3013022,rolepet_end_captain_3013022,rolepet_end_team_3013022
3013023,芙洛拉,rolepet_name_3013023,rolepet_en_name_3013023,rolepet_letile_name_3013023,rolepet_brief_3013023,rolepet_cv_cn_3013023,rolepet_cv_jp_3013023,rolepet_illust_3013023,rolepet_title_3013023,rolepet_race_3013023,rolepet_basic_data_1_3013023,rolepet_basic_data_2_3013023,rolepet_favor_data_1_3013023,rolepet_favor_data_2_3013023,rolepet_favor_data_3_3013023,rolepet_favor_data_4_3013023,rolepet_favor_data_5_3013023,rolepet_job_desc_3013023,rolepet_start_cap_3013023,rolepet_start_team_3013023,rolepet_start_combat_3013023,rolepet_end_3013023,rolepet_treasure_3013023,rolepet_complaint_3013023,rolepet_encourage_3013023,rolepet_revivify_3013023,rolepet_end_captain_3013023,rolepet_end_team_3013023
3013024,希露德,rolepet_name_3013024,rolepet_en_name_3013024,rolepet_letile_name_3013024,rolepet_brief_3013024,rolepet_cv_cn_3013024,rolepet_cv_jp_3013024,rolepet_illust_3013024,rolepet_title_3013024,rolepet_race_3013024,rolepet_basic_data_1_3013024,rolepet_basic_data_2_3013024,rolepet_favor_data_1_3013024,rolepet_favor_data_2_3013024,rolepet_favor_data_3_3013024,rolepet_favor_data_4_3013024,rolepet_favor_data_5_3013024,rolepet_job_desc_3013024,rolepet_start_cap_3013024,rolepet_start_team_3013024,rolepet_start_combat_3013024,rolepet_end_3013024,rolepet_treasure_3013024,rolepet_complaint_3013024,rolepet_encourage_3013024,rolepet_revivify_3013024,rolepet_end_captain_3013024,rolepet_end_team_3013024
