Id,Type,Role,Treasure,SuperCard,CardRank1,CardRank2,CardRank3,CardRank4,CardRank5,LevelCard
1,0,0,"10001,10002,10003,10004,10006,10007,10008,10009","200001,200004,200005,200007,200009,200010,200013,200014,200015,200016,200017,200018,200019","101011,101021,101031,111011,112011,112021,121011,131011,131021,131031,141011,141021,141031,141041,151011,151021,171011","102011,102021,113011,113021,122011,122021,122031,122041,122051,122061,122071,132011,132021,132031,132041,132051,132061,132071,132081,132091,132101,132111,132121,142011,142021,142031,142041,142051,152011,152021,152031,152041,152051,152061,152071,152081,152091,162011,162021,162031,172011,172021,172031,182011,182021,182031,182041,182051,182061","103011,103021,113031,113041,113051,123011,123021,123031,123041,123051,123061,123071,123081,123091,123101,123111,133011,133021,133031,133041,133051,143011,143021,143031,143041,143051,143061,143081,143091,143101,143111,153011,153021,153031,153041,163011,163021,163031,163041,173011,173021,173031,173041,183011,193011,193021","114021,114031,114041,114051,124011,124021,134011,134021,134031,134041,134051,134061,134071,143071,144011,144021,154011,154021,154031,164011,164021,164031,164041,174011,174021,184011,184021,184031,194011","105011,115011,115021,125011,125021,135011,135021,135031,145011,145021,145031,155011,155021,155031,165011,175011","500001,500002,500003,500004,500005,500006,500007,500008,500009,500010,500011,500012,500013,500014,500015,500016,500017,500018,500019,500020,500021,500022,500023,500024,500025,500026,500027,500028,500029,500030,500031,500032,500033,500034,500035,500036,500037,500038,500039,500040,500041,500042,500043,500044,500045,500046,500047,500048,500049,500050,500051,500052,500053,500054,500055,500056"
2,1,"12003,13001,13004,11005","10001,10002,10013,10005,10007,10009","200001,200004,200005,200007,200013,200014,200018,200002,200008,200020","101011,101021,101031,111011,112011,112021,121011,131011,131021,131031,141011,141021,141031,141041,151011,151021,171011","102011,102021,113011,113021,122011,122021,122031,122041,122051,122061,122071,132011,132021,132031,132041,132051,132061,132071,132081,132091,132101,132111,132121,142011,142021,142031,142041,142051,152011,152021,152031,152041,152051,152061,152071,152081,152091,162011,162021,162031,172011,172021,172031,182011,182021,182031,182041,182051,182061","103011,103021,113031,113041,113051,123011,123021,123031,123041,123051,123061,123071,123081,123091,123101,123111,133011,133021,133031,133041,133051,143011,143021,143031,143041,143051,143061,143081,143091,143101,143111,153011,153021,153031,153041,163011,163021,163031,163041,173011,173021,173031,173041,183011,193011,193021","114021,114031,114041,114051,124011,124021,134011,134021,134031,134041,134051,134061,134071,143071,144011,144021,154011,154021,154031,164011,164021,164031,164041,174011,174021,184011,184021,184031,194011","105011,115011,115021,125011,125021,135011,135021,135031,145011,145021,145031,155011,155021,155031,165011,175011","101011,101021,101031,102011,102021,103011,103021,104011,105011"
3,1,"12009,13005,11001","10001,10002,10003,10010,10011","200009,200010,200015,200018,200003,200006,200016,200017,200019","101011,101021,101031,111011,112011,112021,121011,131011,131021,131031,141011,141021,141031,141041,151011,151021,171011","102011,102021,113011,113021,122011,122021,122031,122041,122051,122061,122071,132011,132021,132031,132041,132051,132061,132071,132081,132091,132101,132111,132121,142011,142021,142031,142041,142051,152011,152021,152031,152041,152051,152061,152071,152081,152091,162011,162021,162031,172011,172021,172031,182011,182021,182031,182041,182051,182061","103011,103021,113031,113041,113051,123011,123021,123031,123041,123051,123061,123071,123081,123091,123101,123111,133011,133021,133031,133041,133051,143011,143021,143031,143041,143051,143061,143081,143091,143101,143111,153011,153021,153031,153041,163011,163021,163031,163041,173011,173021,173031,173041,183011,193011,193021","114021,114031,114041,114051,124011,124021,134011,134021,134031,134041,134051,134061,134071,143071,144011,144021,154011,154021,154031,164011,164021,164031,164041,174011,174021,184011,184021,184031,194011","105011,115011,115021,125011,125021,135011,135021,135031,145011,145021,145031,155011,155021,155031,165011,175011","101011,101021,101031,102011,102021,103011,103021,104011,105011"
4,1,"11004,12008,13001,13004","10001,10002,10004,10008,10021","200001,200004,200005,200007,200014,200011,200012,200017,200019","101011,101021,101031,111011,112011,112021,121011,131011,131021,131031,141011,141021,141031,141041,151011,151021,171011","102011,102021,113011,113021,122011,122021,122031,122041,122051,122061,122071,132011,132021,132031,132041,132051,132061,132071,132081,132091,132101,132111,132121,142011,142021,142031,142041,142051,152011,152021,152031,152041,152051,152061,152071,152081,152091,162011,162021,162031,172011,172021,172031,182011,182021,182031,182041,182051,182061","103011,103021,113031,113041,113051,123011,123021,123031,123041,123051,123061,123071,123081,123091,123101,123111,133011,133021,133031,133041,133051,143011,143021,143031,143041,143051,143061,143081,143091,143101,143111,153011,153021,153031,153041,163011,163021,163031,163041,173011,173021,173031,173041,183011,193011,193021","114021,114031,114041,114051,124011,124021,134011,134021,134031,134041,134051,134061,134071,143071,144011,144021,154011,154021,154031,164011,164021,164031,164041,174011,174021,184011,184021,184031,194011","105011,115011,115021,125011,125021,135011,135021,135031,145011,145021,145031,155011,155021,155031,165011,175011","101011,101021,101031,102011,102021,103011,103021,104011,105011"
5,1,"11006,12009,12010,13007","10006,10007,10009,10003,10004,10011","200004,200005,200007,200009,200010,200013,200015,200017,200018,200006","101011,101021,101031,111011,112011,112021,121011,131011,131021,131031,141011,141021,141031,141041,151011,151021,171011","102011,102021,113011,113021,122011,122021,122031,122041,122051,122061,122071,132011,132021,132031,132041,132051,132061,132071,132081,132091,132101,132111,132121,142011,142021,142031,142041,142051,152011,152021,152031,152041,152051,152061,152071,152081,152091,162011,162021,162031,172011,172021,172031,182011,182021,182031,182041,182051,182061","103011,103021,113031,113041,113051,123011,123021,123031,123041,123051,123061,123071,123081,123091,123101,123111,133011,133021,133031,133041,133051,143011,143021,143031,143041,143051,143061,143081,143091,143101,143111,153011,153021,153031,153041,163011,163021,163031,163041,173011,173021,173031,173041,183011,193011,193021","114021,114031,114041,114051,124011,124021,134011,134021,134031,134041,134051,134061,134071,143071,144011,144021,154011,154021,154031,164011,164021,164031,164041,174011,174021,184011,184021,184031,194011","105011,115011,115021,125011,125021,135011,135021,135031,145011,145021,145031,155011,155021,155031,165011,175011","101011,101021,101031,102011,102021,103011,103021,104011,105011"
6,1,"12006,13007,11001,11002","10003,10006,10007,10018,10019","200001,200007,200009,200013,200015,200018,200003,200006","101011,101021,101031,111011,112011,112021,121011,131011,131021,131031,141011,141021,141031,141041,151011,151021,171011","102011,102021,113011,113021,122011,122021,122031,122041,122051,122061,122071,132011,132021,132031,132041,132051,132061,132071,132081,132091,132101,132111,132121,142011,142021,142031,142041,142051,152011,152021,152031,152041,152051,152061,152071,152081,152091,162011,162021,162031,172011,172021,172031,182011,182021,182031,182041,182051,182061","103011,103021,113031,113041,113051,123011,123021,123031,123041,123051,123061,123071,123081,123091,123101,123111,133011,133021,133031,133041,133051,143011,143021,143031,143041,143051,143061,143081,143091,143101,143111,153011,153021,153031,153041,163011,163021,163031,163041,173011,173021,173031,173041,183011,193011,193021","114021,114031,114041,114051,124011,124021,134011,134021,134031,134041,134051,134061,134071,143071,144011,144021,154011,154021,154031,164011,164021,164031,164041,174011,174021,184011,184021,184031,194011","105011,115011,115021,125011,125021,135011,135021,135031,145011,145021,145031,155011,155021,155031,165011,175011","101011,101021,101031,102011,102021,103011,103021,104011,105011"
7,1,"13003,11002,13006","10015,10016,10020,10004,10013,10019","200008,200019,200004,200005,200009,200010,200014,200016","101011,101021,101031,111011,112011,112021,121011,131011,131021,131031,141011,141021,141031,141041,151011,151021,171011","102011,102021,113011,113021,122011,122021,122031,122041,122051,122061,122071,132011,132021,132031,132041,132051,132061,132071,132081,132091,132101,132111,132121,142011,142021,142031,142041,142051,152011,152021,152031,152041,152051,152061,152071,152081,152091,162011,162021,162031,172011,172021,172031,182011,182021,182031,182041,182051,182061","103011,103021,113031,113041,113051,123011,123021,123031,123041,123051,123061,123071,123081,123091,123101,123111,133011,133021,133031,133041,133051,143011,143021,143031,143041,143051,143061,143081,143091,143101,143111,153011,153021,153031,153041,163011,163021,163031,163041,173011,173021,173031,173041,183011,193011,193021","114021,114031,114041,114051,124011,124021,134011,134021,134031,134041,134051,134061,134071,143071,144011,144021,154011,154021,154031,164011,164021,164031,164041,174011,174021,184011,184021,184031,194011","105011,115011,115021,125011,125021,135011,135021,135031,145011,145021,145031,155011,155021,155031,165011,175011","101011,101021,101031,102011,102021,103011,103021,104011,105011"
8,1,"13006,11005,11002","10007,10006,10009,10014,10018,10019","200001,200004,200005,200007,200009,200010,200013,200016,200017","101011,101021,101031,111011,112011,112021,121011,131011,131021,131031,141011,141021,141031,141041,151011,151021,171011","102011,102021,113011,113021,122011,122021,122031,122041,122051,122061,122071,132011,132021,132031,132041,132051,132061,132071,132081,132091,132101,132111,132121,142011,142021,142031,142041,142051,152011,152021,152031,152041,152051,152061,152071,152081,152091,162011,162021,162031,172011,172021,172031,182011,182021,182031,182041,182051,182061","103011,103021,113031,113041,113051,123011,123021,123031,123041,123051,123061,123071,123081,123091,123101,123111,133011,133021,133031,133041,133051,143011,143021,143031,143041,143051,143061,143081,143091,143101,143111,153011,153021,153031,153041,163011,163021,163031,163041,173011,173021,173031,173041,183011,193011,193021","114021,114031,114041,114051,124011,124021,134011,134021,134031,134041,134051,134061,134071,143071,144011,144021,154011,154021,154031,164011,164021,164031,164041,174011,174021,184011,184021,184031,194011","105011,115011,115021,125011,125021,135011,135021,135031,145011,145021,145031,155011,155021,155031,165011,175011","101011,101021,101031,102011,102021,103011,103021,104011,105011"
9,1,"12006,12004","10001,10002,10004,10007,10009,10012,10013","200004,200005,200009,200010,200014,200017,200018,200019","101011,101021,101031,111011,112011,112021,121011,131011,131021,131031,141011,141021,141031,141041,151011,151021,171011","102011,102021,113011,113021,122011,122021,122031,122041,122051,122061,122071,132011,132021,132031,132041,132051,132061,132071,132081,132091,132101,132111,132121,142011,142021,142031,142041,142051,152011,152021,152031,152041,152051,152061,152071,152081,152091,162011,162021,162031,172011,172021,172031,182011,182021,182031,182041,182051,182061","103011,103021,113031,113041,113051,123011,123021,123031,123041,123051,123061,123071,123081,123091,123101,123111,133011,133021,133031,133041,133051,143011,143021,143031,143041,143051,143061,143081,143091,143101,143111,153011,153021,153031,153041,163011,163021,163031,163041,173011,173021,173031,173041,183011,193011,193021","114021,114031,114041,114051,124011,124021,134011,134021,134031,134041,134051,134061,134071,143071,144011,144021,154011,154021,154031,164011,164021,164031,164041,174011,174021,184011,184021,184031,194011","105011,115011,115021,125011,125021,135011,135021,135031,145011,145021,145031,155011,155021,155031,165011,175011","101011,101021,101031,102011,102021,103011,103021,104011,105011"
9001,2,11001,0,0,0,0,0,0,0,"100001,100002,100003,100004,100005,100006,100007,100008,100009,100010,110001,110002,110003,110004,110005,110006,110007,110008,110009,110010,110011,110012,110013,110014,110015,110016,110017,110018,110019,110020,110021,110022,110023,110024,110025,110026,110027,110028,110029,110030,110031,110032,110033,110034,110035,110036,110037,110038,110039,110040,110041,110042,110043,110044,110045,110046,110047,110048,110049,110050,110051,110052,110053,110054,110055,110056,120001,120002,120003,120004,120005,120006,120007,120008,120009,120010,120011,120012,120013,120014,120015,120016,120017,120018,120019,120020,120021,120022,120023,120024,120025,120026,120027,120028,120029,120030,120031,120032,120033,120034,120035,120036,120037,120038,120039,120040,120041,120042,120043,120044,120045,120046,120047,120048,120049,120050,120051,120052,120053,120054,120055,120056,120057,130001,130002,130003,130004,130005,130006,130007,130008,130009,130010,130011,130012,130013,130014,130015,130016,130017,130018,130019,130020,130021,130022,130023,130024,130025,130026,130027,130028,130029,130030,130031,130032,130033,130034,130035,130036,130037,130038,130039,130040,140001,140002,140003,140004,140005,140006,140007,140008,140009,140010,140011,140012,140013,140014,140015,140016,140017,150001,150002,150003,150004,150005,150006,150007,150008,150009,150010,160001,160002,160003,160004,170002,170003,190001"
