Id,,BreakLv,LvMax,SkillLvUp,Attr,AttrGrown,BreakReward
3013001,格蕾,0,30,3,"101,152;102,22;103,10;104,72;105,2","101,342;102,48;103,24;104,163",
3013001,格蕾,1,70,5,"101,304;102,44;103,20;104,144;105,4","101,342;102,48;103,24;104,163","1000002,50"
3013001,格蕾,2,120,7,"101,760;102,110;103,49;104,360;105,11","101,342;102,48;103,24;104,163","1000002,50"
3013001,格蕾,3,180,10,"101,1520;102,220;103,97;104,720;105,22","101,342;102,48;103,24;104,163","1000002,50"
3013003,阿涅克丝,0,30,3,"101,246;102,32;103,15;104,117;105,2","101,395;102,53;103,24;104,190",
3013003,阿涅克丝,1,70,5,"101,457;102,59;103,28;104,218;105,4","101,395;102,53;103,24;104,190","1000002,50"
3013003,阿涅克丝,2,120,7,"101,1056;102,138;103,64;104,502;105,11","101,395;102,53;103,24;104,190","1000002,50"
3013003,阿涅克丝,3,180,10,"101,1936;102,254;103,117;104,920;105,23","101,395;102,53;103,24;104,190","1000002,50"
3013004,炽爱,0,30,3,"101,233;102,33;103,15;104,110;105,3","101,376;102,56;103,24;104,179",
3013004,炽爱,1,70,5,"101,434;102,62;103,28;104,205;105,6","101,376;102,56;103,24;104,179","1000002,50"
3013004,炽爱,2,120,7,"101,1003;102,145;103,64;104,475;105,14","101,376;102,56;103,24;104,179","1000002,50"
3013004,炽爱,3,180,10,"101,1839;102,266;103,117;104,871;105,27","101,376;102,56;103,24;104,179","1000002,50"
3013006,水仙,0,30,3,"101,259;102,26;103,16;104,135;105,2","101,419;102,43;103,32;104,216",
3013006,水仙,1,70,5,"101,481;102,49;103,31;104,252;105,4","101,419;102,43;103,32;104,216","1000002,50"
3013006,水仙,2,120,7,"101,1108;102,112;103,73;104,580;105,10","101,419;102,43;103,32;104,216","1000002,50"
3013006,水仙,3,180,10,"101,2032;102,206;103,134;104,1064;105,20","101,419;102,43;103,32;104,216","1000002,50"
3013007,菲莉希亚,0,30,3,"101,152;102,23;103,9;104,76;105,2","101,342;102,53;103,24;104,171",
3013007,菲莉希亚,1,70,5,"101,304;102,46;103,18;104,152;105,4","101,342;102,53;103,24;104,171","1000002,50"
3013007,菲莉希亚,2,120,7,"101,760;102,115;103,44;104,380;105,11","101,342;102,53;103,24;104,171","1000002,50"
3013007,菲莉希亚,3,180,10,"101,1520;102,230;103,87;104,760;105,22","101,342;102,53;103,24;104,171","1000002,50"
3013008,梅露特,0,30,3,"101,160;102,21;103,10;104,80;105,2","101,363;102,48;103,24;104,179",
3013008,梅露特,1,70,5,"101,320;102,42;103,20;104,160;105,4","101,363;102,48;103,24;104,179","1000002,50"
3013008,梅露特,2,120,7,"101,800;102,105;103,49;104,400;105,10","101,363;102,48;103,24;104,179","1000002,50"
3013008,梅露特,3,180,10,"101,1600;102,210;103,97;104,800;105,20","101,363;102,48;103,24;104,179","1000002,50"
3013009,奈奈芙,0,30,3,"101,160;102,21;103,10;104,80;105,2","101,363;102,48;103,24;104,179",
3013009,奈奈芙,1,70,5,"101,320;102,42;103,20;104,160;105,4","101,363;102,48;103,24;104,179","1000002,50"
3013009,奈奈芙,2,120,7,"101,800;102,105;103,50;104,400;105,10","101,363;102,48;103,24;104,179","1000002,50"
3013009,奈奈芙,3,180,10,"101,1600;102,210;103,100;104,800;105,20","101,363;102,48;103,24;104,179","1000002,50"
3013013,菲尔盖娜,0,30,3,"101,323;102,54;103,24;104,153;105,2","101,456;102,59;103,32;104,216",
3013013,菲尔盖娜,1,70,5,"101,565;102,97;103,43;104,268;105,4","101,456;102,59;103,32;104,216","1000002,50"
3013013,菲尔盖娜,2,120,7,"101,1210;102,214;103,96;104,576;105,11","101,456;102,59;103,32;104,216","1000002,50"
3013013,菲尔盖娜,3,180,10,"101,2218;102,375;103,168;104,1056;105,22","101,456;102,59;103,32;104,216","1000002,50"
3013014,玛瑙,0,30,3,"101,152;102,21;103,10;104,88;105,2","101,342;102,48;103,24;104,203",
3013014,玛瑙,1,70,5,"101,304;102,42;103,20;104,176;105,4","101,342;102,48;103,24;104,203","1000002,50"
3013014,玛瑙,2,120,7,"101,760;102,105;103,49;104,440;105,10","101,342;102,48;103,24;104,203","1000002,50"
3013014,玛瑙,3,180,10,"101,1520;102,210;103,97;104,880;105,20","101,342;102,48;103,24;104,203","1000002,50"
3013015,哀歌,0,30,3,"101,233;102,33;103,15;104,128;105,2","101,376;102,56;103,24;104,206",
3013015,哀歌,1,70,5,"101,434;102,62;103,28;104,239;105,4","101,376;102,56;103,24;104,206","1000002,50"
3013015,哀歌,2,120,7,"101,1003;102,145;103,64;104,553;105,11","101,376;102,56;103,24;104,206","1000002,50"
3013015,哀歌,3,180,10,"101,1839;102,266;103,117;104,1015;105,22","101,376;102,56;103,24;104,206","1000002,50"
3013017,波斯菊,0,30,3,"101,160;102,18;103,11;104,84;105,2","101,363;102,40;103,24;104,192",
3013017,波斯菊,1,70,5,"101,320;102,36;103,22;104,168;105,4","101,363;102,40;103,24;104,192","1000002,50"
3013017,波斯菊,2,120,7,"101,800;102,90;103,54;104,420;105,10","101,363;102,40;103,24;104,192","1000002,50"
3013017,波斯菊,3,180,10,"101,1600;102,180;103,107;104,840;105,20","101,363;102,40;103,24;104,192","1000002,50"
3013018,爱琳,0,30,3,"101,152;102,18;103,11;104,92;105,2","101,342;102,40;103,24;104,206",
3013018,爱琳,1,70,5,"101,304;102,36;103,22;104,184;105,4","101,342;102,40;103,24;104,206","1000002,50"
3013018,爱琳,2,120,7,"101,760;102,90;103,54;104,460;105,10","101,342;102,40;103,24;104,206","1000002,50"
3013018,爱琳,3,180,10,"101,1520;102,180;103,107;104,920;105,20","101,342;102,40;103,24;104,206","1000002,50"
3013019,库萝心,0,30,3,"101,233;102,35;103,15;104,117;105,2","101,376;102,56;103,24;104,190",
3013019,库萝心,1,70,5,"101,434;102,65;103,28;104,218;105,4","101,376;102,56;103,24;104,190","1000002,50"
3013019,库萝心,2,120,7,"101,1003;102,151;103,66;104,502;105,11","101,376;102,56;103,24;104,190","1000002,50"
3013019,库萝心,3,180,10,"101,1839;102,278;103,121;104,920;105,22","101,376;102,56;103,24;104,190","1000002,50"
3013020,维达,0,30,3,"101,160;102,22;103,10;104,76;105,2","101,363;102,48;103,24;104,171",
3013020,维达,1,70,5,"101,320;102,44;103,20;104,152;105,4","101,363;102,48;103,24;104,171","1000002,50"
3013020,维达,2,120,7,"101,800;102,110;103,49;104,380;105,10","101,363;102,48;103,24;104,171","1000002,50"
3013020,维达,3,180,10,"101,1600;102,220;103,97;104,760;105,20","101,363;102,48;103,24;104,171","1000002,50"
3013022,莱拉,0,30,3,"101,184;102,18;103,10;104,84;105,2","101,419;102,40;103,24;104,192",
3013022,莱拉,1,70,5,"101,368;102,36;103,20;104,168;105,4","101,419;102,40;103,24;104,192","1000002,50"
3013022,莱拉,2,120,7,"101,920;102,90;103,49;104,420;105,10","101,419;102,40;103,24;104,192","1000002,50"
3013022,莱拉,3,180,10,"101,1840;102,180;103,97;104,840;105,20","101,419;102,40;103,24;104,192","1000002,50"
3013023,芙洛拉,0,30,3,"101,144;102,23;103,9;104,72;105,2","101,326;102,53;103,24;104,163",
3013023,芙洛拉,1,70,5,"101,288;102,46;103,18;104,144;105,4","101,326;102,53;103,24;104,163","1000002,50"
3013023,芙洛拉,2,120,7,"101,720;102,115;103,45;104,360;105,11","101,326;102,53;103,24;104,163","1000002,50"
3013023,芙洛拉,3,180,10,"101,1440;102,230;103,90;104,720;105,23","101,326;102,53;103,24;104,163","1000002,50"
3013025,多萝西,0,30,3,"101,160;102,22;103,10;104,72;105,2","101,363;102,48;103,24;104,163",
3013025,多萝西,1,70,5,"101,320;102,44;103,20;104,144;105,4","101,363;102,48;103,24;104,163","1000002,50"
3013025,多萝西,2,120,7,"101,800;102,110;103,49;104,360;105,10","101,363;102,48;103,24;104,163","1000002,50"
3013025,多萝西,3,180,10,"101,1600;102,220;103,97;104,720;105,21","101,363;102,48;103,24;104,163","1000002,50"
3014001,普琳普顿,0,30,3,"101,271;102,26;103,16;104,128;105,2","101,435;102,43;103,32;104,206",
3014001,普琳普顿,1,70,5,"101,504;102,49;103,31;104,239;105,4","101,435;102,43;103,32;104,206","1000002,50"
3014001,普琳普顿,2,120,7,"101,1162;102,112;103,73;104,553;105,10","101,435;102,43;103,32;104,206","1000002,50"
3014001,普琳普顿,3,180,10,"101,2130;102,206;103,134;104,1015;105,20","101,435;102,43;103,32;104,206","1000002,50"
3014002,黛比,0,30,3,"101,282;102,28;103,15;104,117;105,2","101,456;102,45;103,24;104,190",
3014002,黛比,1,70,5,"101,525;102,52;103,28;104,218;105,4","101,456;102,45;103,24;104,190","1000002,50"
3014002,黛比,2,120,7,"101,1213;102,118;103,64;104,502;105,11","101,456;102,45;103,24;104,190","1000002,50"
3014002,黛比,3,180,10,"101,2225;102,217;103,117;104,920;105,23","101,456;102,45;103,24;104,190","1000002,50"
3014003,焰心,0,30,3,"101,176;102,19;103,10;104,76;105,2","101,395;102,45;103,24;104,171",
3014003,焰心,1,70,5,"101,352;102,38;103,20;104,152;105,4","101,395;102,45;103,24;104,171","1000002,50"
3014003,焰心,2,120,7,"101,880;102,95;103,49;104,380;105,10","101,395;102,45;103,24;104,171","1000002,50"
3014003,焰心,3,180,10,"101,1760;102,190;103,97;104,760;105,21","101,395;102,45;103,24;104,171","1000002,50"
3014004,索菲,0,30,3,"101,168;102,18;103,12;104,80;105,2","101,382;102,40;103,29;104,179",
3014004,索菲,1,70,5,"101,336;102,36;103,24;104,160;105,4","101,382;102,40;103,29;104,179","1000002,50"
3014004,索菲,2,120,7,"101,840;102,90;103,59;104,400;105,9","101,382;102,40;103,29;104,179","1000002,50"
3014004,索菲,3,180,10,"101,1680;102,180;103,117;104,800;105,18","101,382;102,40;103,29;104,179","1000002,50"
3014005,弥生,0,30,3,"101,233;102,32;103,14;104,128;105,2","101,376;102,53;103,24;104,206",
3014005,弥生,1,70,5,"101,434;102,59;103,26;104,239;105,4","101,376;102,53;103,24;104,206","1000002,50"
3014005,弥生,2,120,7,"101,1003;102,138;103,60;104,553;105,11","101,376;102,53;103,24;104,206","1000002,50"
3014005,弥生,3,180,10,"101,1839;102,254;103,110;104,1015;105,23","101,376;102,53;103,24;104,206","1000002,50"
3014006,恋花,0,30,3,"101,307;102,50;103,28;104,145;105,2","101,432;102,56;103,32;104,206",
3014006,恋花,1,70,5,"101,537;102,90;103,50;104,254;105,4","101,432;102,56;103,32;104,206","1000002,50"
3014006,恋花,2,120,7,"101,1152;102,201;103,108;104,547;105,11","101,432;102,56;103,32;104,206","1000002,50"
3014006,恋花,3,180,10,"101,2112;102,352;103,189;104,1003;105,23","101,432;102,56;103,32;104,206","1000002,50"
3014009,桃,0,30,3,"101,307;102,54;103,24;104,161;105,2","101,432;102,59;103,29;104,227",
3014009,桃,1,70,5,"101,537;102,97;103,43;104,282;105,4","101,432;102,59;103,29;104,227","1000002,50"
3014009,桃,2,120,7,"101,1152;102,214;103,92;104,604;105,11","101,432;102,59;103,29;104,227","1000002,50"
