ID,name,,Icon,Spine,Image,Type,ChapterShow
10001,TaskRole_name_10001,刃形怪,ui_rw_touxiang_mw_1,renxingguai,ui_rw_mowu_1,1,
10002,TaskRole_name_10002,炎射手,ui_rw_touxiang_mw_2,yansheshou,ui_rw_mowu_2,1,
10003,TaskRole_name_10003,蝇斥候,ui_rw_touxiang_mw_3,yingchihou,ui_rw_mowu_4,1,
10004,TaskRole_name_10001,刃形怪,ui_rw_touxiang_mw_1,renxingguai,ui_rw_mowu_1,1,
10005,TaskRole_name_10002,炎射手,ui_rw_touxiang_mw_2,yansheshou,ui_rw_mowu_2,1,
10006,TaskRole_name_10006,塔,ui_rw_touxiang_mw_5,tower,,2,
10007,TaskRole_name_10006,塔,ui_rw_touxiang_mw_5,tower,,2,
10008,TaskRole_name_10006,塔,ui_rw_touxiang_mw_5,tower,,2,
10009,TaskRole_name_10006,塔,ui_rw_touxiang_mw_5,tower,,2,
10010,TaskRole_name_10006,塔,ui_rw_touxiang_mw_5,tower,,2,
10011,TaskRole_name_10011,西蒙,ui_rw_touxiang_mw_6,ximeng,ui_rw_zhuxianboss2,3,chapter_number_10011
10012,TaskRole_name_10012,莉莉·布朗尼,ui_rw_touxiang_mw_7,bulangni,ui_rw_zhuxianboss1,3,chapter_number_10012
10013,TaskRole_name_10011,西蒙,ui_rw_touxiang_mw_6,ximeng,ui_rw_zhuxianboss2,3,chapter_number_10013
10014,TaskRole_name_10012,莉莉·布朗尼,ui_rw_touxiang_mw_7,bulangni,ui_rw_zhuxianboss1,3,chapter_number_10014
10015,TaskRole_name_10011,西蒙,ui_rw_touxiang_mw_6,ximeng,ui_rw_zhuxianboss2,3,chapter_number_10015
10016,TaskRole_name_10012,莉莉·布朗尼,ui_rw_touxiang_mw_7,bulangni,ui_rw_zhuxianboss1,3,chapter_number_10016
10017,TaskRole_name_10011,西蒙,ui_rw_touxiang_mw_6,ximeng,ui_rw_zhuxianboss2,3,chapter_number_10017
10018,TaskRole_name_10012,莉莉·布朗尼,ui_rw_touxiang_mw_7,bulangni,ui_rw_zhuxianboss1,3,chapter_number_10018
10019,TaskRole_name_10011,西蒙,ui_rw_touxiang_mw_6,ximeng,ui_rw_zhuxianboss2,3,chapter_number_10019
10020,TaskRole_name_10012,莉莉·布朗尼,ui_rw_touxiang_mw_7,bulangni,ui_rw_zhuxianboss1,3,chapter_number_10020
10021,TaskRole_name_10013,婴狐,ui_rw_touxiang_thd_2,yinghu,,,
90001,TaskRole_name_90001,律,ui_rw_touxiang_mn_1,lv,,,
90002,TaskRole_name_90002,黑神,ui_rw_touxiang_mn_2,heishen,,,
90003,TaskRole_name_90003,安杰,ui_rw_touxiang_mn_3,anjie,,,
90004,TaskRole_name_90004,桃,ui_rw_touxiang_thd_1_1,tao,,,
