Id,Name,AttrType,Attr,Value,ValueGrown,Rate,RateGrown,Des
1001,attr_name_1001,0,2,10,10,0,0,attr_des_1001
1101,attr_name_1101,1,2,-10,-10,0,0,attr_des_1101
2001,attr_name_2001,0,101,5,5,0,0,attr_des_2001
2002,attr_name_2002,0,101,10,10,0,0,attr_des_2002
2003,attr_name_2003,0,101,15,15,0,0,attr_des_2003
2004,attr_name_2004,0,101,20,20,0,0,attr_des_2004
2101,attr_name_2101,1,101,-5,-5,0,0,attr_des_2101
2102,attr_name_2102,1,101,-10,-10,0,0,attr_des_2102
2103,attr_name_2103,1,101,-15,-15,0,0,attr_des_2103
2104,attr_name_2104,1,101,-20,-20,0,0,attr_des_2104
3001,attr_name_3001,0,102,1,1,0,0,attr_des_3001
3002,attr_name_3002,0,102,2,2,0,0,attr_des_3002
3003,attr_name_3003,0,102,2,3,0,0,attr_des_3003
3004,attr_name_3004,0,102,3,3,0,0,attr_des_3004
3101,attr_name_3101,1,102,-1,-1,0,0,attr_des_3101
3102,attr_name_3102,1,102,-2,-2,0,0,attr_des_3102
3103,attr_name_3103,1,102,-2,-3,0,0,attr_des_3103
3104,attr_name_3104,1,102,-3,-3,0,0,attr_des_3104
4001,attr_name_4001,0,103,1,1,0,0,attr_des_4001
4002,attr_name_4002,0,103,1,1,0,0,attr_des_4002
4003,attr_name_4003,0,103,1,2,0,0,attr_des_4003
4004,attr_name_4004,0,103,2,2,0,0,attr_des_4004
4101,attr_name_4101,1,103,-1,-1,0,0,attr_des_4101
4102,attr_name_4102,1,103,-1,-1,0,0,attr_des_4102
4103,attr_name_4103,1,103,-1,-2,0,0,attr_des_4103
4104,attr_name_4104,1,103,-2,-2,0,0,attr_des_4104
5001,attr_name_5001,0,104,1,1,0,0,attr_des_5001
5002,attr_name_5002,0,104,2,2,0,0,attr_des_5002
5003,attr_name_5003,0,104,2,3,0,0,attr_des_5003
5004,attr_name_5004,0,104,3,3,0,0,attr_des_5004
5101,attr_name_5101,1,104,-1,-1,0,0,attr_des_5101
5102,attr_name_5102,1,104,-2,-2,0,0,attr_des_5102
5103,attr_name_5103,1,104,-2,-3,0,0,attr_des_5103
5104,attr_name_5104,1,104,-3,-3,0,0,attr_des_5104
6001,attr_name_6001,0,602,0,0,0,0,attr_des_6001
6002,attr_name_6002,0,602,0,0,0,0,attr_des_6002
6003,attr_name_6003,0,602,0,0,0,0,attr_des_6003
6004,attr_name_6004,0,602,0,0,0,0,attr_des_6004
6101,attr_name_6101,1,602,0,0,0,0,attr_des_6101
6102,attr_name_6102,1,602,0,0,0,0,attr_des_6102
6103,attr_name_6103,1,602,0,0,0,0,attr_des_6103
6104,attr_name_6104,1,602,0,0,0,0,attr_des_6104
7001,attr_name_7001,0,603,0,0,10,10,attr_des_7001
7002,attr_name_7002,0,603,0,0,20,20,attr_des_7002
7003,attr_name_7003,0,603,0,0,30,30,attr_des_7003
7004,attr_name_7004,0,603,0,0,30,30,attr_des_7004
7101,attr_name_7101,1,603,0,0,-10,-10,attr_des_7101
7102,attr_name_7102,1,603,0,0,-20,-20,attr_des_7102
7103,attr_name_7103,1,603,0,0,-30,-30,attr_des_7103
7104,attr_name_7104,1,603,0,0,-30,-30,attr_des_7104
