Id,PeopleId,PlotName,,PlotFile,,Place,,EndingFirstId,EndingId,EndingUnLockIds,AppointmentReward,FavorReward,EndingWord
8340001,3000001,plotname_1,午后邀约,5802001,律约会剧情1,placename_1,街道,144,179,143,"1000002,50",100,endingword_1
8340002,3000001,plotname_1,午后邀约,5802001,律约会剧情1,placename_1,街道,325,376,"181,282","1000002,50",100,endingword_2
8340003,3000001,plotname_1,午后邀约,5802001,律约会剧情1,placename_1,街道,387,431,"181,386","1000002,50",100,endingword_3
8340004,3000002,plotname_2,受祝福的庆典,5802002,克萝萝约会剧情1,placename_2,城外,218,263,217,"1000002,50",100,endingword_11
8340005,3000002,plotname_2,受祝福的庆典,5802002,克萝萝约会剧情1,placename_2,城外,401,477,"264,400","1000002,50",100,endingword_12
8340006,3000002,plotname_2,受祝福的庆典,5802002,克萝萝约会剧情1,placename_2,城外,479,538,"264,478","1000002,50",100,endingword_13
8340007,3000003,plotname_3,意外之邀,5802003,黑神月咏约会剧情1,placename_3,圣殿,453,524,"258,442","1000002,50",100,endingword_21
8340008,3000003,plotname_3,意外之邀,5802003,黑神月咏约会剧情1,placename_3,圣殿,529,566,"258,525","1000002,50",100,endingword_22
8340009,3000003,plotname_3,意外之邀,5802003,黑神月咏约会剧情1,placename_3,圣殿,580,624,571,"1000002,50",100,endingword_23
8340010,3000004,plotname_4,不期而遇,5802004,安洁约会剧情1,placename_4,乐园,258,298,"162,257","1000002,50",100,endingword_31
8340011,3000004,plotname_4,不期而遇,5802004,安洁约会剧情1,placename_4,乐园,300,332,"162,299","1000002,50",100,endingword_32
8340012,3000004,plotname_4,不期而遇,5802004,安洁约会剧情1,placename_4,乐园,442,484,344,"1000002,50",100,endingword_33
8340013,3000005,plotname_5,远游,5802005,米娅约会剧情1,placename_5,街道,447,508,"301,446","1000002,50",100,endingword_41
8340014,3000005,plotname_5,远游,5802005,米娅约会剧情1,placename_5,街道,511,543,"301,510","1000002,50",100,endingword_42
8340015,3000005,plotname_5,远游,5802005,米娅约会剧情1,placename_5,街道,560,603,559,"1000002,50",100,endingword_43
8340058,3000006,plotname_6,旅途,5802021,玛莎约会剧情1,placename_6,圣殿,382,437,,"1000002,50",100,endingword_51
