Id,Name,Icon,Playerlevel,Monsters,Score,Type
1001,robot_name_1,3000001,30,"31,4,2000181;43,8,2000123",0,1
1002,robot_name_2,3000002,31,"40,5,2000330;27,6,2000410",0,1
1003,robot_name_3,3000003,32,"47,12,2000032",0,1
1004,robot_name_4,3000004,33,"49,7,2000471;31,11,2000261",0,1
1005,robot_name_5,3000005,34,"46,8,2000113",0,1
1006,robot_name_6,3000001,35,"29,9,2000203;41,5,2000013",0,1
1007,robot_name_7,3000002,36,"20,10,2000370;36,12,2000133",0,1
1008,robot_name_8,3000003,37,"32,11,2000092",0,1
1009,robot_name_9,3000004,38,"12,12,2000142;46,7,2000091",0,1
1010,robot_name_10,3000005,39,"42,13,2000091;4,9,2000042;48,5,2000073",50,1
1011,robot_name_11,3000001,40,"41,15,2000450;23,11,2000390;41,15,2000032",50,1
1012,robot_name_12,3000002,41,"28,21,2000142;40,15,2000183;48,16,2000182",50,1
1013,robot_name_13,3000003,42,"48,25,2000292;32,29,2000182",100,1
1014,robot_name_14,3000004,43,"46,27,2000222;49,24,2000291;42,14,2000161",100,1
1015,robot_name_15,3000005,44,"44,33,2000062;23,21,2000102;41,20,2000021",100,1
1016,robot_name_16,3000001,45,"22,40,2000031;23,26,2000161;33,38,2000033",150,1
1017,robot_name_17,3000002,46,"51,42,2000182;14,33,2000171;47,40,2000132",150,1
1018,robot_name_18,3000003,47,"14,45,2000450;29,40,2000031",150,1
1019,robot_name_19,3000004,48,"15,41,2000123;49,66,2000241;20,39,2000191",200,1
1020,robot_name_20,3000005,49,"14,36,2000181;42,47,2000300;33,51,2000072",200,1
1021,robot_name_21,3000001,50,"50,70,2000191;11,65,2000481;47,41,2000002;32,69,2000252",0,2
1022,robot_name_22,3000002,51,"14,70,2000033;30,70,2000310;48,66,2000282;3,58,2000062",0,2
1023,robot_name_23,3000003,52,"11,69,2000203;22,54,2000073;37,54,2000152;44,59,2000052;7,41,2000211",0,2
1024,robot_name_24,3000004,53,"43,71,2000181;1,75,2000113;0;44,65,2000131;51,61,2000272",0,2
1025,robot_name_25,3000005,54,"43,54,2000142;16,71,2000122;4,35,2000041;46,51,2000012;14,60,2000281",0,2
1026,robot_name_26,3000001,55,"51,73,2000001;31,73,2000003;12,55,2000261;16,76,2000123",0,2
1027,robot_name_27,3000002,56,"32,74,2000001;22,61,2000201;0;48,70,2000023;47,66,2000320",0,2
1028,robot_name_28,3000003,57,"48,75,2000320;42,51,2000142;25,70,2000161;10,54,2000310;7,32,2000012",0,2
