Id,TabType,UnLockCondition,MusicTime,Author,SoundId,,SoundImage,Open
1401,14,"10701,1",1899/12/31 1:30:00,librarysound_ahthor_1,8120015,飨宴：千年的开幕,bgm_TongYong_02_ZangJieZhuTi_1,1
1402,14,"10702,1",1899/12/31 1:39:00,librarysound_ahthor_1,8120016,预兆：毒蛇,bgm_TongYong_03_ZangJieZhuTi_2,1
1403,14,"10703,1",1899/12/31 1:36:00,librarysound_ahthor_1,8120017,觉醒进行曲,bgm_TongYong_04_ZangJieZhuTi_3,1
1404,14,"10704,1",1899/12/31 2:00:00,librarysound_ahthor_1,8120018,求天母垂怜,bgm_TongYong_05_ZangJieZhuTi_4,1
1405,14,"10705,1",1899/12/31 1:35:00,librarysound_ahthor_1,8120019,第十三号码头,bgm_ZhangJie_5,1
1406,14,"10706,1",1899/12/31 1:38:00,librarysound_ahthor_1,8120021,春的思绪,bgm_TongYong_06_JuQing_ZhengChang,1
1407,14,"10707,1",1899/12/31 1:29:00,librarysound_ahthor_1,8120024,集结之时,bgm_TongYong_07_JuQing_JinZhang,1
1408,14,"10708,1",1899/12/31 1:37:00,librarysound_ahthor_1,8120025,英雄的矜持,bgm_TongYong_11_JuQing_ShengLi,1
1409,14,"10709,1",1899/12/31 1:55:00,librarysound_ahthor_1,8120026,冬日追叙,bgm_TongYong_13_JuQing_BeiShang,1
1410,14,"10710,1",1899/12/31 1:47:00,librarysound_ahthor_1,8120027,残阳暮盼,bgm_TongYong_15_JuQing_HuiYi,1
1411,14,"10711,1",1899/12/31 1:29:00,librarysound_ahthor_1,8120028,悲怆的君主,bgm_JuQing_BeiChuangDeJunZhu,1
1412,14,"10712,1",1899/12/31 1:01:00,librarysound_ahthor_1,8120029,小魔女欢快舞,bgm_JuQing_XiaoMoNvHuanKuaiWu,1
1413,14,"10713,1",1899/12/31 1:07:00,librarysound_ahthor_1,8120030,真理的危机,bgm_JuQing_ZhenLiDeWeiJi,1
1414,14,"10714,1",1899/12/31 1:23:00,librarysound_ahthor_1,8120031,邪恶的阴谋,bgm_JuQing_XieEYinMou,1
1415,14,"10715,1",1899/12/31 1:01:00,librarysound_ahthor_1,8120032,星空之下,bgm_JuQing_XingKongZhiXia,1
1416,14,"10716,1",1899/12/31 1:14:00,librarysound_ahthor_1,8120033,精灵印记,bgm_JuQing_JingLingYinJi,1
1417,14,"10717,1",1899/12/31 1:18:00,librarysound_ahthor_1,8120034,伤感时刻,bgm_JuQing_ShangGanShiKe,1
1418,14,"10718,1",1899/12/31 1:07:00,librarysound_ahthor_1,8120035,奋起直追,bgm_JuQing_FenQiZhiZhui,1
1419,14,"10719,1",1899/12/31 1:06:00,librarysound_ahthor_1,8120036,记忆长廊,bgm_JuQing_JiYiChangLang,1
1420,14,"10720,1",1899/12/31 1:03:00,librarysound_ahthor_1,8120037,牵绊的力量,bgm_JuQing_QianBanLiLiang,1
1421,14,"10721,1",1899/12/31 1:02:00,librarysound_ahthor_1,8120038,斗争的矜持,bgm_JuQing_DouZhengJinChi,1
1422,14,"10722,1",1899/12/31 1:24:00,librarysound_ahthor_1,8120039,阳光旅途,bgm_JuQing_YangGuangLvTu,1
1423,14,"10723,1",1899/12/31 1:29:00,librarysound_ahthor_1,8120040,庆典,bgm_JuQing_QingDian,1
1424,14,"10724,1",1899/12/31 1:27:00,librarysound_ahthor_1,8120043,光阴驻足,bgm_ZhuJieMian,1
1425,14,"10725,1",1899/12/31 0:40:00,librarysound_ahthor_1,8120052,晚风,bgm_RiChang_XianXia,1
1426,14,"10726,1",1899/12/31 1:36:00,librarysound_ahthor_1,8120053,水波,bgm_TongYong_01_RiChangChangJing,1
1427,14,"10727,1",1899/12/31 1:05:00,librarysound_ahthor_1,8120054,贝儿的夜间大巡游,bgm_ZhanDou_Boss_BaoShi,1
1428,14,"10728,1",1899/12/31 1:40:00,librarysound_ahthor_1,8120055,獠牙显露之刻,bgm_ZhanDou_Boss_SeYu,1
1429,14,"10729,1",1899/12/31 1:03:00,librarysound_ahthor_1,8120056,震怒之时,bgm_ZhanDou_Boss_FenNu_Hong,1
1430,14,"10730,1",1899/12/31 1:00:00,librarysound_ahthor_1,8120057,怒火的黎明,bgm_ZhanDou_Boss_FenNu_Lan,1
1431,14,"10731,1",1899/12/31 1:15:00,librarysound_ahthor_1,8120058,戏谑偶像,bgm_ZhanDou_Boss_JiDu,1
1432,14,"10732,1",1899/12/31 1:33:00,librarysound_ahthor_1,8120059,魔法阵,bgm_ZhanDou_TongYong_01,1
1433,14,"10733,1",1899/12/31 0:58:00,librarysound_ahthor_1,8120060,铁幕,bgm_ZhanDou_TongYong_02,1
1434,14,"10734,1",1899/12/31 0:52:00,librarysound_ahthor_1,8120061,塔：突击,bgm_ZhanDou_TongYong_03,1
1435,14,"10735,1",1899/12/31 1:12:00,librarysound_ahthor_1,8120062,废墟：激奏,bgm_ZhanDou_TongYong_04,1
1436,14,"10736,1",1899/12/31 1:17:00,librarysound_ahthor_1,8120063,宣战：誓言,bgm_ZhanDou_XuanZhanShiYan,1
1437,14,"10737,1",1899/12/31 1:07:00,librarysound_ahthor_1,8120064,激昂,bgm_ZhanDou_Boss_01,1
1438,14,"10738,1",1899/12/31 1:09:00,librarysound_ahthor_1,8120065,鼓舞,bgm_ZhanDou_GuWu,1
1439,14,"10739,1",1899/12/31 1:09:00,librarysound_ahthor_1,8120067,咆哮的夜晚,bgm_ZhanDou_JingYing,1
1440,14,"10740,1",1899/12/31 1:15:00,librarysound_ahthor_1,8120068,凯旋之时,bgm_ZhanDou_ShengLi,1
1441,14,"10741,1",1899/12/31 0:51:00,librarysound_ahthor_1,8120069,决不止步,bgm_ZhanDou_ShiBai,1
1442,14,"10742,1",1899/12/31 1:00:00,librarysound_ahthor_1,8120070,鏖战,bgm_ZhanDou_AoZhan,1
1443,14,"10743,1",1899/12/31 1:04:00,librarysound_ahthor_1,8120079,桥合战,,0
1444,14,"10744,1",1899/12/31 1:04:00,librarysound_ahthor_1,8120080,扼杀迷茫,,0
1445,14,"10745,1",1899/12/31 1:03:00,librarysound_ahthor_1,8120081,冲突的复苏,,0
1446,14,"10746,1",1899/12/31 1:03:00,librarysound_ahthor_1,8120082,矛盾的灵魂,,0
1447,14,"10747,1",1899/12/31 1:16:00,librarysound_ahthor_1,8120083,失控木偶,,0
1448,14,"10748,1",1899/12/31 0:59:00,librarysound_ahthor_1,8120084,问鼎,bgm_ZhanDou_Shanding,1
1449,14,"10749,1",1899/12/31 1:00:00,librarysound_ahthor_1,8120085,地窖,,0
1450,14,"10750,1",1899/12/31 1:00:00,librarysound_ahthor_1,8120086,暗涌,bgm_ZhanDou_XiaShuiDao,1
1451,14,"10751,1",1899/12/31 1:08:00,librarysound_ahthor_1,8120087,狭路,bgm_ZhanDou_Xiaoxiang,1
1452,14,"10752,1",1899/12/31 1:00:00,librarysound_ahthor_1,8120088,幽庭,bgm_ZhanDou_Huayuan,1
1453,14,"10753,1",1899/12/31 1:32:00,librarysound_ahthor_1,8120089,战斗_训练场,bgm_ZhanDou_XunLianChang,1
1454,14,"10754,1",1899/12/31 1:14:00,librarysound_ahthor_1,8120090,战斗_野外,bgm_ZhanDou_YeWai,1
1455,14,"10755,1",1899/12/31 0:55:00,librarysound_ahthor_1,8120094,战斗优势1,,0
1456,14,"10756,1",1899/12/31 1:15:57,librarysound_ahthor_1,8120095,常规战斗1,,0
1457,14,"10757,1",1899/12/31 1:47:00,librarysound_ahthor_1,8120097,剧情 戏剧家,,0
1458,14,"10758,1",1899/12/31 1:06:00,librarysound_ahthor_1,8120098,常规战斗2,,0
1459,14,"10759,1",1899/12/31 1:06:00,librarysound_ahthor_1,8120099,常规战斗3,,0
1460,14,"10760,1",1899/12/31 0:55:00,librarysound_ahthor_1,8120100,战斗优势2,,0
1461,14,"10761,1",1899/12/31 1:27:00,librarysound_ahthor_1,8120104,起源,bgm_ZhuJieMian,1
1462,14,"10762,1",1899/12/31 0:46:00,librarysound_ahthor_1,8120105,曦光颂,bgm_ZhuJieMian,1
1501,15,"10763,1",1899/12/31 3:16:00,librarysound_ahthor_1,8120014,双神之战,,0
1502,15,"10764,1",1899/12/31 1:52:00,librarysound_ahthor_1,8120096,三柱臣,,0
1503,15,"10765,1",1899/12/31 1:22:00,librarysound_ahthor_1,8120101,高远的夜空,bgm_bbhd_ydx,0
1504,15,"10766,1",1899/12/31 1:51:00,librarysound_ahthor_1,8120102,锦绣序曲,bgm_bbhd_thd,1
1505,15,"10767,1",1899/12/31 1:24:00,librarysound_ahthor_1,8120103,丹心阵,bgm_bbhd_thd,1
1506,15,"10768,1",1899/12/31 1:25:00,librarysound_ahthor_1,8120108,和光同尘,bgm_bbhd_hgtc,1
1507,15,"10769,1",1899/12/31 1:30:00,librarysound_ahthor_1,8120109,推理对决,bgm_bbhd_zgndahq,1
1508,15,"10770,1",1899/12/31 1:32:00,librarysound_ahthor_1,8120110,如履薄冰,,0
1509,15,"10771,1",1899/12/31 1:32:00,librarysound_ahthor_1,8120111,谨慎前行,,0
1510,15,"10772,1",1899/12/31 1:32:00,librarysound_ahthor_1,8120112,历史长河,,0
1511,15,"10773,1",1899/12/31 1:32:00,librarysound_ahthor_1,8120113,怀疑与猜忌,,0
1512,15,"10774,1",1899/12/31 1:20:00,librarysound_ahthor_1,8120114,龙舞声动,bgm_bbhd_cytll,0
1513,15,"10775,1",1899/12/31 1:21:00,librarysound_ahthor_1,8120115,烛月歌 ,bgm_bbhd_cytll,0
1514,15,"10776,1",1899/12/31 1:01:00,librarysound_ahthor_1,8120116,十里夜妆,bgm_bbhd_cytll,0
1515,15,"10777,1",1899/12/31 2:01:56,librarysound_ahthor_1,8120117,如蜜甘涩,bgm_bbhd_wysdgs,0
1516,15,"10778,1",1899/12/31 1:11:42,librarysound_ahthor_1,8120118,瓶中愿望,bgm_bbhd_wysdgs,0
1517,15,"10779,1",1899/12/31 1:36:00,librarysound_ahthor_1,8120119,地平线的颂歌,bgm_bbhd_cgbf,0
1518,15,"10780,1",1899/12/31 1:27:00,librarysound_ahthor_1,8120120,镜中双人舞,bgm_bbhd_gsdazs,0
1519,15,"10781,1",1899/12/31 1:20:00,librarysound_ahthor_1,8120121,迷影缭乱（闪乱神乐联动音乐，确认没有法律问题前禁止开放）,bgm_bbhd_rhll,0
1520,15,"10782,1",1899/12/31 1:39:00,librarysound_ahthor_1,8120122,悖逆的回声,bgm_bbhd_mnzy,0
1521,15,"10783,1",1899/12/31 1:25:00,librarysound_ahthor_1,8120123,缄默之梦,bgm_bbhd_zcdwd,0
1522,15,"10784,1",1899/12/31 1:17:00,librarysound_ahthor_1,8120124,魔女的假日,bgm_bbhd_zcdwd,0
1523,15,"10785,1",1899/12/31 1:21:00,librarysound_ahthor_1,8120125,严肃之声,bgm_bbhd_zcdwd,0
1601,16,"10786,1",1899/12/31 1:18:00,librarysound_ahthor_1,8120001,星海往事,,0
1602,16,"10787,1",1899/12/31 1:28:00,librarysound_ahthor_1,8120002,创世纪,,0
1603,16,"10788,1",1899/12/31 1:15:00,librarysound_ahthor_1,8120003,禁忌之轮,,0
1604,16,"10789,1",1899/12/31 1:27:00,librarysound_ahthor_1,8120004,上古之战,,0
1605,16,"10790,1",1899/12/31 1:20:00,librarysound_ahthor_1,8120005,杰西斯之约,,0
1606,16,"10791,1",1899/12/31 0:50:00,librarysound_ahthor_1,8120006,物种洗牌,,0
1607,16,"10792,1",1899/12/31 1:09:00,librarysound_ahthor_1,8120007,黄金时代,,0
1608,16,"10793,1",1899/12/31 1:31:00,librarysound_ahthor_1,8120008,圣龙战争,,0
1609,16,"10794,1",1899/12/31 1:26:00,librarysound_ahthor_1,8120009,弑神,,0
1610,16,"10795,1",1899/12/31 1:02:00,librarysound_ahthor_1,8120010,新的秩序,,0
1611,16,"10796,1",1899/12/31 1:19:00,librarysound_ahthor_1,8120011,TORAH的崛起,,0
1612,16,"10797,1",1899/12/31 1:18:00,librarysound_ahthor_1,8120012,风暴将至,,0
1613,16,"10798,1",1899/12/31 1:57:00,librarysound_ahthor_1,8120013,我们的故事,,0
1614,16,"10799,1",1899/12/31 1:41:00,librarysound_ahthor_1,8120020,纠缠的羁绊,bgm_ZhangJie_KunNan,1
1615,16,"10800,1",1899/12/31 0:09:00,librarysound_ahthor_1,8120022,主线_战后剧情通用,,0
1616,16,"10801,1",1899/12/31 1:04:00,librarysound_ahthor_1,8120023,主线_纯剧情通用,,0
1617,16,"10802,1",1899/12/31 1:30:00,librarysound_ahthor_1,8120041,天赋使命,bgm_DengLu,1
