Id,,,,Rank,Type,Class,DebutAnimation,DyingAnimation,ModelScale,SuggestGospel,BpModelScale,ModelChestHeight,ModelBottomWidth,ModelChestWidth,SpecialCamera,Model,HeadBig,HeadSmall
3020001,暴食,仆从,boss,,3,4,1,,,"3013025,3013003,3016009",10000,,,,FightCamera_3020001,3020001,head_3020001,head_3020001_2
30200011,暴食2,仆从,boss,,3,4,1,,,"3013025,3013003,3016009",10000,,,,FightCamera_3020001,3020001,head_3020001,head_3020001_2
30200012,暴食3,仆从,boss,,3,4,1,,,"3013025,3013003,3016009",10000,,,,FightCamera_3020001,3020001,head_3020001,head_3020001_2
30200013,暴食3,仆从,boss,,3,4,1,,,"3013025,3013003,3016009",10000,,,,FightCamera_3020001,302000101,head_3020001,head_3020001_2
3020002,色欲,人子,boss,,3,7,1,,,"3014016,3013015,3015004",10000,,,,FightCamera_3030002,3020002,head_3020002,head_3020002_2
30200021,色欲2,人子,boss,,3,7,1,,,"3014016,3013015,3015004",10000,,,,FightCamera_3030002,3020002,head_3020002,head_3020002_2
30200022,色欲3,人子,boss,,3,7,1,,,"3014016,3013015,3015004",10000,,,,FightCamera_3030002,3020002,head_3020002,head_3020002_2
30200023,色欲3,人子,boss,,3,7,1,,,"3014016,3013015,3015004",10000,,,,FightCamera_3030002,302000201,head_3020002,head_3020002_2
3020003,愤怒,受难,boss,,3,6,1,,,"3013001,3013006,3014025",10000,,,,,3020003,head_3020003,head_3020003_2
30200031,愤怒2,受难,boss,,3,6,1,,,"3013001,3013006,3014025",10000,,,,,3020003,head_3020003,head_3020003_2
30200032,愤怒3,受难,boss,,3,6,1,,,"3013001,3013006,3014025",10000,,,,,3020003,head_3020003,head_3020003_2
30200033,愤怒-愤怒形态,受难,boss,,3,6,1,,,"3013023,3013007,3014018",10000,,,,,302000301,head_302000301,head_302000301_2
30200034,愤怒2-愤怒形态,受难,boss,,3,6,1,,,"3013023,3013007,3014018",10000,,,,,302000301,head_302000301,head_302000301_2
30200035,愤怒3-愤怒形态,受难,boss,,3,6,1,,,"3013023,3013007,3014018",10000,,,,,302000301,head_302000301,head_302000301_2
3020010,狄妮莎,神子,boss,,3,5,1,,,"3016119,3016189,3016024",10000,,,,,3020010,head_3020010,head_3020010_2
3020011,杰西斯,神子,boss,,3,5,1,,,0,5000,,,,,3020011,head_3020011,head_3020011_2
30200111,杰西斯2,神子,boss,,3,5,1,,,0,5000,,,,,3020011,head_3020011,head_3020011_2
3030001,西蒙,仆从,小boss,,2,4,1,,,"3013020,3013009,3016011",10000,,,,FightCamera_3030001,3030001,head_3030001,head_3030001_2
30300011,西蒙SP,仆从,boss,,3,4,1,,,"3013020,3013009,3016011",10000,,,,,3030001,head_3030001,head_3030001_2
30300012,西蒙,君王,小boss,,2,2,1,,,"3013020,3013009,3016011",10000,,,,FightCamera_3030001,303000101,head_3030001,head_3030001_2
3030002,莉莉布朗尼,人子,小boss,,2,7,1,,,"3013017,3014001,3015002",10000,,,,FightCamera_3030002,3030002,head_3030002,head_3030002_2
30300021,莉莉布朗尼SP,人子,boss,,3,7,1,,,"3013017,3014001,3015002",10000,,,,,3030002,head_3030002,head_3030002_2
30300023,莉莉布朗尼,诞生,小boss,,2,1,1,,,"3013017,3014001,3015002",10000,,,,FightCamera_3030002,303000201,head_3030002,head_3030002_2
3030003,咎瓦尤斯,受难,小boss,,2,6,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300031,咎瓦尤斯,受难,小boss,,2,1,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300032,咎瓦尤斯,受难,小boss,,2,2,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300033,咎瓦尤斯,受难,小boss,,2,3,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300034,咎瓦尤斯,受难,小boss,,2,4,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300035,咎瓦尤斯,受难,小boss,,2,5,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300036,咎瓦尤斯,受难,小boss,,2,6,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300037,咎瓦尤斯,受难,小boss,,2,7,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300038,咎瓦尤斯,受难,小boss,,2,6,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,303000301,head_3030003,head_3030003_2
30300039,咎瓦尤斯,受难,小boss,,2,1,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300040,咎瓦尤斯,受难,小boss,,2,2,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300041,咎瓦尤斯,受难,小boss,,2,3,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300042,咎瓦尤斯,受难,小boss,,2,4,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
