Id,Title,Name,NameHide,,Type,Display,RefreshType,Link,OperationType,OpenConditions,Conditions,Param,Pass,Reward,ChooseReward,ChooseRewardNum,PreMissionIds,Group,Image,DataTracking
101,0,mission_decs_101,0,首次登录游戏,4,1,1,0,0,0,"11000,1",0,0,130001,,,0,0,0,
102,0,mission_decs_102_1,0,累计消耗200点星魂力,4,1,1,10018,0,0,"11005,200",0,0,130002,,,0,0,0,
103,0,mission_decs_103_1,0,主线关卡取得2次胜利,4,1,1,10018,0,0,"11007,2",0,0,130002,,,0,0,0,
104,0,mission_decs_104_1,0,宝库之门取得2次胜利,4,1,1,10033,0,0,"11006,2",0,0,130001,,,0,0,0,
105,0,mission_decs_105_1,0,宝库之门取得4次胜利,4,1,1,10033,0,0,"11006,4",0,0,130002,,,0,0,0,
106,0,mission_decs_106_1,0,强化一次星痕等级,4,1,1,10013,0,0,"11010,1",0,0,130001,,,0,0,0,
107,0,mission_decs_107_1,0,在任意商店购买一次道具,4,1,1,1401,0,0,"11011,1",0,0,130001,,,0,0,0,
108,0,mission_decs_108_1,0,进行一次克萝萝大冒险,4,1,1,0,0,0,"11008,1",0,0,130001,,,0,0,0,
109,0,mission_decs_109_1,0,使用星魂结晶购买1次星魂力（新条件）,4,1,1,0,0,0,"17003,1",0,0,130001,,,0,0,0,
110,0,mission_decs_110_1,0,进行一次公会首领挑战（新条件）,4,1,1,0,0,0,"11012,1",0,0,130002,,,0,0,0,
111,0,mission_decs_111,0,参与一次公会赛马押注（新条件）,4,1,1,0,0,0,"11013,1",0,0,130002,,,0,0,0,
112,0,mission_decs_112,0,进行一次召唤,4,1,1,0,0,0,"11014,1",0,0,130001,,,0,0,0,
113,0,mission_decs_113,0,强化一次魔女等级,4,1,1,10014,0,0,"11009,1",0,0,130001,,,0,0,0,
114,0,mission_decs_114,0,进行一次深渊之域挑战,4,1,1,10032,0,0,"11015,1",0,0,130002,,,0,0,0,
151,0,mission_decs_151,0,"击败BOSS,战斗力20奖励(每日)",4,4,1,0,0,0,"11200,20",0,0,130006,,,0,151,10001,
152,0,mission_decs_152,0,"击败BOSS,战斗力40奖励(每日)",4,4,1,0,0,0,"11200,40",0,0,130007,,,0,151,10002,
153,0,mission_decs_153,0,"击败BOSS,战斗力60奖励(每日)",4,4,1,0,0,0,"11200,60",0,0,130008,,,0,151,10003,
154,0,mission_decs_154,0,"击败BOSS,战斗力80奖励(每日)",4,4,1,0,0,0,"11200,80",0,0,130009,,,0,151,10004,
155,0,mission_decs_155,0,"击败BOSS,战斗力100奖励(每日)",4,4,1,0,0,0,"11200,100",0,0,130010,,,0,151,10005,
201,0,mission_decs_201_1,0,累计5天登录游戏,4,2,2,0,0,0,"12000,5",0,0,130003,,,0,0,0,
202,0,mission_decs_202_1,0,累计消耗1000点星魂力,4,2,2,10018,0,0,"12003,1000",0,0,130003,,,0,0,0,
