Id,Bonus
99999991,1000
99999993,1000
99999994,1000
99999995,1000
99999996,1000
99999981,1000
99999980,1000
99999979,1000
99999978,1000
99999977,1000
99999976,1000
99999975,1000
99999974,1000
99999973,1000
99999972,1000
99999971,1000
99999968,500
99999967,1000
99999962,1000
99999959,1000
99999957,1000
99999954,1000
99999952,500
99999950,500
99999907,1000
99999906,1000
99999905,1000
99999904,1000
99999903,1000
99999902,1000
99999901,1000
99999900,1000
99999944,500
99999939,500
99999891,1000
