Id,Type,Order,TypeIcon,Name,ShopIcon,TabName,Tap,BuyUiType,UnlockCondition,Currency,CurrencyDisplay,RandCounts,RandPools,AutoFresh,Ticket,Setting,NameImage,DecorationImage,Pic,UnlockId
101,1,99,ui_sd_yeqian_xia_2,ui_shop_02,,ui_shop_02,1,0,0,0,"1000001,1000002",0,,0,0,1,ui_sd_jj_zi_1,ui_t_sd_hengtiao_shang_di_5,bg_t_1,405
201,2,99,ui_sd_yeqian_xia_3,ui_shop_03,1002020_icon,ui_shoptab_201,1,1,0,0,"1000001,1000002",0,,0,0,1,ui_sd_fl_zi_1,ui_t_sd_hengtiao_shang_di_6,bg_t_1,406
202,2,96,ui_sd_yeqian_xia_3,ui_shop_03,1002021_icon,ui_shoptab_202,1,1,0,0,"1000001,1000002",0,,0,0,1,ui_sd_fl_zi_1,ui_t_sd_hengtiao_shang_di_6,bg_t_1,406
203,2,98,ui_sd_yeqian_xia_3,ui_shop_03,1002022_icon,ui_shoptab_203,1,1,0,0,"1000001,1000002",0,,0,0,1,ui_sd_fl_zi_1,ui_t_sd_hengtiao_shang_di_6,bg_t_1,409
204,2,95,ui_sd_yeqian_xia_3,ui_shop_03,1001014_icon,ui_shoptab_204,1,6,0,0,"1000001,1000002",0,,0,0,1,ui_sd_fl_zi_1,ui_t_sd_hengtiao_shang_di_6,bg_t_1,410
205,2,94,ui_sd_yeqian_xia_3,ui_shop_03,1001014_icon,ui_shoptab_204,1,8,0,0,"1000001,1000002",0,,0,0,1,ui_sd_fl_zi_1,ui_t_sd_hengtiao_shang_di_6,bg_t_1,426
206,2,93,ui_sd_yeqian_xia_3,ui_shop_03,6021048_icon,ui_shoptab_206,1,1,0,1000001,"1000001,1000002",0,,0,0,1,ui_sd_fl_zi_1,ui_t_sd_hengtiao_shang_di_6,bg_t_1,427
299,2,1,ui_sd_yeqian_xia_3,ui_shop_03,1002930_icon,ui_shoptab_299,1,1,0,0,"1000001,1000002",0,,0,0,1,ui_sd_fl_zi_1,ui_t_sd_hengtiao_shang_di_6,bg_t_1,499
301,3,99,ui_sd_yeqian_xia_6,ui_shop_04,1001037_icon,ui_shoptab_301,1,3,0,1001037,1001037,0,,0,0,1,ui_sd_pf_zi_1,ui_t_sd_hengtiao_shang_di_9,bg_t_1,420
302,3,98,ui_sd_yeqian_xia_6,ui_shop_04,1002039_icon,ui_shoptab_302,1,7,0,0,0,0,,0,0,1,ui_sd_pf_zi_1,ui_t_sd_hengtiao_shang_di_9,bg_t_1,433
303,3,97,ui_sd_yeqian_xia_6,ui_shop_04,1001063_icon,ui_shoptab_303,1,4,0,1001063,1001063,0,,0,0,1,ui_sd_pf_zi_1,ui_t_sd_hengtiao_shang_di_9,bg_t_1,422
304,3,96,ui_sd_yeqian_xia_6,ui_shop_04,1001064_icon,ui_shoptab_304,1,4,0,1001064,1001064,0,,0,0,1,ui_sd_pf_zi_1,ui_t_sd_hengtiao_shang_di_9,bg_t_1,423
305,3,95,ui_sd_yeqian_xia_6,ui_shop_04,1001064_icon,ui_shoptab_305,1,2,0,1001064,1001064,0,,0,0,1,ui_sd_pf_zi_1,ui_t_sd_hengtiao_shang_di_9,bg_t_1,423
306,3,99,ui_sd_yeqian_xia_6,ui_shop_04,1000018_icon,ui_shoptab_306,1,3,0,1000018,1000018,0,,0,0,1,ui_sd_pf_zi_1,ui_t_sd_hengtiao_shang_di_9,bg_t_1,432
401,4,99,ui_sd_yeqian_xia_4,ui_shop_05,1000003_icon,ui_shoptab_401,1,2,0,1000003,"1000003,1000002",8,,1,1001,1,ui_sd_dh_zi_1,,bg_t_1,411
402,4,98,ui_sd_yeqian_xia_4,ui_shop_05,1001015_icon,ui_shoptab_402,1,2,0,1001015,1001015,0,,3,0,1,ui_sd_dh_zi_1,,bg_t_1,412
403,4,97,ui_sd_yeqian_xia_4,ui_shop_05,1001016_icon,ui_shoptab_403,1,2,0,1001016,1001016,0,"40301,2;40302,2;40303,2;40304,2",3,0,1,ui_sd_dh_zi_1,,bg_t_1,413
404,4,96,ui_sd_yeqian_xia_4,ui_shop_05,1007001_icon,ui_shoptab_404,1,2,0,1000002,"1000001,1000002",0,,0,0,1,ui_sd_dh_zi_1,ui_t_sd_hengtiao_shang_di_7,bg_t_1,415
405,4,95,ui_sd_yeqian_xia_4,ui_shop_05,1001005_icon,ui_shoptab_405,1,2,0,1001005,1001005,0,,0,0,1,ui_sd_dh_zi_1,,bg_t_1,416
406,4,94,ui_sd_yeqian_xia_4,ui_shop_05,1001030_icon,ui_shoptab_406,1,2,0,1001030,1001030,2,,0,0,1,ui_sd_dh_zi_1,ui_t_sd_hengtiao_shang_di_7,bg_t_1,421
407,4,93,ui_sd_yeqian_xia_4,ui_shop_05,1001130_icon,ui_shoptab_407,0,2,0,1001045,1001045,0,,0,0,1,ui_sd_dh_zi_1,ui_t_sd_hengtiao_shang_di_7,bg_t_1,
408,4,92,ui_sd_yeqian_xia_4,ui_shop_05,1001017_icon,ui_shoptab_408,0,2,0,1001017,1001017,0,,0,0,1,ui_sd_dh_zi_1,ui_t_sd_hengtiao_shang_di_7,bg_t_1,
409,4,91,ui_sd_yeqian_xia_4,ui_shop_05,1001054_icon_2,ui_shoptab_409,0,2,0,1001054,1001054,0,,0,0,1,ui_sd_dh_zi_1,ui_t_sd_hengtiao_shang_di_7,bg_t_1,
410,4,90,ui_sd_yeqian_xia_4,ui_shop_05,1001053_icon_2,ui_shoptab_410,0,2,0,1001053,1001053,0,,0,0,1,ui_sd_dh_zi_1,ui_t_sd_hengtiao_shang_di_7,bg_t_1,
411,4,89,ui_sd_yeqian_xia_4,ui_shop_05,1001050_icon_2,ui_shoptab_411,0,2,0,1001050,1001050,0,,0,0,1,ui_sd_dh_zi_1,ui_t_sd_hengtiao_shang_di_7,bg_t_1,
412,4,88,ui_sd_yeqian_xia_4,ui_shop_04,1001061_icon,ui_shoptab_412,1,2,0,1001061,1001061,0,,0,0,1,ui_sd_dh_zi_1,,bg_t_1,424
413,4,87,ui_sd_yeqian_xia_4,ui_shop_04,1000001_icon,ui_shoptab_413,1,2,0,1000001,1000001,0,,0,0,1,ui_sd_dh_zi_1,,bg_t_1,419
