Id,,ShopId,,PackGroup,Order,Name,Recommend,RecommendDesc,Poster,Rank,Type,Label,LabelDesc,,SpecialGiftLabel,LockFront,UnLockFront,Front,UnlockConditions,UnlockText,ItemId,Price,ShowPrice,IosProductId,AndoridProductId,IosProductId_CR,AndoridProductId_CR,IosProductId_APJXF,AndoridProductId_APJXF,IosProductId_JP,AndoridProductId_JP,WebProductId,BuyCounts,RandValue,Active,AutoFresh,Rate,RateValue,Voucher,Pic,Desc,Coordinate,DataTracking,Setting,Refund,PremiumPoints,Subscription,ChannelLock
30101,安普莎〔猩红之种〕,301,热卖装扮,,1,,,,,,10,0,,,0,,,,,,"301402501,1;501402501,1;5003031,1",980,,,,,,,,,,,1,0,1,,1000,100,,head_301402501_2,,"67,-9",,1,,0,0,
30102,纳菲〔僵尸回魂夜〕,301,热卖装扮,,1,,,,,,10,0,,,0,,,,,,"301402101,1;501402101,1;5003034,1",980,,,,,,,,,,,1,0,1,,1000,100,,head_301402101_2,,"20,-9",,1,,0,0,8
30103,吉拉蒂亚〔池中落英〕,301,热卖装扮,,1,,,,,,10,0,,,0,,,,,,"301600903,1;501600903,1;5003037,1",980,,,,,,,,,,,1,0,1,,1000,100,,head_301600903_2,,"67,0",,1,,0,0,
30104,"丘吉尔〔爱,天使与假日〕",301,热卖装扮,,1,,,,,,10,0,,,0,,,,,,"301402201,1;501402201,1;5003041,1",980,,,,,,,,,,,1,0,1,,1000,100,,head_301402201_2,,"0,0",,1,,0,0,
30302,裂痕（动态插画）,303,珍藏插画,,12,,,,,,10,0,0,,0,,,,,,"101302,1",70,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0,0,
30303,我惟向你（动态插画）,303,珍藏插画,,11,,,,,,10,0,0,,0,,,,,,"101303,1",70,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0,0,
30305,长恨此身（动态插画）,303,珍藏插画,,9,,,,,,10,0,0,,0,,,,,,"101305,1",70,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0,0,
30307,恋如雨来（动态插画）,303,珍藏插画,,7,,,,,,10,0,0,,0,,,,,,"101307,1",70,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0,0,
30309,梦回还（动态插画）,303,珍藏插画,,5,,,,,,10,0,0,,0,,,,,,"101309,1",70,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0,0,
30310,净化之前（动态插画）,303,珍藏插画,,4,,,,,,10,0,0,,0,,,,,,"101310,1",70,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0,0,
30311,深林遇狐（动态插画）,303,珍藏插画,,3,,,,,,10,0,0,,0,,,,,,"101311,1",70,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0,0,
30312,坠星（动态插画）,303,珍藏插画,,2,,,,,,10,0,0,,0,,,,,,"101312,1",70,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0,0,
30401,英雄诞生（插画）,304,精品插画,,100,,,,,,10,0,0,,0,,,,,,"1018001,1",1200,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0,0,
30402,睡美人1（插画）,304,精品插画,,99,,,,,,10,0,0,,0,,,,,,"1018002,1",1200,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0,0,
30403,睡美人2（插画）,304,精品插画,,98,,,,,,10,0,0,,0,,,,,,"1018003,1",1200,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0,0,
