Id,SkillType,SkillName,,Image,SkillEffect,TargetType,AbilityType,ClientType,AbilityParam,SkillAudio
101,1,,加速陷阱,,eft_saima_speedup,1,1,1,"3,40",8100151
201,2,,巨石陷阱,,,1,2,6,"2,999",8100154
202,2,,水潭陷阱,,eft_saima_speeddown,1,6,2,"4,6500",8100152
301,3,,给自己加速,,eft_saima_speedup,1,1,1,"3,55",8100156
302,3,,必闪下个陷阱,,,1,3,3,1,8100160
303,3,,随机眩晕一个敌人,,eft_saima_7014024_jn_hit,2,2,7,"2,999",8100158
304,3,,减速所有敌人,,eft_saima_speeddown,3,6,2,"4,4000",8100157
401,4,guild_race_skillname_05,状态被动：不佳,ui_rc_sm_xiazhu_zhuangtai_4,,1,4,4,"200,500",
402,4,guild_race_skillname_06,状态被动：普通,ui_rc_sm_xiazhu_zhuangtai_3,,1,5,5,"0,300",
403,4,guild_race_skillname_07,状态被动：佳,ui_rc_sm_xiazhu_zhuangtai_2,,1,5,5,"400,600",
404,4,guild_race_skillname_08,状态被动：绝佳,ui_rc_sm_xiazhu_zhuangtai_1,,1,5,5,"700,1000",
