Id,LibraryType,Name,,TabType,TabName,TabImage
1,1,ui_Library_1,图鉴,1,ui_LibraryTabName_01,0
2,1,ui_Library_1,图鉴,2,ui_LibraryTabName_02,0
3,1,ui_Library_1,图鉴,3,ui_LibraryTabName_03,0
4,1,ui_Library_1,图鉴,4,ui_LibraryTabName_04,0
5,1,ui_Library_1,图鉴,5,ui_LibraryTabName_05,0
6,2,ui_Library_2,编年史,6,ui_LibraryTabName_06,ui_da_bns_rukou_1
7,2,ui_Library_2,编年史,7,ui_LibraryTabName_07,ui_da_bns_rukou_2
8,2,ui_Library_2,编年史,8,ui_LibraryTabName_08,ui_da_bns_rukou_3
9,2,ui_Library_2,编年史,9,ui_LibraryTabName_09,ui_da_bns_rukou_4
10,2,ui_Library_2,编年史,10,ui_LibraryTabName_10,ui_da_bns_rukou_5
11,3,ui_Library_3,剧情回顾,11,ui_LibraryTabName_11,0
12,3,ui_Library_3,剧情回顾,12,ui_LibraryTabName_12,0
13,3,ui_Library_3,剧情回顾,13,ui_LibraryTabName_13,0
14,4,ui_Library_4,音乐,14,ui_LibraryTabName_14,0
15,4,ui_Library_4,音乐,15,ui_LibraryTabName_15,0
16,4,ui_Library_4,音乐,16,ui_LibraryTabName_16,0
