ID,Group,ActivityID,GachaShow,Rate,ItemID,ItemNum,GachaNum
1,10001,100132,,1612,1006506,25,99
2,10001,100132,,1612,1002142,20,99
3,10001,100132,,1612,1006401,30,99
4,10001,100132,,1612,1006251,24,99
5,10001,100132,,1612,1002162,1,99
6,10001,100132,,600,1000003,40000,99
7,10001,100132,,840,1006222,12,99
8,10001,100132,,500,1001037,80,99
10,10002,100132,1,18,301500401,1,1
11,10002,100132,4,21,1006400,1,1
12,10002,100132,2,20,1000003,1500000,1
13,10002,100132,3,20,1002171,1,1
14,10002,100132,5,21,1006699,1,1
15,10003,100133,1,2000,1000002,72,1
16,10003,100133,2,2000,1000002,84,1
17,10003,100133,3,1500,1000002,96,1
18,10003,100133,4,1500,1000002,120,1
19,10003,100133,5,1000,1000002,150,1
20,10003,100133,6,1000,1000002,180,1
21,10003,100133,7,500,1000002,240,1
22,10003,100133,8,500,1000002,300,1
23,10004,100133,1,2000,1000002,360,1
24,10004,100133,2,2000,1000002,420,1
25,10004,100133,3,1500,1000002,480,1
26,10004,100133,4,1500,1000002,600,1
27,10004,100133,5,1000,1000002,750,1
28,10004,100133,6,1000,1000002,900,1
29,10004,100133,7,500,1000002,1200,1
30,10004,100133,8,500,1000002,1500,1
31,10005,100133,1,2000,1000002,1176,1
32,10005,100133,2,2000,1000002,1372,1
33,10005,100133,3,1500,1000002,1568,1
34,10005,100133,4,1500,1000002,1960,1
35,10005,100133,5,1000,1000002,2450,1
36,10005,100133,6,1000,1000002,2940,1
37,10005,100133,7,500,1000002,3920,1
38,10005,100133,8,500,1000002,4900,1
39,10006,100133,1,3500,1000002,2376,1
40,10006,100133,2,2000,1000002,2772,1
41,10006,100133,3,1500,1000002,3168,1
42,10006,100133,4,1000,1000002,3960,1
43,10006,100133,5,800,1000002,4950,1
44,10006,100133,6,600,1000002,5940,1
45,10006,100133,7,400,1000002,7920,1
46,10006,100133,8,200,1000002,9900,1
47,10007,100133,1,3500,1000002,3936,1
48,10007,100133,2,2000,1000002,4592,1
49,10007,100133,3,1500,1000002,5248,1
50,10007,100133,4,1000,1000002,6560,1
51,10007,100133,5,800,1000002,8200,1
52,10007,100133,6,600,1000002,9840,1
53,10007,100133,7,400,1000002,13120,1
54,10007,100133,8,200,1000002,16400,1
55,10008,100133,1,5700,1000002,7776,1
56,10008,100133,2,2000,1000002,9072,1
57,10008,100133,3,1500,1000002,10368,1
58,10008,100133,4,3000,1000002,12960,1
59,10008,100133,5,200,1000002,16200,1
60,10008,100133,6,150,1000002,19440,1
61,10008,100133,7,100,1000002,25920,1
62,10008,100133,8,50,1000002,32400,1
63,10009,100133,1,5700,1000002,7776,1
64,10009,100133,2,2000,1000002,9072,1
65,10009,100133,3,1500,1000002,10368,1
66,10009,100133,4,3000,1000002,12960,1
67,10009,100133,5,200,1000002,16200,1
68,10009,100133,6,150,1000002,19440,1
69,10009,100133,7,100,1000002,25920,1
70,10009,100133,8,50,1000002,32400,1
71,10010,100133,1,5700,1000002,7776,1
72,10010,100133,2,2000,1000002,9072,1
73,10010,100133,3,1500,1000002,10368,1
74,10010,100133,4,3000,1000002,12960,1
75,10010,100133,5,200,1000002,16200,1
76,10010,100133,6,150,1000002,19440,1
77,10010,100133,7,100,1000002,25920,1
78,10010,100133,8,50,1000002,32400,1
79,10011,100133,1,5700,1000002,7776,1
80,10011,100133,2,2000,1000002,9072,1
81,10011,100133,3,1500,1000002,10368,1
82,10011,100133,4,3000,1000002,12960,1
83,10011,100133,5,200,1000002,16200,1
84,10011,100133,6,150,1000002,19440,1
85,10011,100133,7,100,1000002,25920,1
86,10011,100133,8,50,1000002,32400,1
87,10012,100133,1,5700,1000002,7776,1
88,10012,100133,2,2000,1000002,9072,1
89,10012,100133,3,1500,1000002,10368,1
90,10012,100133,4,3000,1000002,12960,1
91,10012,100133,5,200,1000002,16200,1
92,10012,100133,6,150,1000002,19440,1
93,10012,100133,7,100,1000002,25920,1
94,10012,100133,8,50,1000002,32400,1
95,10013,100133,1,5700,1000002,7776,1
96,10013,100133,2,2000,1000002,9072,1
97,10013,100133,3,1500,1000002,10368,1
98,10013,100133,4,3000,1000002,12960,1
99,10013,100133,5,200,1000002,16200,1
100,10013,100133,6,150,1000002,19440,1
101,10013,100133,7,100,1000002,25920,1
102,10013,100133,8,50,1000002,32400,1
103,10014,100133,1,5700,1000002,7776,1
104,10014,100133,2,2000,1000002,9072,1
105,10014,100133,3,1500,1000002,10368,1
106,10014,100133,4,3000,1000002,12960,1
107,10014,100133,5,200,1000002,16200,1
108,10014,100133,6,150,1000002,19440,1
109,10014,100133,7,100,1000002,25920,1
110,10014,100133,8,50,1000002,32400,1
111,10015,100133,1,5700,1000002,7776,1
112,10015,100133,2,2000,1000002,9072,1
113,10015,100133,3,1500,1000002,10368,1
114,10015,100133,4,3000,1000002,12960,1
115,10015,100133,5,200,1000002,16200,1
116,10015,100133,6,150,1000002,19440,1
117,10015,100133,7,100,1000002,25920,1
118,10015,100133,8,50,1000002,32400,1
119,10016,100133,1,5700,1000002,7776,1
120,10016,100133,2,2000,1000002,9072,1
121,10016,100133,3,1500,1000002,10368,1
122,10016,100133,4,3000,1000002,12960,1
123,10016,100133,5,200,1000002,16200,1
124,10016,100133,6,150,1000002,19440,1
125,10016,100133,7,100,1000002,25920,1
126,10016,100133,8,50,1000002,32400,1
127,10017,100133,1,5700,1000002,7776,1
128,10017,100133,2,2000,1000002,9072,1
129,10017,100133,3,1500,1000002,10368,1
