Type,TypeParam,Order,Condition,PopType,IntervalTime,Title,Text,MainRes,Reward,UiSwitch,Unlock
1,100103,99,,2,,,,,,,
2,0,50,,2,,,,,,,
3,0,51,,2,,,,,,,
4,0,52,,1,1,,,,,,
1,100114,99,,1,1,,,,,,31
1,100102,99,,1,1,,,,,,
5,1,99,"1313,0,1",2,,popup_title_1,ui_activity_text_66,UI/Prefab/Popup/PopupCardBg,"9035,0;3013019,0;1000002,0",9999,498
6,0,98,,3,,,,,,,
7,1002,2,"101180,1;31002,1,1",3,30,,,UI/Prefab/Popup/SummCard/SummonCard_Tao,,10102,
7,1003,3,"101180,1;31003,1,1",3,30,,,UI/Prefab/Popup/SummCard/SummonCard_Tao,,10103,
7,1004,4,"101180,1;31004,1,1",3,30,,,UI/Prefab/Popup/SummCard/SummonCard_Tao,,10104,
7,1005,5,"101180,1;31005,1,1",3,30,,,UI/Prefab/Popup/SummCard/SummonCard_XiLai,,10105,
7,1006,6,"101180,1;31006,1,1",3,30,,,UI/Prefab/Popup/SummCard/SummonCard_NaiAoMi,,10106,
7,1007,7,"101180,1;31007,1,1",3,30,,,UI/Prefab/Popup/SummCard/SummonCard_DaBoSiJu,,10107,
7,1008,8,"101180,1;31008,1,1",3,30,,,UI/Prefab/Popup/SummCard/SummonCard_NWY,,10108,
7,1009,8,"101180,1;31009,1,1",3,30,,,UI/Prefab/Popup/SummCard/SummonCard_AEWL,,10109,
