Id,LibaryId,ReadSaveBit,UnLockCondition,UnlockSaveBit,UnLockDes,AutoCheck,AttrRefixCardId,RewardDropId,Order,Open
1001,1,1,"15035,1",,,,,,,
1002,1,2,"15035,1",,,,,,,
1003,1,3,"15036,1",,,,,,,
1004,1,4,"15037,1",,,,,,,
1005,1,5,"15038,1",,,,,,,
1006,1,6,"15039,1",,,,,,,
2001,2,7,"10002,1",,,,,,,
2002,2,8,"10003,1",,,,,,,
2003,2,9,"10004,1",,,,,,,
2004,2,10,"10005,1",,,,,,,
2005,2,11,"10006,1",,,,,,,
2006,2,12,"10007,1",,,,,,,
2007,2,13,"10008,1",,,,,,,
2008,2,14,"10009,1",,,,,,,0
2009,2,15,"10010,1",,,,,,,
2010,2,16,"10011,1",,,,,,,
2011,2,17,"10012,1",,,,,,,
2012,2,18,"10013,1",,,,,,,
2013,2,19,"10014,1",,,,,,,
2014,2,20,"10015,1",,,,,,,
2015,2,21,"10016,1",,,,,,,
2016,2,22,"10017,1",,,,,,,
2017,2,23,"10018,1",,,,,,,0
2018,2,24,"10019,1",,,,,,,0
2019,2,25,"10020,1",,,,,,,
2020,2,26,"10021,1",,,,,,,
2021,2,27,"10022,1",,,,,,,
2022,2,28,"10023,1",,,,,,,
2023,2,29,"10024,1",,,,,,,
2024,2,30,"10025,1",,,,,,,
2025,2,31,"10026,1",,,,,,,
2026,2,32,"10027,1",,,,,,,
2027,2,33,"10028,1",,,,,,,
2028,2,34,"10029,1",,,,,,,
2029,2,35,"10030,1",,,,,,,
2030,2,36,"10031,1",,,,,,,
2031,2,37,"10032,1",,,,,,,
2032,2,38,"10033,1",,,,,,,
2033,2,39,"10034,1",,,,,,,
2034,2,40,"10035,1",,,,,,,
2035,2,41,"10036,1",,,,,,,
2036,2,42,"10037,1",,,,,,,
2037,2,43,"10038,1",,,,,,,
2038,2,44,"10039,1",,,,,,,
2039,2,45,"10040,1",,,,,,,
2040,2,46,"10041,1",,,,,,,
2041,2,47,"10042,1",,,,,,,
2042,2,48,"10043,1",,,,,,,
2043,2,49,"10044,1",,,,,,,
2044,2,50,"10045,1",,,,,,,
2045,2,51,"10046,1",,,,,,,
2046,2,52,"10047,1",,,,,,,
2047,2,53,"10048,1",,,,,,,
2048,2,54,"10049,1",,,,,,,
2049,2,55,"10050,1",,,,,,,
2050,2,56,"10051,1",,,,,,,
2051,2,57,"10052,1",,,,,,,
2052,2,58,"10053,1",,,,,,,
2053,2,59,"10054,1",,,,,,,
2054,2,60,"10055,1",,,,,,,
2055,2,61,"10056,1",,,,,,,
2056,2,62,"10057,1",,,,,,,
2057,2,63,"10058,1",,,,,,,
2058,2,64,"10059,1",,,,,,,
2059,2,65,"10060,1",,,,,,,
2060,2,66,"10061,1",,,,,,,
2061,2,67,"10062,1",,,,,,,
2062,2,68,"10063,1",,,,,,,
2063,2,69,"10064,1",,,,,,,
2064,2,70,"10065,1",,,,,,,0
2065,2,71,"10066,1",,,,,,,0
2066,2,72,"10067,1",,,,,,,0
2067,2,73,"10068,1",,,,,,,
2068,2,74,"10069,1",,,,,,,
2069,2,75,"10070,1",,,,,,,
2070,2,76,"10071,1",,,,,,,
2071,2,77,"10072,1",,,,,,,
2072,2,78,"10073,1",,,,,,,
2073,2,79,"10074,1",,,,,,,
2074,2,80,"10075,1",,,,,,,
2075,2,81,"10076,1",,,,,,,0
2076,2,82,"10077,1",,,,,,,0
2077,2,83,"10078,1",,,,,,,0
2078,2,84,"10079,1",,,,,,,0
2079,2,85,"10080,1",,,,,,,0
3001,3,86,0,,,,,,,
3002,3,87,0,,,,,,,
3003,3,88,0,,,,,,,
3004,3,89,0,,,,,,,
3005,3,90,"101010,1",,,,,,,
3006,3,91,"101010,1",,,,,,,
3007,3,92,"101010,1",,,,,,,
3008,3,93,"101020,1",,,,,,,
3009,3,94,"101020,1",,,,,,,
3010,3,95,"101120,1",,,,,,,
3011,3,96,"101050,1",,,,,,,
3012,3,97,"103010,1",,,,,,,
3013,3,98,"103010,1",,,,,,,
3014,3,99,"103060,1",,,,,,,
3015,3,100,"104090,1",,,,,,,
3016,3,101,"104150,1",,,,,,,
3017,3,102,"104150,1",,,,,,,
3018,3,103,"105050,1",,,,,,,
3019,3,104,"105100,1",,,,,,,
3020,3,105,"105150,1",,,,,,,
3021,3,106,"105160,1",,,,,,,
3022,3,107,"105160,1",,,,,,,
3023,3,108,"105190,1",,,,,,,
3024,3,109,"105190,1",,,,,,,
3025,3,110,"105190,1",,,,,,,
3026,3,111,"105190,1",,,,,,,
3027,3,112,"105190,1",,,,,,,
3028,3,113,"105190,1",,,,,,,
3029,3,114,"105200,1",,,,,,,
3030,3,115,"105200,1",,,,,,,
3031,3,116,"105200,1",,,,,,,
3032,3,117,"104100,1",,,,,,,
3033,3,118,"104100,1",,,,,,,
3034,3,119,"104100,1",,,,,,,
3035,3,120,"107040,1",,,,,,,
3036,3,121,"107050,1",,,,,,,
3037,3,122,"107080,1",,,,,,,
3038,3,123,"108010,1",,,,,,,
3039,3,124,"108010,1",,,,,,,
3040,3,125,"108070,1",,,,,,,
3041,3,126,"108070,1",,,,,,,
3042,3,127,"108140,1",,,,,,,
3043,3,128,"108140,1",,,,,,,
3044,3,129,"108140,1",,,,,,,
3045,3,130,"108170,1",,,,,,,
3046,3,131,"108170,1",,,,,,,
3047,3,132,"108170,1",,,,,,,
4001,4,133,0,,,,,,,
4002,4,134,0,,,,,,,
4003,4,135,0,,,,,,,
4004,4,136,0,,,,,,,
4005,4,137,0,,,,,,,
4006,4,138,0,,,,,,,
4007,4,139,0,,,,,,,
4008,4,140,0,,,,,,,"0,2,3,4,5"
4009,4,141,0,,,,,,,
4010,4,142,0,,,,,,,
4011,4,143,0,,,,,,,
4012,4,144,0,,,,,,,
4013,4,145,0,,,,,,,
4014,4,146,0,,,,,,,
4015,4,147,0,,,,,,,
4016,4,148,0,,,,,,,
4017,4,149,0,,,,,,,
4018,4,150,0,,,,,,,
4019,4,151,0,,,,,,,
4020,4,152,0,,,,,,,"0,8,9,10"
4021,4,153,0,,,,,,,
4022,4,154,0,,,,,,,
4023,4,155,0,,,,,,,
4024,4,156,0,,,,,,,
4025,4,157,0,,,,,,,
4026,4,158,0,,,,,,,
4027,4,159,0,,,,,,,
4028,4,160,0,,,,,,,"0,8,9,10"
4029,4,161,0,,,,,,,
4030,4,162,0,,,,,,,
4031,4,163,0,,,,,,,
4032,4,164,0,,,,,,,
4033,4,165,0,,,,,,,
4034,4,166,0,,,,,,,
4035,4,167,0,,,,,,,
4036,4,168,0,,,,,,,
4037,4,169,0,,,,,,,
4038,4,170,0,,,,,,,
4039,4,171,0,,,,,,,
4040,4,172,0,,,,,,,
4041,4,173,0,,,,,,,
4042,4,174,0,,,,,,,
4043,4,175,0,,,,,,,
4044,4,176,0,,,,,,,
4045,4,177,0,,,,,,,
4046,4,178,0,,,,,,,
4047,4,179,0,,,,,,,
4048,4,180,0,,,,,,,
4049,4,181,0,,,,,,,
4050,4,182,0,,,,,,,
4051,4,183,0,,,,,,,
4052,4,184,0,,,,,,,
4053,4,185,0,,,,,,,
4054,4,186,0,,,,,,,
4055,4,187,0,,,,,,,
4056,4,188,0,,,,,,,
4057,4,189,0,,,,,,,
4058,4,190,0,,,,,,,
4059,4,191,0,,,,,,,
4060,4,192,0,,,,,,,
4061,4,193,0,,,,,,,
4062,4,194,0,,,,,,,
4063,4,195,0,,,,,,,
4064,4,196,0,,,,,,,
4065,4,197,0,,,,,,,
4066,4,198,0,,,,,,,
4067,4,199,0,,,,,,,
4068,4,200,0,,,,,,,
4069,4,201,0,,,,,,,
4070,4,1695,0,,,,,,,
5001,5,202,"101010,1",,,,,,,
5002,5,203,"101020,1",,,,,,,
5003,5,204,"101080,1",,,,,,,
5004,5,205,"101080,1",,,,,,,
5005,5,206,"101080,1",,,,,,,
5006,5,207,"103010,1",,,,,,,
5007,5,208,"102130,1",,,,,,,
5008,5,209,"102020,1",,,,,,,
5009,5,210,"103100,1",,,,,,,
5010,5,211,"101040,1",,,,,,,
5011,5,212,"102130,1",,,,,,,
5012,5,213,"103040,1",,,,,,,
11001,11,214,0,1,,,,,,
11002,11,215,0,2,,,,,,
11003,11,216,0,3,,,,,,
11004,11,217,0,4,,,,,,
11005,11,218,0,5,,,,,,
11006,11,219,0,6,,,,,,
11007,11,220,0,7,,,,,,
11008,11,221,0,8,,,,,,
11009,11,222,0,9,,,,,,
11010,11,223,0,10,,,,,,
11011,11,224,0,11,,,,,,
11012,11,225,0,12,,,,,,
11013,11,226,0,13,,,,,,
11014,11,227,0,14,,,,,,
11015,11,228,0,15,,,,,,
11016,11,229,0,16,,,,,,
11017,11,230,0,17,,,,,,
11018,11,231,0,18,,,,,,
11019,11,232,0,19,,,,,,-1
11020,11,233,0,20,,,,,,
11021,11,234,0,21,,,,,,
11022,11,235,0,22,,,,,,
11023,11,236,0,23,,,,,,
11024,11,237,0,24,,,,,,
11025,11,238,0,25,,,,,,"0,8,9,10"
11026,11,239,0,26,,,,,,
11027,11,240,0,27,,,,,,
11028,11,241,0,28,,,,,,
11029,11,242,0,29,,,,,,"0,2,3,4,5"
11030,11,243,0,30,,,,,,
11031,11,244,0,31,,,,,,
11032,11,245,0,32,,,,,,
11033,11,246,0,33,,,,,,
11034,11,247,0,34,,,,,,
11035,11,248,0,35,,,,,,
11036,11,249,0,36,,,,,,
11037,11,250,0,37,,,,,,
11038,11,251,0,38,,,,,,
11039,11,252,0,39,,,,,,
11040,11,253,0,40,,,,,,
11041,11,254,0,41,,,,,,
11042,11,255,0,42,,,,,,
11043,11,256,0,43,,,,,,
11044,11,257,0,44,,,,,,
11045,11,258,0,45,,,,,,
11046,11,259,0,46,,,,,,
120101,12,260,0,,,,,,,
120102,12,261,0,,,,,,,
120103,12,262,0,,,,,,,
120104,12,263,0,,,,,,,
120105,12,264,0,,,,,,,
120106,12,265,0,,,,,,,
120107,12,266,0,,,,,,,
120108,12,267,0,,,,,,,
120109,12,268,0,,,,,,,
120110,12,269,0,,,,,,,
120111,12,270,0,,,,,,,
120112,12,271,0,,,,,,,
120113,12,272,0,,,,,,,
120114,12,273,0,,,,,,,
120115,12,274,0,,,,,,,
120116,12,275,0,,,,,,,
120117,12,276,0,,,,,,,
120118,12,277,0,,,,,,,
120119,12,278,0,,,,,,,
120201,12,279,0,,,,,,,
120202,12,280,0,,,,,,,
120203,12,281,0,,,,,,,
120204,12,282,0,,,,,,,
120205,12,283,0,,,,,,,
120206,12,284,0,,,,,,,
120207,12,285,0,,,,,,,
120208,12,286,0,,,,,,,
120209,12,287,0,,,,,,,
120210,12,288,0,,,,,,,
120211,12,289,0,,,,,,,
120212,12,290,0,,,,,,,
120213,12,291,0,,,,,,,
120214,12,292,0,,,,,,,
120215,12,293,0,,,,,,,
120216,12,294,0,,,,,,,
120217,12,295,0,,,,,,,
120218,12,296,0,,,,,,,
120301,12,297,0,,,,,,,
120302,12,298,0,,,,,,,
120303,12,299,0,,,,,,,
120304,12,300,0,,,,,,,
120305,12,301,0,,,,,,,
120306,12,302,0,,,,,,,
120307,12,303,0,,,,,,,
120308,12,304,0,,,,,,,
120309,12,305,0,,,,,,,
120310,12,306,0,,,,,,,
120311,12,307,0,,,,,,,
120312,12,308,0,,,,,,,
120313,12,309,0,,,,,,,
120314,12,310,0,,,,,,,
120315,12,311,0,,,,,,,
120401,12,312,0,,,,,,,
120402,12,313,0,,,,,,,
120403,12,314,0,,,,,,,
120404,12,315,0,,,,,,,
120405,12,316,0,,,,,,,
120406,12,317,0,,,,,,,
120407,12,318,0,,,,,,,
120408,12,319,0,,,,,,,
120409,12,320,0,,,,,,,
120410,12,321,0,,,,,,,
120411,12,322,0,,,,,,,
120412,12,323,0,,,,,,,
120413,12,324,0,,,,,,,
120414,12,325,0,,,,,,,
120415,12,326,0,,,,,,,
120416,12,327,0,,,,,,,
120417,12,328,0,,,,,,,
120418,12,329,0,,,,,,,
120501,12,330,0,,,,,,,
120502,12,331,0,,,,,,,
120503,12,332,0,,,,,,,
120504,12,333,0,,,,,,,
120505,12,334,0,,,,,,,
120506,12,335,0,,,,,,,
120507,12,336,0,,,,,,,
120508,12,337,0,,,,,,,
120509,12,338,0,,,,,,,
120510,12,339,0,,,,,,,
120511,12,340,0,,,,,,,
120512,12,341,0,,,,,,,
120513,12,342,0,,,,,,,
120514,12,343,0,,,,,,,
120515,12,344,0,,,,,,,
120516,12,345,0,,,,,,,
120517,12,346,0,,,,,,,
120518,12,347,0,,,,,,,
120519,12,348,0,,,,,,,
120520,12,349,0,,,,,,,
120521,12,350,0,,,,,,,
120522,12,351,0,,,,,,,
120523,12,352,0,,,,,,,
120524,12,353,0,,,,,,,
120525,12,354,0,,,,,,,
120701,12,355,0,,,,,,,
120702,12,356,0,,,,,,,
120703,12,357,0,,,,,,,
120704,12,358,0,,,,,,,
120705,12,359,0,,,,,,,
120706,12,360,0,,,,,,,
120707,12,361,0,,,,,,,
120708,12,362,0,,,,,,,
120709,12,363,0,,,,,,,
120710,12,364,0,,,,,,,
120711,12,365,0,,,,,,,
120712,12,366,0,,,,,,,
120713,12,367,0,,,,,,,
120714,12,368,0,,,,,,,
120715,12,369,0,,,,,,,
120716,12,370,0,,,,,,,
120801,12,371,0,,,,,,,
