Id,Site,ParticipateTime,Mate,RecruitRole,Treasure,SuperCard,Card,InletImage,NameImage,SiteImage,Badge
0,1,"8,24",0,"3,5;3,5;3,5",0,3,0,,,,
1,1,"8,24",1,"3,5",3,0,0,,,,
2,1,"8,24",2,"3,5",0,3,0,,,,
3,1,"8,24",3,"3,5",3,0,0,,,,
4,1,"8,24",4,0,0,3,"4,3,4",,,,
5,2,"8,24",5,"3,5",0,3,0,,,,
6,2,"8,24",6,"3,5",0,0,"4,3,4",,,,
7,2,"8,24",7,0,0,3,"4,3,4",,,,
8,2,"8,24",8,"3,5",0,0,0,,,,
9,3,"19,22",9,0,0,3,0,,,,
10,3,"19,22","10,11,12",0,0,0,"4,3,4",,,,
11,3,"19,22","10,11,12",0,0,3,0,,,,
12,3,"19,22","10,11,12",0,0,0,0,,,,
