Id,,Level,Exp,FavorUp,ItemReward,AttrRefix,,Des,FaverUnlock
3000001,律,0,100,"1,60",0,,,FavorReward_3000001_0,
3000001,律,1,200,"1,60","1000002,10",,,,
3000001,律,2,400,"1,60","1000002,10",,,FavorReward_3000001_2,
3000001,律,3,800,"1,70","1000002,10",,,FavorReward_3000001_3,
3000001,律,4,1600,"1,70","1000002,10",,,FavorReward_3000001_4,
3000001,律,5,3200,"1,70","1000002,10",,,FavorReward_3000001_5,
3000001,律,6,4800,"1,70","1000002,10",,,FavorReward_3000001_6,
3000001,律,7,,"1,70","1000002,10",,,FavorReward_3000001_7,
3000002,克萝萝,0,100,"1,60",0,,,FavorReward_3000002_0,
3000002,克萝萝,1,200,"1,60","1000002,10",,,,
3000002,克萝萝,2,400,"1,60","1000002,10",,,FavorReward_3000002_2,
3000002,克萝萝,3,800,"1,70","1000002,10",,,FavorReward_3000002_3,
3000002,克萝萝,4,1600,"1,70","1000002,10",,,FavorReward_3000002_4,
3000002,克萝萝,5,3200,"1,70","1000002,10",,,FavorReward_3000002_5,
3000002,克萝萝,6,4800,"1,70","1000002,10",,,FavorReward_3000002_6,
3000002,克萝萝,7,,"1,70","1000002,10",,,FavorReward_3000002_7,
3000003,黑神月咏,0,100,"1,60",0,,,FavorReward_3000003_0,
3000003,黑神月咏,1,200,"1,60","1000002,10",,,,
3000003,黑神月咏,2,400,"1,60","1000002,10",,,FavorReward_3000003_2,
3000003,黑神月咏,3,800,"1,70","1000002,10",,,FavorReward_3000003_3,
3000003,黑神月咏,4,1600,"1,70","1000002,10",,,FavorReward_3000003_4,
3000003,黑神月咏,5,3200,"1,70","1000002,10",,,FavorReward_3000003_5,
3000003,黑神月咏,6,4800,"1,70","1000002,10",,,FavorReward_3000003_6,
3000003,黑神月咏,7,,"1,70","1000002,10",,,FavorReward_3000003_7,
3000004,安洁,0,100,"1,60",0,,,FavorReward_3000004_0,
3000004,安洁,1,200,"1,60","1000002,10",,,,
3000004,安洁,2,400,"1,60","1000002,10",,,FavorReward_3000004_2,
3000004,安洁,3,800,"1,70","1000002,10",,,FavorReward_3000004_3,
3000004,安洁,4,1600,"1,70","1000002,10",,,FavorReward_3000004_4,
3000004,安洁,5,3200,"1,70","1000002,10",,,FavorReward_3000004_5,
3000004,安洁,6,4800,"1,70","1000002,10",,,FavorReward_3000004_6,
3000004,安洁,7,,"1,70","1000002,10",,,FavorReward_3000004_7,
