Id,Level,par1,Item1
10001,1,3,"1006401,4,1000003,400;1006401,4,1000003,400;1006401,4,1000003,400;1006401,4,1000003,400;1006401,4,1000003,400;1006401,4,1000003,400;1006401,4,1000003,400"
10001,2,3,"1006401,8,1000003,800,1006201,5;1006401,8,1000003,800,1006202,5;1006401,8,1000003,800,1006203,5;1006401,8,1000003,800,1006204,5;1006401,8,1000003,800,1006205,5;1006401,8,1000003,800,1006206,5;1006401,8,1000003,800,1006207,5"
10001,3,3,"1006402,5,1000003,1600,1006202,5;1006402,5,1000003,1600,1006203,5;1006402,5,1000003,1600,1006204,5;1006402,5,1000003,1600,1006205,5;1006402,5,1000003,1600,1006206,5;1006402,5,1000003,1600,1006207,5;1006402,5,1000003,1600,1006201,5"
10001,4,3,"1006402,7,1000003,3200,1006203,5;1006402,7,1000003,3200,1006204,5;1006402,7,1000003,3200,1006205,5;1006402,7,1000003,3200,1006206,5;1006402,7,1000003,3200,1006207,5;1006402,7,1000003,3200,1006201,5;1006402,7,1000003,3200,1006202,5"
10001,5,3,"1006402,9,1000003,5600,1006204,5,1006201,5;1006402,9,1000003,5600,1006205,5,1006202,5;1006402,9,1000003,5600,1006206,5,1006203,5;1006402,9,1000003,5600,1006207,5,1006204,5;1006402,9,1000003,5600,1006201,5,1006205,5;1006402,9,1000003,5600,1006202,5,1006206,5;1006402,9,1000003,5600,1006203,5,1006207,5"
10001,6,3,"1006403,4,1000003,8000,1006205,10,1006202,5;1006403,4,1000003,8000,1006206,10,1006203,5;1006403,4,1000003,8000,1006207,10,1006204,5;1006403,4,1000003,8000,1006201,10,1006205,5;1006403,4,1000003,8000,1006202,10,1006206,5;1006403,4,1000003,8000,1006203,10,1006207,5;1006403,4,1000003,8000,1006204,10,1006201,5"
10001,7,3,"1006403,6,1000003,16000,1006206,10,1006203,5;1006403,6,1000003,16000,1006207,10,1006204,5;1006403,6,1000003,16000,1006201,10,1006205,5;1006403,6,1000003,16000,1006202,10,1006206,5;1006403,6,1000003,16000,1006203,10,1006207,5;1006403,6,1000003,16000,1006204,10,1006201,5;1006403,6,1000003,16000,1006205,10,1006202,5"
10001,8,3,"1006403,8,1000003,40000,1006207,10,1006204,5;1006403,8,1000003,40000,1006201,10,1006205,5;1006403,8,1000003,40000,1006202,10,1006206,5;1006403,8,1000003,40000,1006203,10,1006207,5;1006403,8,1000003,40000,1006204,10,1006201,5;1006403,8,1000003,40000,1006205,10,1006202,5;1006403,8,1000003,40000,1006206,10,1006203,5"
10001,9,3,"1006400,1,1000003,80000;1006400,1,1000003,80000;1006400,1,1000003,80000;1006400,1,1000003,80000;1006400,1,1000003,80000;1006400,1,1000003,80000;1006400,1,1000003,80000"
10001,10,3,
10002,1,4,"1006401,4,1000003,800;1006401,4,1000003,800;1006401,4,1000003,800;1006401,4,1000003,800;1006401,4,1000003,800;1006401,4,1000003,800;1006401,4,1000003,800"
10002,2,4,"1006401,8,1000003,1600,1006201,5;1006401,8,1000003,1600,1006202,5;1006401,8,1000003,1600,1006203,5;1006401,8,1000003,1600,1006204,5;1006401,8,1000003,1600,1006205,5;1006401,8,1000003,1600,1006206,5;1006401,8,1000003,1600,1006207,5"
10002,3,4,"1006402,5,1000003,3200,1006202,5;1006402,5,1000003,3200,1006203,5;1006402,5,1000003,3200,1006204,5;1006402,5,1000003,3200,1006205,5;1006402,5,1000003,3200,1006206,5;1006402,5,1000003,3200,1006207,5;1006402,5,1000003,3200,1006201,5"
10002,4,4,"1006402,7,1000003,6400,1006203,5;1006402,7,1000003,6400,1006204,5;1006402,7,1000003,6400,1006205,5;1006402,7,1000003,6400,1006206,5;1006402,7,1000003,6400,1006207,5;1006402,7,1000003,6400,1006201,5;1006402,7,1000003,6400,1006202,5"
10002,5,4,"1006402,9,1000003,11200,1006204,5,1006201,5;1006402,9,1000003,11200,1006205,5,1006202,5;1006402,9,1000003,11200,1006206,5,1006203,5;1006402,9,1000003,11200,1006207,5,1006204,5;1006402,9,1000003,11200,1006201,5,1006205,5;1006402,9,1000003,11200,1006202,5,1006206,5;1006402,9,1000003,11200,1006203,5,1006207,5"
10002,6,4,"1006403,4,1000003,16000,1006205,10,1006202,5;1006403,4,1000003,16000,1006206,10,1006203,5;1006403,4,1000003,16000,1006207,10,1006204,5;1006403,4,1000003,16000,1006201,10,1006205,5;1006403,4,1000003,16000,1006202,10,1006206,5;1006403,4,1000003,16000,1006203,10,1006207,5;1006403,4,1000003,16000,1006204,10,1006201,5"
10002,7,4,"1006403,6,1000003,32000,1006206,10,1006203,5;1006403,6,1000003,32000,1006207,10,1006204,5;1006403,6,1000003,32000,1006201,10,1006205,5;1006403,6,1000003,32000,1006202,10,1006206,5;1006403,6,1000003,32000,1006203,10,1006207,5;1006403,6,1000003,32000,1006204,10,1006201,5;1006403,6,1000003,32000,1006205,10,1006202,5"
