Id,Rankname,StageID,FriendlySkill,SeasonTask,ChallengeTask,RankID,CollectionRankID,Image
1,"ui_rank_typename_101,ui_rank_typename_102,ui_rank_typename_103,ui_rank_typename_104","7000101,7000102,7000103,7000104;7000201,7000202,7000203,7000204;7000301,7000302,7000303,7000304",99999979,"7001,7002,7003,7004,7005,7006,7007,7008,7009,7010","7901,7902,7903,7904,7905,7906,7907,7908,7909,7910,7911,7912,7913,7914,7915,7916","102,103,104",101,"ui_mhj_cj_zj_kn_1,ui_mhj_cj_zj_kn_2,ui_mhj_cj_zj_kn_5"
2,"ui_rank_typename_101,ui_rank_typename_104,ui_rank_typename_103,ui_rank_typename_102","7000401,7000402,7000403,7000404;7000501,7000502,7000503,7000504;7000601,7000602,7000603,7000604",99999978,"7001,7002,7003,7004,7005,7006,7007,7008,7009,7010","7901,7902,7903,7904,7905,7906,7907,7908,7909,7910,7911,7912,7913,7914,7915,7916","104,103,102",101,"ui_mhj_cj_zj_kn_5,ui_mhj_cj_zj_kn_2,ui_mhj_cj_zj_kn_1"
3,"ui_rank_typename_101,ui_rank_typename_105,ui_rank_typename_102,ui_rank_typename_103","7000701,7000702,7000703,7000704;7000801,7000802,7000803,7000804;7000901,7000902,7000903,7000904",99999980,"7001,7002,7003,7004,7005,7006,7007,7008,7009,7010","7901,7902,7903,7904,7905,7906,7907,7908,7909,7910,7911,7912,7913,7914,7915,7916","104,102,103",101,"ui_mhj_cj_zj_kn_3,ui_mhj_cj_zj_kn_1,ui_mhj_cj_zj_kn_2"
4,"ui_rank_typename_101,ui_rank_typename_102,ui_rank_typename_104,ui_rank_typename_105","7001001,7001002,7001003,7001004;7001101,7001102,7001103,7001104;7001901,7001902,7001903,7001904",99999895,"7001,7002,7003,7004,7005,7006,7007,7008,7009,7010","7901,7902,7903,7904,7905,7906,7907,7908,7909,7910,7911,7912,7913,7914,7915,7916","102,104,103",101,"ui_mhj_cj_zj_kn_1,ui_mhj_cj_zj_kn_5,ui_mhj_cj_zj_kn_3"
5,"ui_rank_typename_101,ui_rank_typename_103,ui_rank_typename_104,ui_rank_typename_102","7001301,7001302,7001303,7001304;7001401,7001402,7001403,7001404;7001501,7001502,7001503,7001504",99999974,"7001,7002,7003,7004,7005,7006,7007,7008,7009,7010","7901,7902,7903,7904,7905,7906,7907,7908,7909,7910,7911,7912,7913,7914,7915,7916","103,104,102",101,"ui_mhj_cj_zj_kn_2,ui_mhj_cj_zj_kn_5,ui_mhj_cj_zj_kn_1"
6,"ui_rank_typename_101,ui_rank_typename_103,ui_rank_typename_102,ui_rank_typename_105","7001601,7001602,7001603,7001604;7001701,7001702,7001703,7001704;7001801,7001802,7001803,7001804",99999978,"7001,7002,7003,7004,7005,7006,7007,7008,7009,7010","7901,7902,7903,7904,7905,7906,7907,7908,7909,7910,7911,7912,7913,7914,7915,7916","103,102,104",101,"ui_mhj_cj_zj_kn_2,ui_mhj_cj_zj_kn_1,ui_mhj_cj_zj_kn_3"
7,"ui_rank_typename_101,ui_rank_typename_102,ui_rank_typename_103,ui_rank_typename_104","7000101,7000102,7000103,7000104;7000201,7000202,7000203,7000204;7000301,7000302,7000303,7000304",99999973,"7001,7002,7003,7004,7005,7006,7007,7008,7009,7010","7901,7902,7903,7904,7905,7906,7907,7908,7909,7910,7911,7912,7913,7914,7915,7916","102,103,104",101,"ui_mhj_cj_zj_kn_1,ui_mhj_cj_zj_kn_2,ui_mhj_cj_zj_kn_5"
8,"ui_rank_typename_101,ui_rank_typename_104,ui_rank_typename_103,ui_rank_typename_102","7000401,7000402,7000403,7000404;7000501,7000502,7000503,7000504;7000601,7000602,7000603,7000604",99999979,"7001,7002,7003,7004,7005,7006,7007,7008,7009,7010","7901,7902,7903,7904,7905,7906,7907,7908,7909,7910,7911,7912,7913,7914,7915,7916","104,103,102",101,"ui_mhj_cj_zj_kn_5,ui_mhj_cj_zj_kn_2,ui_mhj_cj_zj_kn_1"
9,"ui_rank_typename_101,ui_rank_typename_105,ui_rank_typename_102,ui_rank_typename_103","7000701,7000702,7000703,7000704;7000801,7000802,7000803,7000804;7000901,7000902,7000903,7000904",99999974,"7001,7002,7003,7004,7005,7006,7007,7008,7009,7010","7901,7902,7903,7904,7905,7906,7907,7908,7909,7910,7911,7912,7913,7914,7915,7916","104,102,103",101,"ui_mhj_cj_zj_kn_3,ui_mhj_cj_zj_kn_1,ui_mhj_cj_zj_kn_2"
10,"ui_rank_typename_101,ui_rank_typename_102,ui_rank_typename_104,ui_rank_typename_103","7001001,7001002,7001003,7001004;7001101,7001102,7001103,7001104;7001201,7001202,7001203,7001204",99999977,"7001,7002,7003,7004,7005,7006,7007,7008,7009,7010","7901,7902,7903,7904,7905,7906,7907,7908,7909,7910,7911,7912,7913,7914,7915,7916","102,104,103",101,"ui_mhj_cj_zj_kn_1,ui_mhj_cj_zj_kn_5,ui_mhj_cj_zj_kn_2"
