RoleId,,AwakeningLv,ItemId1,ItemId2,Desc,,SkillReplacement,AttrRefixId,MonsterBattleSkill
3013001,格蕾,0,"1009003,1","1006935,1",,,,,"20130010,1"
3013001,格蕾,1,"1009003,1","1006935,1",RoleAwakening_3013001_1,"{0}效果强化,{2}觉醒等级提升","1,30130014",,"20130010,2"
3013001,格蕾,2,"1009003,2","1006935,2",RoleAwakening_3013001_2,"所有技能等级+1,{2}觉醒等级提升",,"30130011,1","20130010,3"
3013001,格蕾,3,"1009003,2","1006935,2",RoleAwakening_3013001_3,"{0}效果强化,{2}觉醒等级提升,{1}","2,30130016","30100001,1;30100002,1;30100003,1;30100004,1","20130010,4"
3013001,格蕾,4,"1009003,3","1006935,3",RoleAwakening_3013001_4,"所有技能等级+1,{2}觉醒等级提升,{1}",,"30130011,1;30100001,1;30100002,1;30100003,1;30100004,1","20130010,5"
3013001,格蕾,5,"1009003,3","1006935,3",RoleAwakening_3013001_5,"{0}效果强化,{2}觉醒等级提升,{1}","3,30130015","30100001,2;30100002,2;30100003,2;30100004,2","20130010,6"
3013003,阿涅克丝,0,"1009004,1","1006944,2",,0,,,"20130030,1"
3013003,阿涅克丝,1,"1009004,1","1006944,2",RoleAwakening_3013003_1,"{0}效果强化,{2}觉醒等级提升","1,30130034",,"20130030,2"
3013003,阿涅克丝,2,"1009004,2","1006944,4",RoleAwakening_3013003_2,"所有技能等级+1,{2}觉醒等级提升",,"30130031,1","20130030,3"
3013003,阿涅克丝,3,"1009004,2","1006944,4",RoleAwakening_3013003_3,"{0}效果强化,{2}觉醒等级提升,{1}","2,30130036","30100006,1;30100007,1;30100008,1;30100009,1","20130030,4"
3013003,阿涅克丝,4,"1009004,3","1006944,6",RoleAwakening_3013003_4,"所有技能等级+1,{2}觉醒等级提升,{1}",,"30130031,1;30100006,1;30100007,1;30100008,1;30100009,1","20130030,5"
3013003,阿涅克丝,5,"1009004,3","1006944,6",RoleAwakening_3013003_5,"{0}效果强化,{2}觉醒等级提升,{1}","3,30130035","30100006,1;30100007,1;30100008,1;30100009,1","20130030,6"
3013004,炽爱,0,"1009005,1","1006945,2",,0,,,"20130040,1"
3013004,炽爱,1,"1009005,1","1006945,2",RoleAwakening_3013004_1,"{0}效果强化,{2}觉醒等级提升","3,30130044",,"20130040,2"
3013004,炽爱,2,"1009005,2","1006945,4",RoleAwakening_3013004_2,"所有技能等级+1,{2}觉醒等级提升",,"30130041,1","20130040,3"
3013004,炽爱,3,"1009005,2","1006945,4",RoleAwakening_3013004_3,"{0}效果强化,{2}觉醒等级提升,{1}","1,30130046","30100006,1;30100007,1;30100008,1;30100009,1","20130040,4"
3013004,炽爱,4,"1009005,3","1006945,6",RoleAwakening_3013004_4,"所有技能等级+1,{2}觉醒等级提升,{1}",,"30130041,1;30100006,1;30100007,1;30100008,1;30100009,1","20130040,5"
3013004,炽爱,5,"1009005,3","1006945,6",RoleAwakening_3013004_5,"{0}效果强化,{2}觉醒等级提升,{1}","2,30130045","30100006,1;30100007,1;30100008,1;30100009,1","20130040,6"
3013006,水仙,0,"1009007,1","1006944,2",,0,,,"20130060,1"
3013006,水仙,1,"1009007,1","1006944,2",RoleAwakening_3013006_1,"{0}效果强化,{2}觉醒等级提升","3,30130064",,"20130060,2"
3013006,水仙,2,"1009007,2","1006944,4",RoleAwakening_3013006_2,"所有技能等级+1,{2}觉醒等级提升",,"30130061,1","20130060,3"
3013006,水仙,3,"1009007,2","1006944,4",RoleAwakening_3013006_3,"{0}效果强化,{2}觉醒等级提升,{1}","1,30130066","30100006,1;30100007,1;30100008,1;30100009,1","20130060,4"
3013006,水仙,4,"1009007,3","1006944,6",RoleAwakening_3013006_4,"所有技能等级+1,{2}觉醒等级提升,{1}",,"30130061,1;30100006,1;30100007,1;30100008,1;30100009,1","20130060,5"
