Id,Desc1,Desc2,Type,RoleEquipSuit,EquipAttrId_1,EquipAttrId_2,AttrNumber,AttrNumberUp,EquipAttrId_3,Exp,Refresh1
611011,红高套1头,天界光辉Ⅰ,1,1,1,51,"4,4",4,101,50,"611011,1;611011,3;611011,5;611011,8"
611012,红高套1脸,天界光辉Ⅱ,2,1,2,52,"4,4",4,101,50,"611012,1;611012,3;611012,5;611012,8"
611013,红高套1胸,天界光辉Ⅲ,3,1,1,51,"4,4",4,101,50,"611013,1;611013,3;611013,5;611013,8"
611014,红高套1背,天界光辉Ⅳ,4,1,2,52,"4,4",4,102,50,"611014,1;611014,3;611014,5;611014,8"
611015,红高套1特殊1,天界光辉Ⅴ,5,1,1,51,"4,4",4,101,50,"611015,1;611015,3;611015,5;611015,8"
611016,,天界光辉Ⅵ,6,1,2,52,"4,4",4,102,50,"611016,1;611016,3;611016,5;611016,8"
611021,红高套2头,上古之战Ⅰ,1,2,1,51,"4,4",4,101,50,"611021,1;611021,3;611021,5;611021,8"
611022,红高套2脸,上古之战Ⅱ,2,2,2,52,"4,4",4,101,50,"611022,1;611022,3;611022,5;611022,8"
611023,红高套2胸,上古之战Ⅲ,3,2,1,51,"4,4",4,101,50,"611023,1;611023,3;611023,5;611023,8"
611024,红高套2背,上古之战Ⅳ,4,2,2,52,"4,4",4,102,50,"611024,1;611024,3;611024,5;611024,8"
611025,红高套2特殊1,上古之战Ⅴ,5,2,1,51,"4,4",4,101,50,"611025,1;611025,3;611025,5;611025,8"
611026,,上古之战Ⅵ,6,2,2,52,"4,4",4,102,50,"611026,1;611026,3;611026,5;611026,8"
611031,红高套3头,战争传奇Ⅰ,1,3,1,51,"4,4",4,101,50,"611031,1;611031,3;611031,5;611031,8"
611032,红高套3脸,战争传奇Ⅱ,2,3,2,52,"4,4",4,101,50,"611032,1;611032,3;611032,5;611032,8"
611033,红高套3胸,战争传奇Ⅲ,3,3,1,51,"4,4",4,101,50,"611033,1;611033,3;611033,5;611033,8"
611034,红高套3背,战争传奇Ⅳ,4,3,2,52,"4,4",4,102,50,"611034,1;611034,3;611034,5;611034,8"
611035,红高套3特殊1,战争传奇Ⅴ,5,3,1,51,"4,4",4,101,50,"611035,1;611035,3;611035,5;611035,8"
611036,,战争传奇Ⅵ,6,3,2,52,"4,4",4,102,50,"611036,1;611036,3;611036,5;611036,8"
611041,红高套4头,努海尔航行Ⅰ,1,4,1,51,"4,4",4,101,50,"611041,1;611041,3;611041,5;611041,8"
611042,红高套4脸,努海尔航行Ⅱ,2,4,2,52,"4,4",4,101,50,"611042,1;611042,3;611042,5;611042,8"
611043,红高套4胸,努海尔航行Ⅲ,3,4,1,51,"4,4",4,101,50,"611043,1;611043,3;611043,5;611043,8"
611044,红高套4背,努海尔航行Ⅳ,4,4,2,52,"4,4",4,102,50,"611044,1;611044,3;611044,5;611044,8"
611045,红高套4特殊1,努海尔航行Ⅴ,5,4,1,51,"4,4",4,101,50,"611045,1;611045,3;611045,5;611045,8"
611046,,努海尔航行Ⅵ,6,4,2,52,"4,4",4,102,50,"611046,1;611046,3;611046,5;611046,8"
612011,橙中套1头,天界光辉Ⅰ,1,1,1,51,"4,4",4,101,40,"612011,1;612011,3;612011,5;612011,8"
612012,橙中套1脸,天界光辉Ⅱ,2,1,2,52,"4,4",4,101,40,"612012,1;612012,3;612012,5;612012,8"
612013,橙中套1胸,天界光辉Ⅲ,3,1,1,51,"4,4",4,101,40,"612013,1;612013,3;612013,5;612013,8"
612014,橙中套1背,天界光辉Ⅳ,4,1,2,52,"4,4",4,102,40,"612014,1;612014,3;612014,5;612014,8"
612015,橙中套1特殊1,天界光辉Ⅴ,5,1,1,51,"4,4",4,101,40,"612015,1;612015,3;612015,5;612015,8"
612016,,天界光辉Ⅵ,6,1,2,52,"4,4",4,102,40,"612016,1;612016,3;612016,5;612016,8"
612021,橙中套2头,上古之战Ⅰ,1,2,1,51,"4,4",4,101,40,"612021,1;612021,3;612021,5;612021,8"
612022,橙中套2脸,上古之战Ⅱ,2,2,2,52,"4,4",4,101,40,"612022,1;612022,3;612022,5;612022,8"
612023,橙中套2胸,上古之战Ⅲ,3,2,1,51,"4,4",4,101,40,"612023,1;612023,3;612023,5;612023,8"
612024,橙中套2背,上古之战Ⅳ,4,2,2,52,"4,4",4,102,40,"612024,1;612024,3;612024,5;612024,8"
612025,橙中套2特殊1,上古之战Ⅴ,5,2,1,51,"4,4",4,101,40,"612025,1;612025,3;612025,5;612025,8"
612026,,上古之战Ⅵ,6,2,2,52,"4,4",4,102,40,"612026,1;612026,3;612026,5;612026,8"
612031,橙中套3头,战争传奇Ⅰ,1,3,1,51,"4,4",4,101,40,"612031,1;612031,3;612031,5;612031,8"
612032,橙中套3脸,战争传奇Ⅱ,2,3,2,52,"4,4",4,101,40,"612032,1;612032,3;612032,5;612032,8"
612033,橙中套3胸,战争传奇Ⅲ,3,3,1,51,"4,4",4,101,40,"612033,1;612033,3;612033,5;612033,8"
612034,橙中套3背,战争传奇Ⅳ,4,3,2,52,"4,4",4,102,40,"612034,1;612034,3;612034,5;612034,8"
612035,橙中套3特殊1,战争传奇Ⅴ,5,3,1,51,"4,4",4,101,40,"612035,1;612035,3;612035,5;612035,8"
612036,,战争传奇Ⅵ,6,3,2,52,"4,4",4,102,40,"612036,1;612036,3;612036,5;612036,8"
612041,橙中套4头,努海尔航行Ⅰ,1,4,1,51,"4,4",4,101,40,"612041,1;612041,3;612041,5;612041,8"
612042,橙中套4脸,努海尔航行Ⅱ,2,4,2,52,"4,4",4,101,40,"612042,1;612042,3;612042,5;612042,8"
612043,橙中套4胸,努海尔航行Ⅲ,3,4,1,51,"4,4",4,101,40,"612043,1;612043,3;612043,5;612043,8"
612044,橙中套4背,努海尔航行Ⅳ,4,4,2,52,"4,4",4,102,40,"612044,1;612044,3;612044,5;612044,8"
612045,橙中套4特殊1,努海尔航行Ⅴ,5,4,1,51,"4,4",4,101,40,"612045,1;612045,3;612045,5;612045,8"
612046,,努海尔航行Ⅵ,6,4,2,52,"4,4",4,102,40,"612046,1;612046,3;612046,5;612046,8"
613011,橙低套1头,天界光辉Ⅰ,1,1,1,51,"4,4",4,101,30,"613011,1;613011,3;613011,5;613011,8"
613012,橙低套1脸,天界光辉Ⅱ,2,1,2,52,"4,4",4,101,30,"613012,1;613012,3;613012,5;613012,8"
613013,橙低套1胸,天界光辉Ⅲ,3,1,1,51,"4,4",4,101,30,"613013,1;613013,3;613013,5;613013,8"
613014,橙低套1背,天界光辉Ⅳ,4,1,2,52,"4,4",4,102,30,"613014,1;613014,3;613014,5;613014,8"
613015,橙低套1特殊1,天界光辉Ⅴ,5,1,1,51,"4,4",4,101,30,"613015,1;613015,3;613015,5;613015,8"
613016,,天界光辉Ⅵ,6,1,2,52,"4,4",4,102,30,"613016,1;613016,3;613016,5;613016,8"
613021,橙低套2头,上古之战Ⅰ,1,2,1,51,"4,4",4,101,30,"613021,1;613021,3;613021,5;613021,8"
613022,橙低套2脸,上古之战Ⅱ,2,2,2,52,"4,4",4,101,30,"613022,1;613022,3;613022,5;613022,8"
613023,橙低套2胸,上古之战Ⅲ,3,2,1,51,"4,4",4,101,30,"613023,1;613023,3;613023,5;613023,8"
613024,橙低套2背,上古之战Ⅳ,4,2,2,52,"4,4",4,102,30,"613024,1;613024,3;613024,5;613024,8"
613025,橙低套2特殊1,上古之战Ⅴ,5,2,1,51,"4,4",4,101,30,"613025,1;613025,3;613025,5;613025,8"
613026,,上古之战Ⅵ,6,2,2,52,"4,4",4,102,30,"613026,1;613026,3;613026,5;613026,8"
613031,橙低套3头,战争传奇Ⅰ,1,3,1,51,"4,4",4,101,30,"613031,1;613031,3;613031,5;613031,8"
613032,橙低套3脸,战争传奇Ⅱ,2,3,2,52,"4,4",4,101,30,"613032,1;613032,3;613032,5;613032,8"
613033,橙低套3胸,战争传奇Ⅲ,3,3,1,51,"4,4",4,101,30,"613033,1;613033,3;613033,5;613033,8"
613034,橙低套3背,战争传奇Ⅳ,4,3,2,52,"4,4",4,102,30,"613034,1;613034,3;613034,5;613034,8"
613035,橙低套3特殊1,战争传奇Ⅴ,5,3,1,51,"4,4",4,101,30,"613035,1;613035,3;613035,5;613035,8"
613036,,战争传奇Ⅵ,6,3,2,52,"4,4",4,102,30,"613036,1;613036,3;613036,5;613036,8"
613041,橙低套4头,努海尔航行Ⅰ,1,4,1,51,"4,4",4,101,30,"613041,1;613041,3;613041,5;613041,8"
613042,橙低套4脸,努海尔航行Ⅱ,2,4,2,52,"4,4",4,101,30,"613042,1;613042,3;613042,5;613042,8"
613043,橙低套4胸,努海尔航行Ⅲ,3,4,1,51,"4,4",4,101,30,"613043,1;613043,3;613043,5;613043,8"
613044,橙低套4背,努海尔航行Ⅳ,4,4,2,52,"4,4",4,102,30,"613044,1;613044,3;613044,5;613044,8"
613045,橙低套4特殊1,努海尔航行Ⅴ,5,4,1,51,"4,4",4,101,30,"613045,1;613045,3;613045,5;613045,8"
613046,,努海尔航行Ⅵ,6,4,2,52,"4,4",4,102,30,"613046,1;613046,3;613046,5;613046,8"
621031,红中套3头,萨拉的审判Ⅰ,1,15,1,51,"4,4",4,101,50,"621031,1;621031,3;621031,5;621031,8"
621032,红中套3脸,萨拉的审判Ⅱ,2,15,2,52,"4,4",4,101,50,"621032,1;621032,3;621032,5;621032,8"
621033,红中套3胸,萨拉的审判Ⅲ,3,15,1,51,"4,4",4,101,50,"621033,1;621033,3;621033,5;621033,8"
621034,红中套3背,萨拉的审判Ⅳ,4,15,2,52,"4,4",4,102,50,"621034,1;621034,3;621034,5;621034,8"
621035,红中套3特殊1,萨拉的审判Ⅴ,5,15,1,51,"4,4",4,101,50,"621035,1;621035,3;621035,5;621035,8"
621036,,萨拉的审判Ⅵ,6,15,2,52,"4,4",4,102,50,"621036,1;621036,3;621036,5;621036,8"
621061,红中套6头,帕尔斯坚毅Ⅰ,1,18,1,51,"4,4",4,101,50,"621061,1;621061,3;621061,5;621061,8"
621062,红中套6脸,帕尔斯坚毅Ⅱ,2,18,2,52,"4,4",4,101,50,"621062,1;621062,3;621062,5;621062,8"
621063,红中套6胸,帕尔斯坚毅Ⅲ,3,18,1,51,"4,4",4,101,50,"621063,1;621063,3;621063,5;621063,8"
621064,红中套6背,帕尔斯坚毅Ⅳ,4,18,2,52,"4,4",4,102,50,"621064,1;621064,3;621064,5;621064,8"
621065,红中套6特殊1,帕尔斯坚毅Ⅴ,5,18,1,51,"4,4",4,101,50,"621065,1;621065,3;621065,5;621065,8"
621066,,帕尔斯坚毅Ⅵ,6,18,2,52,"4,4",4,102,50,"621066,1;621066,3;621066,5;621066,8"
622031,橙中套3头,萨拉的审判Ⅰ,1,15,1,51,"4,4",4,101,40,"622031,1;622031,3;622031,5;622031,8"
622032,橙中套3脸,萨拉的审判Ⅱ,2,15,2,52,"4,4",4,101,40,"622032,1;622032,3;622032,5;622032,8"
622033,橙中套3胸,萨拉的审判Ⅲ,3,15,1,51,"4,4",4,101,40,"622033,1;622033,3;622033,5;622033,8"
622034,橙中套3背,萨拉的审判Ⅳ,4,15,2,52,"4,4",4,102,40,"622034,1;622034,3;622034,5;622034,8"
622035,橙中套3特殊1,萨拉的审判Ⅴ,5,15,1,51,"4,4",4,101,40,"622035,1;622035,3;622035,5;622035,8"
622036,,萨拉的审判Ⅵ,6,15,2,52,"4,4",4,102,40,"622036,1;622036,3;622036,5;622036,8"
622061,橙中套6头,帕尔斯坚毅Ⅰ,1,18,1,51,"4,4",4,101,40,"622061,1;622061,3;622061,5;622061,8"
622062,橙中套6脸,帕尔斯坚毅Ⅱ,2,18,2,52,"4,4",4,101,40,"622062,1;622062,3;622062,5;622062,8"
622063,橙中套6胸,帕尔斯坚毅Ⅲ,3,18,1,51,"4,4",4,101,40,"622063,1;622063,3;622063,5;622063,8"
622064,橙中套6背,帕尔斯坚毅Ⅳ,4,18,2,52,"4,4",4,102,40,"622064,1;622064,3;622064,5;622064,8"
622065,橙中套6特殊1,帕尔斯坚毅Ⅴ,5,18,1,51,"4,4",4,101,40,"622065,1;622065,3;622065,5;622065,8"
622066,,帕尔斯坚毅Ⅵ,6,18,2,52,"4,4",4,102,40,"622066,1;622066,3;622066,5;622066,8"
623031,橙中套3头,萨拉的审判Ⅰ,1,15,1,51,"4,4",4,101,30,"623031,1;623031,3;623031,5;623031,8"
