id	group	storyId	unlockProp	unlockPropNum	unlockStory	rewardId	rewardNum	firstStory	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	chapter	chapter_zh_TW	chapter_en_UK	chapter_ja_JP	chapter_ko_KR	chapter_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
101	1	4005010		0		9000007	200	1	1	序章	序章	Prologue	Chapter 0	프롤로그	บทนำ	阳炎	陽炎	Under the Scorching Sun	陽炎	눈부신 빛	แดดร้อน	在从樱岛出发、前往新海市的船上，赤沼莲正与新晋执事进行武艺锻炼……不料竟遭受反叛！	在從櫻島出發、前往新海市的船上，赤沼蓮正與新晉執事進行武藝鍛煉……不料竟遭受反叛！	Having set out from Sakura Island on their journey to Catto City, Ren spar with the newly-appointed Seneschal. This marks the beginning of the rebellion.	桜島発、新海市行きの船で、赤沼蓮は新人執事と手合わせをしていた……しかし、予期せぬ反乱が起きた！	사쿠라 섬에서 뉴오션 시티로 향하는 배 위에서 아카누마 렌과 신입이 무술 단련을 하고 있었는데... 갑자기 반란이 일어났다!	บน​เรือ​ที่​แล่น​จาก​เกาะ​ซากุระ​สู่​แค​ทโตะ​ ซิตี้​ เร็น​กำลัง​ฝึก​วิชา​การต่อสู้​กับ​องครักษ์​ใหม่​...​ แต่กลับ​ถูก​ทร​ยศอย่าง​ไม่​คาดคิด​!​
102	1	4005020	9000007	1000	101	9000007	300		1	第一话	第一話	Part 1	第一話	제1화	ตอนที่ 1	绝海	絕海	Isolation Begets Dominion	絶海	난바다	ทะเลขาดใจ	顺利擒拿赤沼莲后，识提出了自己的主张：解放被赤沼奴役的家臣。	順利擒拿赤沼蓮後，識提出了自己的主張：解放被赤沼奴役的家臣。	Having captured Akanuma Ren, Shiki made her demand: release all those in the Akanuma family's clutches.	赤沼蓮を捉えた後、赤沼に奴隷として扱われている家臣たちを解放しようと、識は自分の主張を述べた。	아카누마 렌을 사로잡은 후, 아카누마에 의해 억압받던 가신들을 해방하자고 주장한다.	หลัง​จับตัว​เร็น​ได้​ ชิ​กิ​ได้​เสนอ​ความคิดเห็น​ของ​ตน​:​ ปลดปล่อย​บรรดา​ทาส​ที่​ถูก​อา​คา​นุ​มะ​กดขี่​
103	1	4005030	9000007	3500	102	9000007	400		1	第二话	第二話	Part 2	第二話	제2화	ตอนที่ 2	星霜	星霜	A Frosty Reunion	星霜	세월	ดาวและน้ำค้าง	从天而降的任汐组似乎并不急于帮助赤沼莲镇压反叛者——作为援军，她们却有着自己的谋划。	從天而降的任汐組似乎並不急於幫助赤沼蓮鎮壓反叛者——作為援軍，她們卻有著自己的謀劃。	The Tide Squad descended from the skies, yet weren't in a rush to help Ren quell the rebellion—while reinforcements, they followed their own agenda.	空から降って来た任汐組は、赤沼蓮を助けること、反乱者を鎮圧することに急ぐ様子はないーー援軍として来た彼らには、別の計画があるからだ。	하늘에서 내려온 임석조는 아카누마 렌이 반역자들을 진압하는 걸 도우지 않았고, 자신들만의 계획을 가지고 있었다.	กลุ่ม​เร็น​ซี​ที่​ปรากฏตัว​กลับ​ไม่​ได้​รีบ​ช่วย​เร็น​จัดการ​กับ​ผู้​ทรยศ​...​ ใน​ฐานะ​กองกำลัง​เสริม​ พวก​เธอ​กลับ​มี​แผนการ​ของ​ตนเอง​
104	1	4005040	9000007	6000	103	9000007	500		1	第三话	第三話	Part 3	第三話	제3화	ตอนที่ 3	玉响	玉響	A Hatchet Not Buried	玉響	과거의 순간	เสียงหยกกังวาน	童年时代曾成为朋友的她们，最终还是要面对血海深仇下的彼此。	童年時代曾成為朋友的她們，最終還是要面對血海深仇下的彼此。	The childhood friends now had to face the chasm that tore them apart: deep-seated hatred.	幼い頃友人だった彼女らは、不俱戴天の仇を前に互いに向き合わなければならなくなった。	어린 시절 친구였으나, 결국 피맺힌 깊은 원한을 가지고 서로를 마주한다.	สุดท้าย​แล้ว​ พวก​เธอ​ที่​เคย​เป็นเพื่อน​กัน​ใน​วัยเด็ก​ในที่สุด​ก็​ต้อง​เผชิญหน้า​กัน​ภายใต้​ความแค้น​ที่​ลึก​สุด​ทะเล​เลือด​
105	1	4005050	9000007	8500	104	9000007	600		1	第四话	第四話	Part 4	第四話	제4화	ตอนที่ 4	空蝉	空蟬	Emotion Fuels All	空蝉	삶	เปลือกจักจั่น	对于玛莉娜和逆刃斋的复仇，赤沼莲毫不躲闪，甚至当手下为其提供援助时……她也做出了令人讶异的选择。	對於瑪莉娜和逆刃齋的復仇，赤沼蓮毫不躲閃，甚至當手下為其提供援助時……她也做出了令人訝異的選擇。	Akanuma Ren fully accepted Marlena and Saiber's revenge. When her subordinate was about to turn the tables, she made a most unforeseen choice.	マリナと逆刃斎の復讐に対し、赤沼蓮は逃げなかった。部下が彼女を助けようとした時も、赤沼蓮は意外な選択をした……！	마리나와 사카바 세이의 복수 앞에서 아카누마 렌은 도망칠 생각은 조금도 하지 않았다. 부하들이 도움을 주려 했으나... 그녀는 놀라운 선택을 한다	เร็น​ไม่​หลบหนี​การแก้แค้น​ของ​มา​รี​น่า​และ​ซาคาบะ ไซ​ แม้แต่​ตอนที่​ลูกน้อง​จะ​ช่วย​...​ เธอ​ก็​ตัดสินใจ​เลือก​ทาง​ที่​ทำให้​ทุกคน​ประหลาดใจ​
106	1	4005060	9000007	11000	105	9000007	700		1	第五话	第五話	Part 5	第五話	제5화	ตอนที่ 5	徒花	徒花	To Bloom & Wither	徒花	헛되이 핀 꽃	ดอกไม้ไร้ประโยชน์	所有人都明白过来，赤沼莲从一开始联络任汐组护送船只——为的就是用自己的性命偿还罪孽。	所有人都明白過來，赤沼蓮從一開始聯絡任汐組護送船隻——為的就是用自己的性命償還罪孽。	It dawned upon everyone then, that Akanuma Ren had merely asked the Tide Squad to escort the vessel to give up her life and wash away her sins.	真実が明らかになったーー最初から、赤沼蓮が任汐組に船の護衛を依頼したのは、自分の命をもって罪を償うためだった。	아카누마 렌이 처음부터 시오구미에게 연락을 취해 배를 호위하도록 한 이유는 사실... 자신의 목숨을 바쳐 죄를 갚기 위함이란 걸 모두가 알게 된다.	ทุกคน​ต่าง​ก็​เข้าใจ​แล้ว​ว่า​ เร็น​ติดต่อ​กลุ่ม​เร็น​ซี​ให้​คุ้มกัน​เรือ​ตั้งแต่แรก​ เพื่อ​ใช้ชีวิต​ของ​ตน​ใน​การ​ชดใช้​บาป​ที่​ได้​ทำ​ลง​ไป​
107	1	4005070	9000007	13500	106	9000007	800		1	第六话	第六話	Part 6	第六話	제6화	ตอนที่ 6	弱虫	弱蟲	The Cocoon of Cowardice Broken	弱虫	겁쟁이	คนขี้ขลาด	数年来生活在尸山血海之中，她渐渐丧失了求救的本能……浑浊的灵魂需要一场火，一场不同于十五年前的业火。	數年來生活在屍山血海之中，她漸漸喪失了求救的本能……渾濁的靈魂需要一場火，一場不同於十五年前的業火。	Living amid years of blood and slaughter, she lost her ability to seek help... Her soul needed a new fire, different from the one fifteen years ago.	長い間、屍の山と血の海の中で生活していた彼女は、次第に助けを求める本能を失った。濁った魂には業を焼き尽くす炎を必要としているーー十五年前のアレとは違う炎を……	수년의 세월 동안 시신과 피바다 속에서 살아온 그녀는 점차 구원의 본능을 잃어갔다... 흐려진 영혼을 일깨울 수 있는 건, 15년 전과 다른 새로운 업화뿐이다.	หลาย​ปี​ที่​ใช้ชีวิต​อยู่​บน​กอง​เลือด​ เธอ​ค่อยๆ​ สูญเสีย​สัญชาตญาณ​การ​ขอความช่วยเหลือ​...​ จิตวิญญาณ​ที่​ขุ่นมัว​นี้​ต้องการ​เปลวไฟ​ เปลวไฟ​ที่​แตกต่าง​จาก​เมื่อ​สิบห้า​ปีก่อน​
108	1	4005080	9000007	16000	107	9000007	900		1	第七话	第七話	Part 7	第七話	제7화	ตอนที่ 7	澪标	澪標	A New Dawn	澪標	삶의 길	เครื่องหมายนำทาง	赤沼莲最终造成了船难的假象，在给予家臣自由的同时，自己也涅槃重生……朝着新海市望去、朝着未来的可能投以期许。	赤沼蓮最終造成了船難的假像，在給予家臣自由的同時，自己也涅槃重生……朝著新海市望去、朝著未來的可能投以期許。	Akanuma Ren gave the world a shipwreck, freed her followers, and attained her own rebirth. Now, she ventures toward a future of untold possibilities.	赤沼蓮は海難を偽装し、家臣に自由を与えつつ、自身も生まれ変わった。新海市を見つめ、未来の可能性に期待を寄せて……！	아카누마 렌은 배가 난파되는 가상을 만들어내 가신들에게 자유를 주는 동시에 자신 또한 고통에서 새로 태어나... 뉴오션 시티를 바라보며 미래에 대한 기대를 품는다.	สุดท้าย​เร็น​ก็​สร้างภาพ​ว่า​เรือ​อับปาง​ ให้​อิสระ​แก่​ผู้ติดตาม​ ส่วนตัว​เธอ​เอง​ก็​จะ​ได้​เกิด​ใหม่​...​ จับจ้อง​ไป​ยัง​แค​ทโตะ​ ซิตี้​ มอง​ไป​ยัง​อนาคต​ที่​เต็มไปด้วย​ความหวัง​
201	2	4002010		0		9000008	300	1	1	序章	序章	Prologue	Chapter 0	프롤로그	บทนำ	重大任务！	重大任務！	A Critical Mission!	重要任務！	중요 미션!	ภารกิจใหญ่!	乐园内部出现异况，丝薇蒂奉黑王之命解决此事。	樂園內部出現異況，絲薇蒂奉黑王之命解決此事。	An anomaly arises within the Wonderland, and the Black King tasks Sylviette with resolving the situation.	楽園内部に異変が発生。シルヴィティは黒王の命を受け、その解決に向かう。	파라다이스 안에 발생한 이상 상황에 대해, 스위티가 블랙킹님의 명령을 받들어 해결하도록 하겠습니다.	เกิดเหตุ​ผิดปกติ​ใน​สวนสนุก​ ซิลเว็ตต์​ได้รับ​คำสั่ง​จาก​ราชา​ทมิฬ​ให้​จัดการ​เรื่อง​นี้​
