id	unlockId	taskContentType	taskContentId	taskContenNum	rewardId	rewardNum	openType	openParameter	group	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1001	0	405	0	1	9000007	100	0		1	1	日常登陆	日常登入	Daily Login	ログイン	매일 접속	ล็อกอินรายวัน
1002	0	7	3000004	300	9000007	100	0		1	1	消耗300点情绪	消耗300點情緒	Spend 300 Pathos.	エモーションを300消費する	이모션 300점 소모	ใช้พาโธส 300 หน่วย
1003	0	101	0	1	9000007	100	701		1	1	升级1次战斗员	升級1次戰鬥員	Upgrade any Combatant 1 time.	戦闘員を1回レベルアップする	전투원 레벨업 1회	อัป​เล​เวล​ตัวละคร​ 1​ ครั้ง​
1004	0	1101	1	1	9000007	100	233		1	1	通关任意1次装备本	通關任意1次裝備本	Complete any Equipment Stage 1 time.	任意の装備ステージを1回クリアする	아무 장비 던전 1회 클리어	ผ่าน​ด่าน​อุปกรณ์​ใด​ก็ได้​ 1​ ครั้ง​
1005	0	1703	0	1	9000007	100	701		1	1	洗练1次任意装备	洗練1次任意裝備	Refine any equipment.	任意の装備を1回洗練する	아무 장비 1회 제련	รี​ไฟ​น์​อุปกรณ์​ใด​ก็ได้​ 1​ ครั้ง​
1006	0	1403	0	5	9000007	100	517		1	1	配送5次外卖订单	配送5次外賣訂單	Complete 5 delivery orders.	出前を5回完了する	배달 주문 5회 완료	ส่งออเดอร์ 5 ครั้ง
1007	0	1103	0	1	9000007	100	236		1	1	参加1次协力战	參加1次協力戰	Complete the Invasion 1 time.	協同作戦に1回参加する	협력전 1회 참가	เข้าร่วม​ผนึก​กำลัง​ 1​ ครั้ง​
1008	0	1903	0	1	9000007	100	0		1	1	在社团频道发言1次	在社團頻道發言1次	Send a message in the Clan channel.	ギルドチャットで1回発言する	클럽 채널에서 채팅 1회	ส่ง​ข้อ​ความใน​แชนเนล​ชมรม​ 1​ ครั้ง​
1009	0	405	0	1	9000008	100	0		2	1	日常登陆	日常登入	Daily Login	ログイン	매일 접속	ล็อกอินรายวัน
1010	0	7	3000004	300	9000008	100	0		2	1	消耗300点情绪	消耗300點情緒	Spend 300 Pathos.	エモーションを300消費する	이모션 300점 소모	ใช้พาโธส 300 หน่วย
1011	0	101	0	1	9000008	100	701		2	1	升级1次战斗员	升級1次戰鬥員	Upgrade any Combatant 1 time.	戦闘員を1回レベルアップする	전투원 레벨업 1회	อัป​เล​เวล​ตัวละคร​ 1​ ครั้ง​
1012	0	1101	1	1	9000008	100	233		2	1	通关任意1次装备本	通關任意1次裝備本	Complete any Equipment Stage 1 time.	任意の装備ステージを1回クリアする	아무 장비 던전 1회 클리어	ผ่าน​ด่าน​อุปกรณ์​ใด​ก็ได้​ 1​ ครั้ง​
1013	0	1703	0	1	9000008	100	701		2	1	洗练1次任意装备	洗練1次任意裝備	Refine any equipment.	任意の装備を1回洗練する	아무 장비 1회 제련	รี​ไฟ​น์​อุปกรณ์​ใด​ก็ได้​ 1​ ครั้ง​
