id	everydayTaskNum	pointId	changeId	openPage	cardId	sceneId	bgm	openSound	characterColour	ruleID	status
int	int	int	int	int	int	int	int	int	int	int	int
1	6	9000007	12000101	0	123008	102:a_bg_120001_01_230704	bgm_story_activity_12000101	open_story_activity_12000101	ff7c7c	12000101	1
2	6	9000008	12000102	0	129008	102:a_bg_120001_02_230721	bgm_story_activity_12000102	open_story_activity_12000102	963864	12000101	1
3	6	9000009	12000103	0	135008	102:a_bg_120001_03_230801	bgm_story_activity_12000103	open_story_activity_12000103	ff7a7d	12000101	1
4	6	9000041	12000104	0	140008	102:a_bg_120001_04_240425	bgm_story_activity_12000104	open_story_activity_12000104	FFE596	12000101	1
5	6	9000056	12000105	0	141008	102:a_bg_120001_05_240530	bgm_story_activity_12000105	open_story_activity_12000105	ff4fbf	12000101	1
6	6	9000057	12000106	0	139008	102:a_bg_120001_06_240926	bgm_story_activity_12000106	open_story_activity_12000106	ff3b52	12000101	1
7	7	9000065	12000107	0	123008;133008	102:a_bg_120001_07_12300802_13300850	bgm_instance_eyes_snow_inter	open_story_activity_12000107	ff3b52	12000101	1
8	6	9000074	12000108	1	128008;101013;131001;140008	102:a_bg_120001_08_250214	bgm_universal_triss01		ff3b52	12000101	1
9	6	9000087	12000109	1	155008;145008;164008	102:a_bg_120001_09_250626		open_story_activity_12000107	00ffff	12000101	1
