id	reward	rewardNum	stock	type	number	weight	group	status
int	int	int	int	int	int	int	int	int
1	4190004	500	1	1	80	100	1001	1
2	4190001	500	2	1	0	100	1001	1
3	4190004	100	5	2	0	100	1001	1
4	3000002	10	10	2	0	100	1001	1
5	3000002	50	5	2	0	100	1001	1
6	3000002	100	1	2	0	100	1001	1
7	5100001	1	1	2	0	100	1001	1
8	4198001	1	10	2	0	100	1001	1
9	4110001	5	10	2	0	100	1001	1
10	4105011	3	10	2	0	100	1001	1
11	4105012	3	10	2	0	100	1001	1
12	4105013	3	10	2	0	100	1001	1
13	4105023	3	10	2	0	100	1001	1
14	4105011	5	5	2	0	100	1001	1
15	4105012	5	5	2	0	100	1001	1
16	4105013	5	5	2	0	100	1001	1
17	4105023	5	5	2	0	100	1001	1
18	4110001	10	10	2	0	100	1001	1
19	4190001	100	10	2	0	100	1001	1
20	3000003	50000	5	2	0	100	1001	1
21	3000003	100000	10	2	0	100	1001	1
22	106011	1	9	1	80	100	1002	1
23	3000002	10	15	2	0	100	1002	1
24	4198001	1	10	2	0	100	1002	1
25	4190001	100	10	2	0	100	1002	1
26	5100001	1	1	2	0	100	1002	1
27	4110001	5	10	2	0	100	1002	1
28	4105023	3	10	2	0	100	1002	1
29	4105023	5	5	2	0	100	1002	1
30	4110001	10	10	2	0	100	1002	1
31	4105011	3	10	2	0	100	1002	1
32	4105012	3	10	2	0	100	1002	1
33	4105013	3	10	2	0	100	1002	1
34	4105011	5	5	2	0	100	1002	1
35	4105012	5	5	2	0	100	1002	1
36	4105013	5	5	2	0	100	1002	1
37	3000003	50000	5	2	0	100	1002	1
38	3000003	100000	10	2	0	100	1002	1
39	4190002	1	1	1	80	100	1003	1
40	4102901	2	8	2	0	100	1003	1
41	4102902	2	8	2	0	100	1003	1
42	4102903	2	8	2	0	100	1003	1
43	3000018	5	10	2	0	100	1003	1
44	4101003	5	9	2	0	100	1003	1
45	4100032	5	8	2	0	100	1003	1
46	4102031	3	8	2	0	100	1003	1
47	3000003	200000	15	2	0	100	1003	1
48	4199001	10	15	2	0	100	1003	1
49	4198001	10	10	2	0	100	1003	1
50	4190001	100	10	2	0	100	1003	1
51	4101002	10	10	2	0	100	1003	1
52	4140001	10	1	1	80	100	1004	1
53	4140001	5	2	2	0	100	1004	1
54	4190004	100	5	2	0	100	1004	1
55	4190001	300	4	2	0	100	1004	1
56	4190001	200	4	2	0	100	1004	1
57	4102901	2	5	2	0	100	1004	1
58	4102902	2	5	2	0	100	1004	1
59	4102903	2	5	2	0	100	1004	1
60	4100032	8	5	2	0	100	1004	1
61	4100031	8	5	2	0	100	1004	1
62	4102031	4	8	2	0	100	1004	1
63	5200011	10	3	2	0	100	1004	1
64	5200011	5	6	2	0	100	1004	1
65	4102021	10	8	2	0	100	1004	1
66	4101003	5	8	2	0	100	1004	1
67	4101002	10	10	2	0	100	1004	1
68	4105023	5	10	2	0	100	1004	1
69	4199001	10	10	2	0	100	1004	1
70	4198001	10	10	2	0	100	1004	1
71	4110001	10	10	2	0	100	1004	1
72	3000003	50000	6	2	0	100	1004	1
73	3000003	100000	10	2	0	100	1004	1
74	9000033	10	1	1	80	100	1005	1
75	9000033	5	2	2	0	100	1005	1
76	4190004	100	5	2	0	100	1005	1
77	4190001	300	4	2	0	100	1005	1
78	4190001	200	4	2	0	100	1005	1
79	4102901	2	5	2	0	100	1005	1
80	4102902	2	5	2	0	100	1005	1
81	4102903	2	5	2	0	100	1005	1
82	4100032	8	5	2	0	100	1005	1
83	4100031	8	5	2	0	100	1005	1
84	4102031	4	8	2	0	100	1005	1
85	5200011	10	3	2	0	100	1005	1
86	5200011	5	6	2	0	100	1005	1
87	4102021	10	8	2	0	100	1005	1
88	4101003	5	8	2	0	100	1005	1
89	4101002	10	10	2	0	100	1005	1
90	4105023	5	10	2	0	100	1005	1
91	4199001	10	10	2	0	100	1005	1
92	4198001	10	10	2	0	100	1005	1
93	4110001	10	10	2	0	100	1005	1
94	3000003	50000	6	2	0	100	1005	1
95	3000003	100000	10	2	0	100	1005	1
