id	group	pools	rewardType	reward	rewardNum	stock	weight	seat	status
int	int	int	int	int	int	int	int	int	int
1	1	101	1	7127001	1	-1	1000	1	1
2	1	101	1	7127001	3	-1	500	3	1
3	1	101	1	7127001	5	-1	200	5	1
4	1	101	2	3000003	20000	-1	1100	8	1
5	1	101	2	4101001	10	-1	1100	2	1
6	1	101	2	4110001	5	-1	1100	4	1
7	1	101	2	4199001	3	-1	1100	6	1
8	1	101	1	7127001	10	-1	62	7	1
9	2	102	1	7122008	1	-1	1000	1	1
10	2	102	1	7122008	3	-1	500	3	1
11	2	102	1	7122008	5	-1	200	5	1
12	2	102	2	3000003	20000	-1	1100	8	1
13	2	102	2	4101001	10	-1	1100	2	1
14	2	102	2	4110001	5	-1	1100	4	1
15	2	102	2	4199001	3	-1	1100	6	1
16	2	102	1	7122008	10	-1	62	7	1
17	3	103	1	4190004	1000	-1	1	1	1
18	3	103	2	4190004	100	-1	25	3	1
19	3	103	2	4190004	50	-1	45	5	1
20	3	103	2	4190004	20	-1	100	7	1
21	3	103	2	3000003	10000	-1	200	8	1
22	3	103	2	4100031	5	-1	75	2	1
23	3	103	2	4100032	2	-1	100	4	1
24	3	103	2	4110001	5	-1	200	6	1
25	4	104	1	5200051	1	-1	3	1	1
26	4	104	1	5200034	1	-1	5	4	1
27	4	104	1	4190004	1000	-1	10	7	1
28	4	104	2	4190004	100	-1	172	2	1
29	4	104	2	4100031	3	-1	200	3	1
30	4	104	2	4100032	5	-1	200	5	1
31	4	104	2	5200009	50	-1	200	6	1
32	4	104	2	4110001	10	-1	210	8	1
33	5	105	1	5200052	1	-1	3	1	1
34	5	105	1	5200034	1	-1	5	4	1
35	5	105	1	4190004	1000	-1	10	7	1
36	5	105	2	4190004	100	-1	172	2	1
37	5	105	2	4100031	3	-1	200	3	1
38	5	105	2	4100032	5	-1	200	5	1
39	5	105	2	5200009	50	-1	200	6	1
40	5	105	2	4110001	10	-1	210	8	1
41	6	106	1	5200047	5	-1	10	1	1
42	6	106	1	4100036	5	-1	10	4	1
43	6	106	1	5200047	1	-1	50	7	1
44	6	106	2	4100031	2	-1	165	2	1
45	6	106	2	4100032	3	-1	165	3	1
46	6	106	2	5200009	5	-1	250	5	1
47	6	106	2	4105023	2	-1	250	6	1
48	6	106	2	4100036	1	-1	100	8	1
49	7	107	1	5200053	1	-1	2	1	1
50	7	107	1	5200034	1	-1	3	4	1
51	7	107	1	4190004	1000	-1	5	7	1
52	7	107	2	4190004	50	-1	100	2	1
53	7	107	2	4100031	2	-1	220	3	1
54	7	107	2	4100032	3	-1	220	5	1
55	7	107	2	5200009	25	-1	220	6	1
56	7	107	2	4110001	10	-1	230	8	1
57	8	108	1	5200054	1	-1	2	1	1
58	8	108	1	5200034	1	-1	3	4	1
59	8	108	1	4190004	1000	-1	5	7	1
60	8	108	2	4190004	50	-1	100	2	1
61	8	108	2	4100031	2	-1	220	3	1
62	8	108	2	4100032	3	-1	220	5	1
63	8	108	2	5200009	25	-1	220	6	1
64	8	108	2	4110001	10	-1	230	8	1
65	9	109	1	5200009	100	-1	1	1	1
66	9	109	1	4105023	50	-1	50	4	1
67	9	109	1	5200009	50	-1	10	7	1
68	9	109	2	5200009	20	-1	150	2	1
69	9	109	2	5200009	15	-1	150	3	1
70	9	109	2	5200009	10	-1	250	5	1
71	9	109	2	5200009	5	-1	250	6	1
72	9	109	2	5200009	1	-1	139	8	1
