ID,,Packs,FreeReward,PacksDes,TriggerEvent,ClientTrigger,Order,Group,TriggerCondition,,TriggerInterval,PayTime,IsClose,Theme
1001,四或五星星痕升级,702021,,pushpacks_des_01,1,0,2,1,"21001,1;104,500","四或五星星痕升级,没有达到当前星痕等级上限，且全部经验道具为0",0,259200,0,3
2001,获取安洁或米娅,702022,,pushpacks_des_01,8,1,1,2,"21002,1",获取安洁或米娅,0,86400,0,4
3001,符文装备,702023,,pushpacks_des_01,5,0,6,3,"21003,1",魔女有可装配的符文槽位，没有可装配的符文,0,86400,0,4
4001,符文升级,702024,,pushpacks_des_01,6,0,5,4,"21004,1",当前符文等级15至25级，符文之尘（符文通用经验材料）为0,0,86400,0,4
5001,玩家升级,702025,,pushpacks_des_01,8,1,4,5,"104,20",玩家达到20级,0,259200,0,1
6001,符文洗炼,702026,,pushpacks_des_01,7,0,3,6,"21005,30",累计洗练30次符文,0,86400,0,4
7001,符文洗炼,702027,,pushpacks_des_01,7,0,2,7,"21005,50;22073,1",累计洗练50次符文,0,86400,0,4
8001,符文洗炼,702028,,pushpacks_des_01,7,0,1,8,"21005,100;22074,1",累计洗练100次符文,0,86400,0,4
9001,抽卡结束,702029,,pushpacks_des_01,9,0,99,9,"21006,10;104,500",累计抽卡10次,0,86400,0,2
10001,抽卡结束,702030,,pushpacks_des_01,9,0,98,10,"21006,30",累计抽卡30次,0,86400,0,2
11001,抽卡结束,702031,,pushpacks_des_01,9,0,97,11,"21006,60;22067,1",累计抽卡60次,0,86400,0,2
12001,抽卡结束,702032,,pushpacks_des_01,9,0,96,12,"21006,100;22066,1",累计抽卡100次,0,259200,0,2
13001,抽卡结束,702033,,pushpacks_des_01,9,0,95,13,"21006,200;22065,1",累计抽卡200次,0,259200,0,2
14001,抽卡结束,702034,,pushpacks_des_01,9,0,94,14,"21006,300;22064,1",累计抽卡300次,0,259200,0,2
15001,技能升级,702035,,pushpacks_des_01,3,0,93,15,"21007,1",星痕突破等级2，技能没有达到等级上限（7级）,0,86400,0,3
16001,技能升级,702036,,pushpacks_des_01,3,0,92,16,"21008,1",星痕突破等级3，技能没有达到等级上限（10级）,0,86400,0,3
17001,战斗失败,702037,,pushpacks_des_01,10,0,91,17,"21009,1;104,500",任意主线关卡战斗失败1次,0,86400,0,3
18001,第二章结束,702038,,pushpacks_des_01,10,0,90,18,"21010,1",第二章结束,0,259200,0,3
19001,第三章结束,702039,,pushpacks_des_01,10,0,89,19,"21011,1;22069,1",第三章结束,0,259200,0,2
20001,第四章结束,702040,,pushpacks_des_01,10,0,88,20,"21012,1;22070,1",第四章结束,0,259200,0,4
21001,第五章结束,702041,,pushpacks_des_01,10,0,87,21,"21013,1;22071,1",第五章结束,0,259200,0,1
22001,通关幻梦之境,702042,,pushpacks_des_01,10,0,86,22,"21014,1;22072,1",完成任意幻梦之境关卡,0,259200,0,3
23001,阿涅克丝觉醒礼包,702043,,pushpacks_des_01,8,0,23,23,"21015,1","获得阿涅克丝的回响,且阿涅克丝觉醒等级为2，距离下次觉醒差1个回响",86400,10800,0,3
23002,水仙觉醒礼包,702044,,pushpacks_des_01,8,0,24,23,"21017,1","获得水仙的回响,且水仙觉醒等级为2，距离下次觉醒差1个回响",86400,10800,0,3
23003,哀歌觉醒礼包,702045,,pushpacks_des_01,8,0,25,23,"21019,1","获得哀歌的回响,且哀歌觉醒等级为2，距离下次觉醒差1个回响",86400,10800,0,3
