Name,Value,SyncClient,Desc
combat_version,3,0,战斗版本，0-旧版本，1-V3版本，2-V4版本，3-V5版本
mode_hx,0,0,和谐模式开关，1=开启，0=关闭
battle_energy,"3,3,4,4,5,5",0,战斗时的每回合能量恢复的基础上限
battle_actioncd,100,0,战斗中角色行动后停顿时间
max_action,1000,0,行动条值
max_action_list_size,16,0,行动条服务器计算个数
battletime,600,0,战斗时间，单位秒
battleplaycard_time,"120,120",0,出牌阶段双方出牌的基础时间，单位秒
battlecardloop,1,0,战斗中卡牌进入弃牌堆是否循环，0-不循环，1-循环
battleroleloop,1,0,战斗中角色死亡返回为手牌，0-否，1-是
battlehand_card_max,5,0,战斗中初始手牌上限
birthday_modify_limit,365,0,控制每次修改生日后，可再次修改的cd天数，单位：天
robot_ai_handcard,5,0,机器人手牌
max_battle_role_count,6,0,上阵角色（上阵角色必须大于等于1）
max_alternative_role_count,0,0,上阵备选角色
max_battle_public_card_count,15,0,普通卡牌数量
max_battle_card_count,5,0,卡牌总数
max_formation_count,6,0,最大阵容配置
team_idx_i,0,0,己方阵容，左边
team_idx_o,1,0,敌方阵容，右边
team_idx_e,2,0,我方召唤阵容
team_idx_d,3,0,敌方召唤阵容
summonmax,15,0,基础召唤点数
rolesummon,"0,2,4,6,8",0,召唤角色消耗的能量
rolesummoncold,2,0,召唤角色冷却
commoncard,101,0,战斗中常驻卡牌ID
roleskill,"1,1,1",0,角色奥义使用消耗召唤点
support_reward,"5,1001005,30",0,每日通过被借用星痕可获得奖励的次数，以及奖励内容。配置格式：奖励次数，itemid，数量
first_pay,"1,101;2,102;3,103;4,104;5,105;6,106",0,未进行过首次购买时，首次购买所买的商品id（关联shopitem表）。配置格式：未进行首次购买的商品id，指向的首次购买商品id
role_exp_item_id,1000008,0,玩家经验道具id
physical_strength_item_id,1000004,0,玩家体力id
physical_strength_transform,150001,0,游戏中，消耗每点体力转化为星痕之泪的数量，配置drop表id
shop_refresh_redlabel,172800,0,配置商店商品刷新剩余时间小于x秒时，使用红色标签显示。
shop_secretary_voice,"8000326,8000327",0,商店点击秘书时播放的语音及文本，配置多条时随机，关联sound表
ini_music,1424,0,游戏默认音乐，配置读取LibrarySound表Id
ini_role,3000001,0,初始魔女
ini_item,"101901,1;1001013,1;1017000,1;3013017,1;3013023,1;1031024,1;260101,1;260102,1;260103,1;260105,1;260107,1;260111,1;260112,1;260116,1;260201,1;260205,1;260206,1;7001,1;5010001,10;5030001,1;5030002,1",0,初始道具
ini_home_rolepet,3013017,0,默认出击界面看板星痕
ini_roleskin,3000001,0,玩家档案中初始解锁皮肤/头像，配置itemid（初始道具里需要添加此道具id）
ini_head_box,0,0,初始解锁头像框，配置ItemId（需在初始道具里配置对应头像框和聊天气泡）
ini_chat_box,0,0,初始解锁聊天气泡，配置ItemId
ini_chat_box2,0,0,聊天界面其他玩家发消息时显示的默认聊天气泡框，读取HeadUnlock表ID
ini_mail,102,0,创建角色后，首次登录时收到的欢迎邮件id
ini_gacha,3013017,0,创建角色后，首次抽卡获得的星痕
ini_back,101901,0,初始默认解锁（使用）的背景，配置itemid
ini_title,7001,,初始解锁称号，配置ItemId（需在初始道具里配置对应的称号）
fix_ini_item,"260101,1;260102,1;260103,1;260104,1;260105,1;260106,1;260107,1;260109,1;260111,1;260112,1;260114,1;260115,1;260116,1;260201,1;260203,1;260205,1;260206,1;260210,1;7001,1;5010001,10;5030001,1;5030002,1",0,初始道具检查，没有就补发（注意是和玩家初始道具搭配使用）
comment_head,10001,0,主线中点评角色的头像，配置roleid
day_retime,5,1,每日重置时间，通用每日重置时间
