"MissionGroup_All","Mission","MissionAll","","MissionAll","Str_UI_MissionGroup_All"
"MissionGroup_Daily","Mission","MissionDaily","","MissionAll","Str_UI_MissionGroup_Daily"
"MissionGroup_Weekly","Mission","MissionWeekly","","MissionAll","Str_UI_MissionGroup_Weekly"
"MissionGroup_Achievement","Mission","MissionAchievement","","MissionAll","Str_UI_MissionGroup_Achievement"
"MissionGroup_UserTitle","UserTitle","UserTitle","","",""
"MissionGroup_Castle_2Rank","CastleRankUp","CastleRankUp","","",""
"MissionGroup_Castle_3Rank","CastleRankUp","CastleRankUp","","",""
"MissionGroup_Castle_4Rank","CastleRankUp","CastleRankUp","","",""
"MissionGroup_Castle_5Rank","CastleRankUp","CastleRankUp","","",""
"MissionGroup_Castle_6Rank","CastleRankUp","CastleRankUp","","",""
"MissionGroup_Castle_7Rank","CastleRankUp","CastleRankUp","","",""
"MissionGroup_Castle_8Rank","CastleRankUp","CastleRankUp","","",""
"MissionGroup_Castle_9Rank","CastleRankUp","CastleRankUp","","",""
"MissionGroup_Castle_10Rank","CastleRankUp","CastleRankUp","","",""
"MissionGroup_MessedUpMagicAcademy","EventAdventure","EventGroup","","EventGroup_EventAdventure_MessedUpMagicAcademy",""
"MissionGroup_002OceanSpa","EventAdventure","EventGroup","","EventGroup_EventAdventure_OceanSpa",""
"MissionGroup_N001HeroGrowthBoost","EventApBoost","EventGroup","","EventGroup_EventApBoost_HeroGrowthBoost",""
"MissionGroup_TileBreak_Halloween2025","EventTileBreak","EventGroup","","EventGroup_EventTileBreak_Halloween2025",""
"MissionGroup_ChallengeMission_XMas2025_Daily","EventChallengeMission","EventGroup","1","EventGroup_EventObject_ChallengeMission_Xmas2025",""
"MissionGroup_ChallengeMission_XMas2025_Achievement","EventChallengeMission","EventGroup","","EventGroup_EventObject_ChallengeMission_Xmas2025",""
