"Dmg","Common","Dmg","NormalDmg","Caster","FinalAtk","PerValue","None","None","","True","False","Str_Skill_EffectKeywordName_N_SkillDmg","Str_Skill_EffectName_N_SkillDmg","Str_Skill_EffectDesc_N_SkillDmg","ICON_SKILL_EFFECT_DMG","","","","","","","","","","","","","","None","None"
"PhyDefPhyDmg","Common","Dmg","NormalDmg","Caster","FinalPhysicalDef","PerValue","None","None","","True","False","Str_Skill_EffectKeywordName_N_SkillDmg","Str_Skill_EffectName_N_SkillDmg","Str_Skill_EffectDesc_N_SkillDmg","ICON_SKILL_EFFECT_DMG","","","","","","","","","","","","","","None","Physical"
"PhyDefMagDmg","Common","Dmg","NormalDmg","Caster","FinalDef","PerValue","None","None","","True","False","Str_Skill_EffectKeywordName_N_SkillDmg","Str_Skill_EffectName_N_SkillDmg","Str_Skill_EffectDesc_N_SkillDmg","ICON_SKILL_EFFECT_DMG","","","","","","","","","","","","","","None","Magical"
"CurrentHpPhyDmg","Common","Dmg","NormalDmg","Caster","CurrentHp","PerValue","None","None","","True","False","Str_Skill_EffectKeywordName_N_SkillDmg","Str_Skill_EffectName_N_SkillDmg","Str_Skill_EffectDesc_N_SkillDmg","ICON_SKILL_EFFECT_DMG","","","","","","","","","","","","","","None","Physical"
"CurrentHpMagDmg","Common","Dmg","NormalDmg","Caster","CurrentHp","PerValue","None","None","","True","False","Str_Skill_EffectKeywordName_N_SkillDmg","Str_Skill_EffectName_N_SkillDmg","Str_Skill_EffectDesc_N_SkillDmg","ICON_SKILL_EFFECT_DMG","","","","","","","","","","","","","","None","Magical"
"MagDefPhyDmg","Common","Dmg","NormalDmg","Caster","FinalDef","PerValue","None","None","","True","False","Str_Skill_EffectKeywordName_N_SkillDmg","Str_Skill_EffectName_N_SkillDmg","Str_Skill_EffectDesc_N_SkillDmg","ICON_SKILL_EFFECT_DMG","","","","","","","","","","","","","","None","Physical"
"MagDefMagDmg","Common","Dmg","NormalDmg","Caster","FinalDef","PerValue","None","None","","True","False","Str_Skill_EffectKeywordName_N_SkillDmg","Str_Skill_EffectName_N_SkillDmg","Str_Skill_EffectDesc_N_SkillDmg","ICON_SKILL_EFFECT_DMG","","","","","","","","","","","","","","None","Magical"
"CriDmg","Common","Dmg","CriDmg","Caster","FinalAtk","PerValue","None","None","","True","False","Str_Skill_EffectKeywordName_N_SkillDmg","Str_Skill_EffectName_N_SkillDmg","Str_Skill_EffectDesc_N_SkillDmg","ICON_SKILL_EFFECT_DMG","","","","","","","","","","","","","","None","None"
"AddDmg","Common","Dmg","AddDmg","Caster","FinalAtk","PerValue","None","None","","True","False","Str_Skill_EffectKeywordName_N_SkillDmg","Str_Skill_EffectName_N_SkillDmg","Str_Skill_EffectDesc_N_SkillDmg","ICON_SKILL_EFFECT_DMG","","","","","","","","","","","","","","None","AddMagical"
"PhysicalAddDmg","Common","Dmg","AddDmg","Caster","FinalAtk","PerValue","None","None","","True","False","Str_Skill_EffectKeywordName_N_SkillDmg","Str_Skill_EffectName_N_SkillDmg","Str_Skill_EffectDesc_N_SkillDmg","ICON_SKILL_EFFECT_DMG","","","","","","","","","","","","","","None","AddPhysical"
