"SkillLvUp_Main_Red_Cellarn_01","SkillLvUp_Main_Red_Cellarn","1","Item_Material_SkillLvUp_AttributeRed_01","0","","","","","","","0"
"SkillLvUp_Main_Red_Cellarn_02","SkillLvUp_Main_Red_Cellarn","2","Item_Material_SkillLvUp_AttributeRed_01","5","","","","","","","6000"
"SkillLvUp_Main_Red_Cellarn_03","SkillLvUp_Main_Red_Cellarn","3","Item_Material_SkillLvUp_AttributeRed_01","10","Item_Material_SkillLvUp_Common","20","","","","","16000"
"SkillLvUp_Main_Red_Cellarn_04","SkillLvUp_Main_Red_Cellarn","4","Item_Material_SkillLvUp_AttributeRed_02","5","Item_Material_SkillLvUp_AttributeRed_01","15","Item_Material_SkillLvUp_Common","40","","","60000"
"SkillLvUp_Main_Red_Cellarn_05","SkillLvUp_Main_Red_Cellarn","5","Item_Material_SkillLvUp_AttributeRed_02","10","Item_Material_SkillLvUp_Common","60","","","","","200000"
"SkillLvUp_Main_Red_Cellarn_06","SkillLvUp_Main_Red_Cellarn","6","Item_Material_SkillLvUp_AttributeRed_03","5","Item_Material_SkillLvUp_AttributeRed_02","15","Item_Material_SkillLvUp_Common","80","","","600000"
"SkillLvUp_Main_Red_Cellarn_07","SkillLvUp_Main_Red_Cellarn","7","Item_Material_SkillLvUp_AttributeRed_03","10","Item_Material_SkillLvUp_Common","100","","","","","1000000"
"SkillLvUp_Main_Red_Cellarn_08","SkillLvUp_Main_Red_Cellarn","8","Item_Material_SkillLvUp_AttributeRed_04","5","Item_Material_SkillLvUp_AttributeRed_03","15","Item_Material_SkillLvUp_Common","120","","","2000000"
"SkillLvUp_Main_Red_Cellarn_09","SkillLvUp_Main_Red_Cellarn","9","Item_Material_SkillLvUp_AttributeRed_04","10","Item_Material_SkillLvUp_Common","150","","","","","3500000"
"SkillLvUp_Main_Red_Cellarn_10","SkillLvUp_Main_Red_Cellarn","10","Item_Material_SkillLvUp_AttributeRed_04","15","Item_Material_SkillLvUp_Cellarn_Emblem","3","","","","","5000000"
