"Skill_C_002_01_R_LinkSkill_1","Skill_C_002_01_R_LinkSkill","1","Position","","All","","","3","0.032"
"Skill_C_003_01_B_ActiveSkill_1","Skill_C_003_01_B_ActiveSkill","1","Position","","All","","","-1.8","0.6"
"Skill_C_005_01_D_AtkE_1","Skill_C_005_01_D_AtkE","1","Target","FindNewTarget","All","Enemy","OutsideX","-3","0.1"
"Skill_C_005_01_D_ActiveSkill_1","Skill_C_005_01_D_ActiveSkill","1","Position","","All","","","8","0.14"
"Skill_C_007_01_D_ActiveSkill_1","Skill_C_007_01_D_ActiveSkill","1","Position","","All","","","1.5","0.41"
"Skill_C_007_01_D_ActiveSkill_2","Skill_C_007_01_D_ActiveSkill","2","Position","","All","","","1.65","0.41"
"Skill_C_017_01_G_ActiveSkill_1","Skill_C_017_01_G_ActiveSkill","1","Target","FindNewTarget","All","Enemy","InsideX","2","0.1"
"Skill_C_023_01_R_AtkE_1","Skill_C_023_01_R_AtkE","1","Position","","All","","","5","0.1"
"Skill_C_037_01_L_LinkSkill_1","Skill_C_037_01_L_LinkSkill","1","Target","FindNewTarget","All","Enemy","Closest","-2","0.1"
"Skill_C_037_01_L_ActiveSkill_1","Skill_C_037_01_L_ActiveSkill","1","Target","FindNewTarget","All","Enemy","Farest","2","0.05"
"Skill_C_049_01_R_LinkSkill_1","Skill_C_049_01_R_LinkSkill","1","Position","","All","","","5","0.1"
"Skill_C_049_01_B_LinkSkill_1","Skill_C_049_01_B_LinkSkill","1","Position","","All","","","5","0.1"
"Skill_C_053_01_G_LinkSkill_1","Skill_C_053_01_G_LinkSkill","1","Target","FindNewTarget","All","Enemy","Closest","2","0.1"
"Skill_C_085_01_B_ActiveSkill_1","Skill_C_085_01_B_ActiveSkill","1","Target","FindNewTarget","All","Enemy","Random","0","0.2"
"Skill_C_085_01_B_ActiveSkill_2","Skill_C_085_01_B_ActiveSkill","2","Target","UseTarget","","","","-2.5","0.1"
