"Tutorial_Party_1","Char_001_S01_B","5","1","Char_002_S01_R","5","1","Char_003_S01_B","5","1","Char_103_S01_G","5","1","","","","","","","1"
"StoryPartyInfo_Prologue","Char_002_S01_Prologue","5","1","","","","","","","","","","","","","","","","1"
"SB_001_003","Char_002_S01_R","5","1","","","","","","","","","","","","","WSkill_Combat_SPUp","1","1","5"
"SB_001_008","Char_002_S01_R","5","1","Char_103_S01_G","5","1","Char_003_S01_B","5","1","","","","","","","WSkill_Combat_SPUp","1","1","5"
"SB_002_006","Char_002_S01_R","20","2","Char_103_S01_G","20","2","Char_003_S01_B","20","2","Char_001_S01_B","20","2","","","","WSkill_Combat_SPUp","10","2","20"
"SB_002_009","Char_002_S01_R","20","2","Char_103_S01_G","20","2","Char_003_S01_B","20","2","Char_001_S01_B","20","2","","","","WSkill_Combat_SPUp","10","2","20"
"SB_003_002","Char_002_S01_R","45","3","Char_103_S01_G","45","3","Char_003_S01_B","45","3","Char_001_S01_B","45","3","","","","WSkill_Combat_SPUp","20","3","45"
"SB_003_004","Char_002_S01_R","45","3","Char_103_S01_G","45","3","Char_003_S01_B","45","3","Char_001_S01_B","45","3","","","","WSkill_Combat_SPUp","20","3","45"
"SB_003_008","Char_002_S01_R","45","3","Char_103_S01_G","45","3","Char_003_S01_B","45","3","Char_001_S01_B","45","3","","","","WSkill_Combat_SPUp","20","3","45"
"SB_004_001","Char_002_S01_R","60","3","Char_103_S01_G","60","3","Char_003_S01_B","60","3","Char_001_S01_B","60","3","","","","WSkill_Combat_SPUp","30","4","60"
"SB_004_004","Char_002_S01_R","60","3","Char_103_S01_G","60","3","Char_003_S01_B","60","3","Char_001_S01_B","60","3","","","","WSkill_Combat_SPUp","30","4","60"
"SB_004_009","Char_002_S01_R","60","3","Char_064_S01_R","60","3","Char_103_S01_G","60","3","Char_003_S01_B","60","3","Char_001_S01_B","60","3","WSkill_Combat_SPUp","30","4","60"
"SB_005_002","Char_002_S01_R","60","3","Char_103_S01_G","60","3","Char_003_S01_B","60","3","Char_001_S01_B","60","3","","","","WSkill_Combat_SPUp","30","4","60"
"SB_005_006","Char_002_S01_R","60","3","Char_103_S01_G","60","3","Char_003_S01_B","60","3","Char_001_S01_B","60","3","","","","WSkill_Combat_SPUp","30","4","60"
