"TwoWeekApPackage_Group_01","TwoWeekApPackage_Group","Point_AP","120"
"FreePackage_Group_01","FreePackage_Group","Item_Material_HeroExp_01","1"
"FreePackage_Group_02","FreePackage_Group","Item_Material_EquipExp_01","1"
"NewUserSupportPackage_Group_01","NewUserSupportPackage_Group","Item_Material_HeroExp_01","30"
"NewUserSupportPackage_Group_02","NewUserSupportPackage_Group","Item_Material_HeroGradeUp_Char_110_S01_G","50"
"NewUserGrowthPackage_Group_01","NewUserGrowthPackage_Group","Point_Gold","200000"
"NewUserGrowthPackage_Group_02","NewUserGrowthPackage_Group","Item_Material_HeroExp_01","50"
"NewUserGrowthPackage_Group_03","NewUserGrowthPackage_Group","Item_Material_HeroExp_02","30"
"NewUserGrowthPackage_Group_04","NewUserGrowthPackage_Group","Item_Material_HeroExp_03","10"
"NewUserGrowthPackage_Group_05","NewUserGrowthPackage_Group","Item_SelectBox_Attribute_01","30"
"NewUserGrowthPackage_Group_06","NewUserGrowthPackage_Group","Item_SelectBox_Attribute_02","5"
"NewUserGrowthPackage_Group_09","NewUserGrowthPackage_Group","Item_Material_SkillLvUp_Common","80"
"NewUserSummonPackage_Group_01","NewUserSummonPackage_Group","Item_Ticket_TenRoll_GachaTicket","1"
"ThreeGradeFixSummonPackage_Group_01","ThreeGradeFixSummonPackage_Group","Item_GachaTicket_3GradeFix_TenRoll","1"
"WeekHeroExpPackage2_Group_01","WeekHeroExpPackage2_Group","Point_Gold","500000"
"WeekHeroExpPackage2_Group_02","WeekHeroExpPackage2_Group","Item_Material_HeroExp_01","80"
"WeekHeroExpPackage2_Group_03","WeekHeroExpPackage2_Group","Item_Material_HeroExp_02","40"
"WeekHeroExpPackage2_Group_04","WeekHeroExpPackage2_Group","Item_Material_HeroExp_03","20"
"WeekHeroExpPackage2_Group_05","WeekHeroExpPackage2_Group","Item_Material_HeroExp_04","5"
"WeekHeroExpPackage1_Group_01","WeekHeroExpPackage1_Group","Point_Gold","100000"
"WeekHeroExpPackage1_Group_02","WeekHeroExpPackage1_Group","Item_Material_HeroExp_01","40"
"WeekHeroExpPackage1_Group_03","WeekHeroExpPackage1_Group","Item_Material_HeroExp_02","20"
"WeekHeroExpPackage1_Group_04","WeekHeroExpPackage1_Group","Item_Material_HeroExp_03","5"
"WeekEquipPackage1_Group_01","WeekEquipPackage1_Group","Point_Gold","150000"
"WeekEquipPackage1_Group_02","WeekEquipPackage1_Group","Item_SelectBox_WeekEquipPackage1","45"
"WeekEquipPackage1_Group_03","WeekEquipPackage1_Group","Item_Material_EquipExp_01","30"
