"GradeUp_Char_001_01","GradeUp_Char_001","1","0","0","0","0","0","BasePhysicalDef","0","BaseMagicalDef","0","","","","","","","","",""
"GradeUp_Char_001_02","GradeUp_Char_001","2","30","8000","0","4","64","BasePhysicalDef","5","BaseMagicalDef","8","","","","","","","","","Skill_C_001_01_B_AtkE"
"GradeUp_Char_001_03","GradeUp_Char_001","3","80","40000","0","7","128","BasePhysicalDef","10","BaseMagicalDef","16","","","","","","","","","Skill_C_001_01_B_Passive"
"GradeUp_Char_001_04","GradeUp_Char_001","4","100","200000","0","10","192","BasePhysicalDef","15","BaseMagicalDef","24","BaseCriResist","250","","","","","","",""
"GradeUp_Char_001_05","GradeUp_Char_001","5","120","1000000","0","13","256","BasePhysicalDef","20","BaseMagicalDef","32","BaseCriResist","500","","","","","","",""
"GradeUp_Char_002_01","GradeUp_Char_002","1","0","0","0","0","0","BasePhysicalDef","0","BaseMagicalDef","0","","","","","","","","",""
"GradeUp_Char_002_02","GradeUp_Char_002","2","30","8000","4","0","72","BasePhysicalDef","10","BaseMagicalDef","25","","","","","","","","","Skill_C_002_01_R_AtkE"
"GradeUp_Char_002_03","GradeUp_Char_002","3","80","40000","8","0","144","BasePhysicalDef","20","BaseMagicalDef","50","","","","","","","","","Skill_C_002_01_R_Passive"
"GradeUp_Char_002_04","GradeUp_Char_002","4","100","200000","12","0","216","BasePhysicalDef","30","BaseMagicalDef","75","BaseAvo","250","","","","","","",""
"GradeUp_Char_002_05","GradeUp_Char_002","5","120","1000000","16","0","288","BasePhysicalDef","40","BaseMagicalDef","100","BaseAvo","500","","","","","","",""
"GradeUp_Char_003_01","GradeUp_Char_003","1","0","0","0","0","0","BasePhysicalDef","0","BaseMagicalDef","0","","","","","","","","",""
"GradeUp_Char_003_02","GradeUp_Char_003","2","30","8000","5","0","60","BasePhysicalDef","3","BaseMagicalDef","2","","","","","","","","","Skill_C_003_01_B_AtkE"
"GradeUp_Char_003_03","GradeUp_Char_003","3","80","40000","10","0","120","BasePhysicalDef","6","BaseMagicalDef","4","","","","","","","","","Skill_C_003_01_B_Passive"
"GradeUp_Char_003_04","GradeUp_Char_003","4","100","200000","15","0","180","BasePhysicalDef","9","BaseMagicalDef","6","BaseCriDmg","1500","","","","","","",""
"GradeUp_Char_003_05","GradeUp_Char_003","5","120","1000000","20","0","240","BasePhysicalDef","12","BaseMagicalDef","8","BaseCriDmg","3000","","","","","","",""
"GradeUp_Char_005_01","GradeUp_Char_005","1","0","0","0","0","0","BasePhysicalDef","0","BaseMagicalDef","0","","","","","","","","",""
"GradeUp_Char_005_02","GradeUp_Char_005","2","30","8000","3","0","80","BasePhysicalDef","10","BaseMagicalDef","25","","","","","","","","","Skill_C_005_01_D_AtkE"
"GradeUp_Char_005_03","GradeUp_Char_005","3","80","40000","5","0","160","BasePhysicalDef","20","BaseMagicalDef","50","","","","","","","","","Skill_C_005_01_D_Passive"
"GradeUp_Char_005_04","GradeUp_Char_005","4","100","200000","8","0","240","BasePhysicalDef","30","BaseMagicalDef","75","BaseReductionDmg","250","","","","","","",""
"GradeUp_Char_005_05","GradeUp_Char_005","5","120","1000000","10","0","320","BasePhysicalDef","40","BaseMagicalDef","100","BaseReductionDmg","500","","","","","","",""
"GradeUp_Char_006_01","GradeUp_Char_006","1","0","0","0","0","0","BasePhysicalDef","0","BaseMagicalDef","0","","","","","","","","",""
"GradeUp_Char_006_02","GradeUp_Char_006","2","30","8000","0","3","80","BasePhysicalDef","25","BaseMagicalDef","10","","","","","","","","","Skill_C_006_01_G_AtkE"
