"FGT_Char_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Voice_Char_002_S01_R_Title","Voice_Char_002_S01_R_Gachaop","Voice_Char_002_S01_R_Gachaget","Voice_Char_002_S01_R_FormationIn","Voice_Char_002_S01_R_BattleIn","Voice_Char_002_S01_R_BattleMove","Voice_Char_002_S01_R_BattleVictory","Voice_Char_002_S01_R_BattleDefeat","Voice_Char_002_S01_R_ExSkillUseVoice"
"Char_002_S01_R","Voice_Char_002_S01_R_Title","Voice_Char_002_S01_R_Gachaop","Voice_Char_002_S01_R_Gachaget","Voice_Char_002_S01_R_FormationIn","Voice_Char_002_S01_R_BattleIn","Voice_Char_002_S01_R_BattleMove","Voice_Char_002_S01_R_BattleVictory","Voice_Char_002_S01_R_BattleDefeat","Voice_Char_002_S01_R_ExSkillUseVoice","Voice_Char_002_S01_R_ExSkillHitVoice","Voice_Char_002_S01_R_SkillVoice","Voice_Char_002_S01_R_BattleRetire","Voice_Char_002_S01_R_Title","Voice_Char_002_S01_R_Gachaop","Voice_Char_002_S01_R_Gachaget","Voice_Char_002_S01_R_FormationIn","Voice_Char_002_S01_R_BattleIn","Voice_Char_002_S01_R_BattleMove","Voice_Char_002_S01_R_BattleVictory","Voice_Char_002_S01_R_BattleDefeat","Voice_Char_002_S01_R_ExSkillUseVoice","Voice_Char_002_S01_R_ExSkillHitVoice","Voice_Char_002_S01_R_SkillVoice","Voice_Char_002_S01_R_BattleRetire","Voice_Char_002_S01_R_Title","Voice_Char_002_S01_R_Gachaop","Voice_Char_002_S01_R_Gachaget","Voice_Char_002_S01_R_FormationIn","Voice_Char_002_S01_R_BattleIn","Voice_Char_002_S01_R_BattleMove","Voice_Char_002_S01_R_BattleVictory","Voice_Char_002_S01_R_BattleDefeat","Voice_Char_002_S01_R_ExSkillUseVoice","Voice_Char_002_S01_R_ExSkillHitVoice","","","","","",""
"Char_003_S01_B","Voice_Char_003_S01_B_Title","Voice_Char_003_S01_B_Gachaop","Voice_Char_003_S01_B_Gachaget","Voice_Char_003_S01_B_FormationIn","Voice_Char_003_S01_B_BattleIn","Voice_Char_003_S01_B_BattleMove","Voice_Char_003_S01_B_BattleVictory","Voice_Char_003_S01_B_BattleDefeat","Voice_Char_003_S01_B_ExSkillUseVoice","Voice_Char_003_S01_B_ExSkillHitVoice","Voice_Char_003_S01_B_SkillVoice","Voice_Char_003_S01_B_BattleRetire","Voice_Char_003_S01_B_Title","Voice_Char_003_S01_B_Gachaop","Voice_Char_003_S01_B_Gachaget","Voice_Char_003_S01_B_FormationIn","Voice_Char_003_S01_B_BattleIn","Voice_Char_003_S01_B_BattleMove","Voice_Char_003_S01_B_BattleVictory","Voice_Char_003_S01_B_BattleDefeat","Voice_Char_003_S01_B_ExSkillUseVoice","Voice_Char_003_S01_B_ExSkillHitVoice","Voice_Char_003_S01_B_SkillVoice","Voice_Char_003_S01_B_BattleRetire","Voice_Char_003_S01_B_Title","Voice_Char_003_S01_B_Gachaop","Voice_Char_003_S01_B_Gachaget","Voice_Char_003_S01_B_FormationIn","Voice_Char_003_S01_B_BattleIn","Voice_Char_003_S01_B_BattleMove","Voice_Char_003_S01_B_BattleVictory","Voice_Char_003_S01_B_BattleDefeat","Voice_Char_003_S01_B_ExSkillUseVoice","Voice_Char_003_S01_B_ExSkillHitVoice","","","","","",""
"Char_004_S01_G","Voice_Char_004_S01_G_Title","Voice_Char_004_S01_G_Gachaop","Voice_Char_004_S01_G_Gachaget","Voice_Char_004_S01_G_FormationIn","Voice_Char_004_S01_G_BattleIn","Voice_Char_004_S01_G_BattleMove","Voice_Char_004_S01_G_BattleVictory","Voice_Char_004_S01_G_BattleDefeat","Voice_Char_004_S01_G_ExSkillUseVoice","Voice_Char_004_S01_G_ExSkillHitVoice","Voice_Char_004_S01_G_SkillVoice","Voice_Char_004_S01_G_BattleRetire","Voice_Char_004_S01_G_Title","Voice_Char_004_S01_G_Gachaop","Voice_Char_004_S01_G_Gachaget","Voice_Char_004_S01_G_FormationIn","Voice_Char_004_S01_G_BattleIn","Voice_Char_004_S01_G_BattleMove","Voice_Char_004_S01_G_BattleVictory","Voice_Char_004_S01_G_BattleDefeat","Voice_Char_004_S01_G_ExSkillUseVoice","Voice_Char_004_S01_G_ExSkillHitVoice","Voice_Char_004_S01_G_SkillVoice","Voice_Char_004_S01_G_BattleRetire","Voice_Char_004_S01_G_Title","Voice_Char_004_S01_G_Gachaop","Voice_Char_004_S01_G_Gachaget","Voice_Char_004_S01_G_FormationIn","Voice_Char_004_S01_G_BattleIn","Voice_Char_004_S01_G_BattleMove","Voice_Char_004_S01_G_BattleVictory","Voice_Char_004_S01_G_BattleDefeat","Voice_Char_004_S01_G_ExSkillUseVoice","Voice_Char_004_S01_G_ExSkillHitVoice","","","","","",""
"Char_005_S01_D","Voice_Char_005_S01_D_Title","Voice_Char_005_S01_D_Gachaop","Voice_Char_005_S01_D_Gachaget","Voice_Char_005_S01_D_FormationIn","Voice_Char_005_S01_D_BattleIn","Voice_Char_005_S01_D_BattleMove","Voice_Char_005_S01_D_BattleVictory","Voice_Char_005_S01_D_BattleDefeat","Voice_Char_005_S01_D_ExSkillUseVoice","Voice_Char_005_S01_D_ExSkillHitVoice","Voice_Char_005_S01_D_SkillVoice","Voice_Char_005_S01_D_BattleRetire","Voice_Char_005_S01_D_Title","Voice_Char_005_S01_D_Gachaop","Voice_Char_005_S01_D_Gachaget","Voice_Char_005_S01_D_FormationIn","Voice_Char_005_S01_D_BattleIn","Voice_Char_005_S01_D_BattleMove","Voice_Char_005_S01_D_BattleVictory","Voice_Char_005_S01_D_BattleDefeat","Voice_Char_005_S01_D_ExSkillUseVoice","Voice_Char_005_S01_D_ExSkillHitVoice","Voice_Char_005_S01_D_SkillVoice","Voice_Char_005_S01_D_BattleRetire","Voice_Char_005_S01_D_Title","Voice_Char_005_S01_D_Gachaop","Voice_Char_005_S01_D_Gachaget","Voice_Char_005_S01_D_FormationIn","Voice_Char_005_S01_D_BattleIn","Voice_Char_005_S01_D_BattleMove","Voice_Char_005_S01_D_BattleVictory","Voice_Char_005_S01_D_BattleDefeat","Voice_Char_005_S01_D_ExSkillUseVoice","Voice_Char_005_S01_D_ExSkillHitVoice","","","","","",""
"Char_006_S01_G","Voice_Char_006_S01_G_Title","Voice_Char_006_S01_G_Gachaop","Voice_Char_006_S01_G_Gachaget","Voice_Char_006_S01_G_FormationIn","Voice_Char_006_S01_G_BattleIn","Voice_Char_006_S01_G_BattleMove","Voice_Char_006_S01_G_BattleVictory","Voice_Char_006_S01_G_BattleDefeat","Voice_Char_006_S01_G_ExSkillUseVoice","Voice_Char_006_S01_G_ExSkillHitVoice","Voice_Char_006_S01_G_SkillVoice","Voice_Char_006_S01_G_BattleRetire","Voice_Char_006_S01_G_Title","Voice_Char_006_S01_G_Gachaop","Voice_Char_006_S01_G_Gachaget","Voice_Char_006_S01_G_FormationIn","Voice_Char_006_S01_G_BattleIn","Voice_Char_006_S01_G_BattleMove","Voice_Char_006_S01_G_BattleVictory","Voice_Char_006_S01_G_BattleDefeat","Voice_Char_006_S01_G_ExSkillUseVoice","Voice_Char_006_S01_G_ExSkillHitVoice","Voice_Char_006_S01_G_SkillVoice","Voice_Char_006_S01_G_BattleRetire","Voice_Char_006_S01_G_Title","Voice_Char_006_S01_G_Gachaop","Voice_Char_006_S01_G_Gachaget","Voice_Char_006_S01_G_FormationIn","Voice_Char_006_S01_G_BattleIn","Voice_Char_006_S01_G_BattleMove","Voice_Char_006_S01_G_BattleVictory","Voice_Char_006_S01_G_BattleDefeat","Voice_Char_006_S01_G_ExSkillUseVoice","Voice_Char_006_S01_G_ExSkillHitVoice","","","","","",""
"Char_007_S01_D","Voice_Char_007_S01_D_Title","Voice_Char_007_S01_D_Gachaop","Voice_Char_007_S01_D_Gachaget","Voice_Char_007_S01_D_FormationIn","Voice_Char_007_S01_D_BattleIn","Voice_Char_007_S01_D_BattleMove","Voice_Char_007_S01_D_BattleVictory","Voice_Char_007_S01_D_BattleDefeat","Voice_Char_007_S01_D_ExSkillUseVoice","Voice_Char_007_S01_D_ExSkillHitVoice","Voice_Char_007_S01_D_SkillVoice","Voice_Char_007_S01_D_BattleRetire","Voice_Char_007_S01_D_Title","Voice_Char_007_S01_D_Gachaop","Voice_Char_007_S01_D_Gachaget","Voice_Char_007_S01_D_FormationIn","Voice_Char_007_S01_D_BattleIn","Voice_Char_007_S01_D_BattleMove","Voice_Char_007_S01_D_BattleVictory","Voice_Char_007_S01_D_BattleDefeat","Voice_Char_007_S01_D_ExSkillUseVoice","Voice_Char_007_S01_D_ExSkillHitVoice","Voice_Char_007_S01_D_SkillVoice","Voice_Char_007_S01_D_BattleRetire","Voice_Char_007_S01_D_Title","Voice_Char_007_S01_D_Gachaop","Voice_Char_007_S01_D_Gachaget","Voice_Char_007_S01_D_FormationIn","Voice_Char_007_S01_D_BattleIn","Voice_Char_007_S01_D_BattleMove","Voice_Char_007_S01_D_BattleVictory","Voice_Char_007_S01_D_BattleDefeat","Voice_Char_007_S01_D_ExSkillUseVoice","Voice_Char_007_S01_D_ExSkillHitVoice","","","","","",""
"Char_008_S01_B","Voice_Char_008_S01_B_Title","Voice_Char_008_S01_B_Gachaop","Voice_Char_008_S01_B_Gachaget","Voice_Char_008_S01_B_FormationIn","Voice_Char_008_S01_B_BattleIn","Voice_Char_008_S01_B_BattleMove","Voice_Char_008_S01_B_BattleVictory","Voice_Char_008_S01_B_BattleDefeat","Voice_Char_008_S01_B_ExSkillUseVoice","Voice_Char_008_S01_B_ExSkillHitVoice","Voice_Char_008_S01_B_SkillVoice","Voice_Char_008_S01_B_BattleRetire","Voice_Char_008_S01_B_Title","Voice_Char_008_S01_B_Gachaop","Voice_Char_008_S01_B_Gachaget","Voice_Char_008_S01_B_FormationIn","Voice_Char_008_S01_B_BattleIn","Voice_Char_008_S01_B_BattleMove","Voice_Char_008_S01_B_BattleVictory","Voice_Char_008_S01_B_BattleDefeat","Voice_Char_008_S01_B_ExSkillUseVoice","Voice_Char_008_S01_B_ExSkillHitVoice","Voice_Char_008_S01_B_SkillVoice","Voice_Char_008_S01_B_BattleRetire","Voice_Char_008_S01_B_Title","Voice_Char_008_S01_B_Gachaop","Voice_Char_008_S01_B_Gachaget","Voice_Char_008_S01_B_FormationIn","Voice_Char_008_S01_B_BattleIn","Voice_Char_008_S01_B_BattleMove","Voice_Char_008_S01_B_BattleVictory","Voice_Char_008_S01_B_BattleDefeat","Voice_Char_008_S01_B_ExSkillUseVoice","Voice_Char_008_S01_B_ExSkillHitVoice","","","","","",""
"Char_010_S01_B","Voice_Char_010_S01_B_Title","Voice_Char_010_S01_B_Gachaop","Voice_Char_010_S01_B_Gachaget","Voice_Char_010_S01_B_FormationIn","Voice_Char_010_S01_B_BattleIn","Voice_Char_010_S01_B_BattleMove","Voice_Char_010_S01_B_BattleVictory","Voice_Char_010_S01_B_BattleDefeat","Voice_Char_010_S01_B_ExSkillUseVoice","Voice_Char_010_S01_B_ExSkillHitVoice","Voice_Char_010_S01_B_SkillVoice","Voice_Char_010_S01_B_BattleRetire","Voice_Char_010_S01_B_Title","Voice_Char_010_S01_B_Gachaop","Voice_Char_010_S01_B_Gachaget","Voice_Char_010_S01_B_FormationIn","Voice_Char_010_S01_B_BattleIn","Voice_Char_010_S01_B_BattleMove","Voice_Char_010_S01_B_BattleVictory","Voice_Char_010_S01_B_BattleDefeat","Voice_Char_010_S01_B_ExSkillUseVoice","Voice_Char_010_S01_B_ExSkillHitVoice","Voice_Char_010_S01_B_SkillVoice","Voice_Char_010_S01_B_BattleRetire","Voice_Char_010_S01_B_Title","Voice_Char_010_S01_B_Gachaop","Voice_Char_010_S01_B_Gachaget","Voice_Char_010_S01_B_FormationIn","Voice_Char_010_S01_B_BattleIn","Voice_Char_010_S01_B_BattleMove","Voice_Char_010_S01_B_BattleVictory","Voice_Char_010_S01_B_BattleDefeat","Voice_Char_010_S01_B_ExSkillUseVoice","Voice_Char_010_S01_B_ExSkillHitVoice","","","","","",""
"Char_012_S01_R","Voice_Char_012_S01_R_Title","Voice_Char_012_S01_R_Gachaop","Voice_Char_012_S01_R_Gachaget","Voice_Char_012_S01_R_FormationIn","Voice_Char_012_S01_R_BattleIn","Voice_Char_012_S01_R_BattleMove","Voice_Char_012_S01_R_BattleVictory","Voice_Char_012_S01_R_BattleDefeat","Voice_Char_012_S01_R_ExSkillUseVoice","Voice_Char_012_S01_R_ExSkillHitVoice","Voice_Char_012_S01_R_SkillVoice","Voice_Char_012_S01_R_BattleRetire","Voice_Char_012_S01_R_Title","Voice_Char_012_S01_R_Gachaop","Voice_Char_012_S01_R_Gachaget","Voice_Char_012_S01_R_FormationIn","Voice_Char_012_S01_R_BattleIn","Voice_Char_012_S01_R_BattleMove","Voice_Char_012_S01_R_BattleVictory","Voice_Char_012_S01_R_BattleDefeat","Voice_Char_012_S01_R_ExSkillUseVoice","Voice_Char_012_S01_R_ExSkillHitVoice","Voice_Char_012_S01_R_SkillVoice","Voice_Char_012_S01_R_BattleRetire","Voice_Char_012_S01_R_Title","Voice_Char_012_S01_R_Gachaop","Voice_Char_012_S01_R_Gachaget","Voice_Char_012_S01_R_FormationIn","Voice_Char_012_S01_R_BattleIn","Voice_Char_012_S01_R_BattleMove","Voice_Char_012_S01_R_BattleVictory","Voice_Char_012_S01_R_BattleDefeat","Voice_Char_012_S01_R_ExSkillUseVoice","Voice_Char_012_S01_R_ExSkillHitVoice","","","","","",""
"Char_013_S01_D","Voice_Char_013_S01_D_Title","Voice_Char_013_S01_D_Gachaop","Voice_Char_013_S01_D_Gachaget","Voice_Char_013_S01_D_FormationIn","Voice_Char_013_S01_D_BattleIn","Voice_Char_013_S01_D_BattleMove","Voice_Char_013_S01_D_BattleVictory","Voice_Char_013_S01_D_BattleDefeat","Voice_Char_013_S01_D_ExSkillUseVoice","Voice_Char_013_S01_D_ExSkillHitVoice","Voice_Char_013_S01_D_SkillVoice","Voice_Char_013_S01_D_BattleRetire","Voice_Char_013_S01_D_Title","Voice_Char_013_S01_D_Gachaop","Voice_Char_013_S01_D_Gachaget","Voice_Char_013_S01_D_FormationIn","Voice_Char_013_S01_D_BattleIn","Voice_Char_013_S01_D_BattleMove","Voice_Char_013_S01_D_BattleVictory","Voice_Char_013_S01_D_BattleDefeat","Voice_Char_013_S01_D_ExSkillUseVoice","Voice_Char_013_S01_D_ExSkillHitVoice","Voice_Char_013_S01_D_SkillVoice","Voice_Char_013_S01_D_BattleRetire","Voice_Char_013_S01_D_Title","Voice_Char_013_S01_D_Gachaop","Voice_Char_013_S01_D_Gachaget","Voice_Char_013_S01_D_FormationIn","Voice_Char_013_S01_D_BattleIn","Voice_Char_013_S01_D_BattleMove","Voice_Char_013_S01_D_BattleVictory","Voice_Char_013_S01_D_BattleDefeat","Voice_Char_013_S01_D_ExSkillUseVoice","Voice_Char_013_S01_D_ExSkillHitVoice","","","","","",""
