"Wea_Mace_01","Wea_Mace","Str_Equip_Wea_Mace_01_Name","Str_Equip_Wea_Mace_01_Desc","ICON_EQUIP_Wea_Mace_01","1","Weapon","BaseAtkPer","300","15","None","0","None","0","Wea_Mace_02","","0","0","10"
"Wea_Mace_02","Wea_Mace","Str_Equip_Wea_Mace_02_Name","Str_Equip_Wea_Mace_02_Desc","ICON_EQUIP_Wea_Mace_02","2","Weapon","BaseAtkPer","465","15","None","0","None","0","Wea_Mace_03","Item_Material_EquipGradeUp_Mace_01","15","1600","20"
"Wea_Mace_03","Wea_Mace","Str_Equip_Wea_Mace_03_Name","Str_Equip_Wea_Mace_03_Desc","ICON_EQUIP_Wea_Mace_03","3","Weapon","BaseAtkPer","615","15","None","0","None","0","Wea_Mace_04","Item_Material_EquipGradeUp_Mace_02","20","12000","30"
"Wea_Mace_04","Wea_Mace","Str_Equip_Wea_Mace_04_Name","Str_Equip_Wea_Mace_04_Desc","ICON_EQUIP_Wea_Mace_04","4","Weapon","BaseAtkPer","765","15","BaseHpPer","250","None","0","Wea_Mace_05","Item_Material_EquipGradeUp_Mace_03","30","24000","40"
"Wea_Mace_05","Wea_Mace","Str_Equip_Wea_Mace_05_Name","Str_Equip_Wea_Mace_05_Desc","ICON_EQUIP_Wea_Mace_05","5","Weapon","BaseAtkPer","915","15","BaseHpPer","500","None","0","Wea_Mace_06","Item_Material_EquipGradeUp_Mace_04","40","48000","50"
"Wea_Mace_06","Wea_Mace","Str_Equip_Wea_Mace_06_Name","Str_Equip_Wea_Mace_06_Desc","ICON_EQUIP_Wea_Mace_06","6","Weapon","BaseAtkPer","330","30","BaseHpPer","750","None","0","","Item_Material_EquipGradeUp_Mace_05","50","96000","55"
"Wea_Sword_01","Wea_Sword","Str_Equip_Wea_Sword_01_Name","Str_Equip_Wea_Sword_01_Desc","ICON_EQUIP_Wea_Sword_01","1","Weapon","BaseAtkPer","400","20","None","0","None","0","Wea_Sword_02","","0","0","10"
"Wea_Sword_02","Wea_Sword","Str_Equip_Wea_Sword_02_Name","Str_Equip_Wea_Sword_02_Desc","ICON_EQUIP_Wea_Sword_02","2","Weapon","BaseAtkPer","620","20","None","0","None","0","Wea_Sword_03","Item_Material_EquipGradeUp_Sword_01","15","1600","20"
"Wea_Sword_03","Wea_Sword","Str_Equip_Wea_Sword_03_Name","Str_Equip_Wea_Sword_03_Desc","ICON_EQUIP_Wea_Sword_03","3","Weapon","BaseAtkPer","820","20","None","0","None","0","Wea_Sword_04","Item_Material_EquipGradeUp_Sword_02","20","12000","30"
"Wea_Sword_04","Wea_Sword","Str_Equip_Wea_Sword_04_Name","Str_Equip_Wea_Sword_04_Desc","ICON_EQUIP_Wea_Sword_04","4","Weapon","BaseAtkPer","1020","20","BaseCri","200","None","0","Wea_Sword_05","Item_Material_EquipGradeUp_Sword_03","30","24000","40"
