"Skill_C_001_01_B_AtkM_01","Skill_C_001_01_B_AtkM_01","Skill_C_001_01_B_AtkM","1","ColliderCrash","","","","0","HitEnemyAll","","","Dmg","10737","","","","","","","","None","","0"
"Skill_C_001_01_B_LinkSkill_01_01","Skill_C_001_01_B_LinkSkill_01","Skill_C_001_01_B_LinkSkill_01","1","SkillEffectAction","","","","0","UseTarget","","","HealMagAtk","25000","1250","","","","","","","None","","0"
"Skill_C_001_01_B_LinkSkill_01_02","Skill_C_001_01_B_LinkSkill_01","Skill_C_001_01_B_LinkSkill_02","1","SkillEffectAction","","","","0","UseTarget","","","HealMagAtk","32500","1250","","","","","","","None","","0"
"Skill_C_001_01_B_LinkSkill_01_03","Skill_C_001_01_B_LinkSkill_01","Skill_C_001_01_B_LinkSkill_03","1","SkillEffectAction","","","","0","UseTarget","","","HealMagAtk","40000","1250","","","","","","","None","","0"
"Skill_C_001_01_B_LinkSkill_01_04","Skill_C_001_01_B_LinkSkill_01","Skill_C_001_01_B_LinkSkill_04","1","SkillEffectAction","","","","0","UseTarget","","","HealMagAtk","47500","","","","","","","","None","","0"
"Skill_C_001_01_B_AtkE_01_01","Skill_C_001_01_B_AtkE_01","Skill_C_001_01_B_AtkE_01","1","SkillEffectAction","","","","0","WholeHeroAlly","","","BuffAtkSpeed","1200","60","","","","","","","Duration","8","1"
"Skill_C_001_01_B_AtkE_01_02","Skill_C_001_01_B_AtkE_01","Skill_C_001_01_B_AtkE_02","1","SkillEffectAction","","","","0","WholeHeroAlly","","","BuffAtkSpeed","1560","60","","","","","","","Duration","8","1"
"Skill_C_001_01_B_AtkE_01_03","Skill_C_001_01_B_AtkE_01","Skill_C_001_01_B_AtkE_03","1","SkillEffectAction","","","","0","WholeHeroAlly","","","BuffAtkSpeed","1920","60","","","","","","","Duration","8","1"
"Skill_C_001_01_B_AtkE_01_04","Skill_C_001_01_B_AtkE_01","Skill_C_001_01_B_AtkE_04","1","SkillEffectAction","","","","0","WholeHeroAlly","","","BuffAtkSpeed","2280","","","","","","","","Duration","8","1"
"Skill_C_001_01_B_ActiveSkill_01_01","Skill_C_001_01_B_ActiveSkill_01","Skill_C_001_01_B_ActiveSkill_01","1","SkillEffectAction","","","","0","WholeHeroAlly","","","HealMagAtk","15000","750","","","","","","","None","","0"
"Skill_C_001_01_B_ActiveSkill_01_02","Skill_C_001_01_B_ActiveSkill_01","Skill_C_001_01_B_ActiveSkill_02","1","SkillEffectAction","","","","0","WholeHeroAlly","","","HealMagAtk","19500","750","","","","","","","None","","0"
"Skill_C_001_01_B_ActiveSkill_02_02","Skill_C_001_01_B_ActiveSkill_02","Skill_C_001_01_B_ActiveSkill_02","1","SkillEffectAction","","","","1","WholeHeroAlly","","","BuffPhysicalDef","1500","75","","","","","","","Duration","12","1"
"Skill_C_001_01_B_ActiveSkill_01_03","Skill_C_001_01_B_ActiveSkill_01","Skill_C_001_01_B_ActiveSkill_03","1","SkillEffectAction","","","","0","WholeHeroAlly","","","HealMagAtk","24000","750","","","","","","","None","","0"
"Skill_C_001_01_B_ActiveSkill_02_03","Skill_C_001_01_B_ActiveSkill_02","Skill_C_001_01_B_ActiveSkill_03","1","SkillEffectAction","","","","1","WholeHeroAlly","","","BuffPhysicalDef","1950","75","","","","","","","Duration","12","1"
"Skill_C_001_01_B_ActiveSkill_01_04","Skill_C_001_01_B_ActiveSkill_01","Skill_C_001_01_B_ActiveSkill_04","1","SkillEffectAction","","","","0","WholeHeroAlly","","","HealMagAtk","28500","","","","","","","","None","","0"
"Skill_C_001_01_B_ActiveSkill_02_04","Skill_C_001_01_B_ActiveSkill_02","Skill_C_001_01_B_ActiveSkill_04","1","SkillEffectAction","","","","1","WholeHeroAlly","","","BuffPhysicalDef","2400","","","","","","","","Duration","12","1"
"Skill_C_001_01_B_Passive_01_01","Skill_C_001_01_B_Passive_01","Skill_C_001_01_B_Passive_01","1","BattleStart","Self","","","0","Self","","","PassiveBuffMagicalAtk","1400","70","","","","","","","Always","","1"
"Skill_C_001_01_B_Passive_01_02","Skill_C_001_01_B_Passive_01","Skill_C_001_01_B_Passive_02","1","BattleStart","Self","","","0","Self","","","PassiveBuffMagicalAtk","1820","70","","","","","","","Always","","1"
"Skill_C_001_01_B_Passive_01_03","Skill_C_001_01_B_Passive_01","Skill_C_001_01_B_Passive_03","1","BattleStart","Self","","","0","Self","","","PassiveBuffMagicalAtk","2240","70","","","","","","","Always","","1"
"Skill_C_001_01_B_Passive_01_04","Skill_C_001_01_B_Passive_01","Skill_C_001_01_B_Passive_04","1","BattleStart","Self","","","0","Self","","","PassiveBuffMagicalAtk","2660","","","","","","","","Always","","1"
"Skill_C_001_01_Prologue_AtkM_01","Skill_C_001_01_Prologue_AtkM_01","Skill_C_001_01_Prologue_AtkM","1","ColliderCrash","","","","0","HitEnemyAll","","","Dmg","4555","","","","","","","","None","","0"
"Skill_C_001_01_Prologue_LinkSkill_01_01","Skill_C_001_01_Prologue_LinkSkill_01","Skill_C_001_01_Prologue_LinkSkill","1","SkillEffectAction","","","","0","UseTarget","","","HealMagAtk","15000","500","","","","","","","None","","0"
"Skill_C_001_01_Prologue_LinkSkill_02_01","Skill_C_001_01_Prologue_LinkSkill_02","Skill_C_001_01_Prologue_LinkSkill","1","SkillEffectAction","","","","1","Self","","","CheckEffect","","","","","","","","","Always","","1"
"Skill_C_001_01_Prologue_AtkE_01","Skill_C_001_01_Prologue_AtkE_01","Skill_C_001_01_Prologue_AtkE","1","SkillEffectAction","","","","0","WholeHeroAlly","","","BuffPhysicalDef","2000","20","","","","","","","Duration","10","1"
"Skill_C_001_01_Prologue_ActiveSkill_01","Skill_C_001_01_Prologue_ActiveSkill_01","Skill_C_001_01_Prologue_ActiveSkill","1","SkillEffectAction","","","","0","WholeHeroAlly","","","HealMagAtk","900000","1100","","","","","","","None","","0"
"Skill_C_001_01_Prologue_ActiveSkill_02","Skill_C_001_01_Prologue_ActiveSkill_02","Skill_C_001_01_Prologue_ActiveSkill","1","SkillEffectAction","","","","0","WholeHeroAlly","","","RemoveEffectAll","","","","","","","","","None","","0"
"Skill_C_001_01_Prologue_Passive_01","Skill_C_001_01_Prologue_Passive_01","Skill_C_001_01_Prologue_Passive","1","BattleStart","Self","","","0","Self","","","CheckEffect","","","","","","","","","Always","","1"
"Skill_C_002_01_R_AtkM_01","Skill_C_002_01_R_AtkM_01","Skill_C_002_01_R_AtkM","1","ColliderCrash","","","","0","HitEnemyAll","","","Dmg","11707","","","","","","","","None","","0"
"Skill_C_002_01_R_LinkSkill_01_01","Skill_C_002_01_R_LinkSkill_01","Skill_C_002_01_R_LinkSkill_01","1","ColliderCrash","","","","0","HitEnemyAll","","","Dmg","30000","1500","","","","","","","None","","0"
