"T_Summon_1_1","T_Summon_1","1","Konety","","","Voice_T_Tutorial_6_31"
"T_Summon_1_2","T_Summon_1","2","","3","","Voice_T_Tutorial_7_1"
"T_Summon_2_1","T_Summon_2","1","Konety","3","","Voice_T_Tutorial_7_2"
"T_Summon_3_1","T_Summon_3","1","Konety","2","","Voice_T_Tutorial_7_3"
"T_Adventure_1_1","T_Adventure_1","1","Konety","7","","Voice_T_Adventure_1"
"T_Adventure_1_2","T_Adventure_1","2","","4","","Voice_T_Adventure_2"
"T_Adventure_1_3","T_Adventure_1","3","","3","","Voice_T_Adventure_3"
"T_Adventure_2_1","T_Adventure_2","1","Konety","3","","Voice_T_Adventure_4"
"T_Adventure_3_1","T_Adventure_3","1","Konety","2","","Voice_T_Adventure_5"
"T_Adventure_3_2","T_Adventure_3","2","","7","","Voice_T_Adventure_6"
"T_Adventure_4_1","T_Adventure_4","1","Konety","2","","Voice_T_Adventure_7"
"T_Adventure_4_2","T_Adventure_4","2","","","","Voice_T_Adventure_8"
"T_Adventure_5_1","T_Adventure_5","1","Konety","7","","Voice_T_Adventure_9"
"T_Adventure_5_2","T_Adventure_5","2","","2","","Voice_T_Adventure_10"
"T_Adventure_5_3","T_Adventure_5","3","","1","","Voice_T_Adventure_11"
"T_Adventure_6_1","T_Adventure_6","1","Konety","3","","Voice_T_Adventure_12"
"T_Adventure_7_1","T_Adventure_7","1","Konety","2","","Voice_T_Adventure_13"
"T_Adventure_7_2","T_Adventure_7","2","","10","","Voice_T_Adventure_14"
"T_Mirrorgram_1_1","T_Mirrorgram_1","1","Dorothy","9","","Voice_T_Mirrorgram_1"
"T_Mirrorgram_1_2","T_Mirrorgram_1","2","","7","","Voice_T_Mirrorgram_2"
"T_Mirrorgram_2_1","T_Mirrorgram_2","1","Dorothy","1","","Voice_T_Mirrorgram_3"
"T_Mirrorgram_2_2","T_Mirrorgram_2","2","","3","","Voice_T_Mirrorgram_4"
"T_Mirrorgram_2_3","T_Mirrorgram_2","3","","6","","Voice_T_Mirrorgram_5"
"T_Mirrorgram_2_4","T_Mirrorgram_2","4","","9","","Voice_T_Mirrorgram_6"
"T_Mirrorgram_3_1","T_Mirrorgram_3","1","Dorothy","8","","Voice_T_Mirrorgram_7"
"T_Mirrorgram_3_2","T_Mirrorgram_3","2","","","","Voice_T_Mirrorgram_8"
"T_Mirrorgram_3_3","T_Mirrorgram_3","3","","11","","Voice_T_Mirrorgram_9"
"T_Mirrorgram_3_4","T_Mirrorgram_3","4","","3","","Voice_T_Mirrorgram_10"
"T_Mirrorgram_4_1","T_Mirrorgram_4","1","Dorothy","1","","Voice_T_Mirrorgram_11"
"T_Mirrorgram_4_2","T_Mirrorgram_4","2","","3","","Voice_T_Mirrorgram_12"
"T_Mirrorgram_5_1","T_Mirrorgram_5","1","Dorothy","6","","Voice_T_Mirrorgram_13"
"T_Mirrorgram_5_2","T_Mirrorgram_5","2","","9","","Voice_T_Mirrorgram_14"
"T_Mirrorgram_5_3","T_Mirrorgram_5","3","","2","","Voice_T_Mirrorgram_15"
"T_Mirrorgram_5_4","T_Mirrorgram_5","4","","3","","Voice_T_Mirrorgram_16"
"T_Mirrorgram_6_1","T_Mirrorgram_6","1","Dorothy","7","","Voice_T_Mirrorgram_17"
"T_Mirrorgram_6_2","T_Mirrorgram_6","2","","","","Voice_T_Mirrorgram_18"
"T_Mirrorgram_6_3","T_Mirrorgram_6","3","","8","","Voice_T_Mirrorgram_19"
"T_Mirrorgram_7_1","T_Mirrorgram_7","1","Dorothy","9","","Voice_T_Mirrorgram_20"
"T_Mirrorgram_7_2","T_Mirrorgram_7","2","","3","","Voice_T_Mirrorgram_21"
"T_Mirrorgram_7_3","T_Mirrorgram_7","3","","","","Voice_T_Mirrorgram_22"
"T_Mirrorgram_7_4","T_Mirrorgram_7","4","","10","","Voice_T_Mirrorgram_23"
"T_Mirrorgram_7_5","T_Mirrorgram_7","5","","11","","Voice_T_Mirrorgram_24"
"T_Mirrorgram_8_1","T_Mirrorgram_8","1","Dorothy","3","","Voice_T_Mirrorgram_25"
"T_Mirrorgram_8_2","T_Mirrorgram_8","2","","8","","Voice_T_Mirrorgram_26"
"T_Mirrorgram_8_3","T_Mirrorgram_8","3","","2","","Voice_T_Mirrorgram_27"
"T_Mirrorgram_8_4","T_Mirrorgram_8","4","","6","","Voice_T_Mirrorgram_28"
"T_Mirrorgram_8_5","T_Mirrorgram_8","5","","5","","Voice_T_Mirrorgram_29"
"T_Mirrorgram_8_6","T_Mirrorgram_8","6","","2","","Voice_T_Mirrorgram_30"
"T_Mirrorgram_9_1","T_Mirrorgram_9","1","Dorothy","2","","Voice_T_Mirrorgram_31"
"T_Mirrorgram_9_2","T_Mirrorgram_9","2","","3","","Voice_T_Mirrorgram_32"
"T_Mirrorgram_9_3","T_Mirrorgram_9","3","","7","","Voice_T_Mirrorgram_33"
"T_Mirrorgram_10_1","T_Mirrorgram_10","1","Dorothy","3","","Voice_T_Mirrorgram_34"
"T_Mirrorgram_10_2","T_Mirrorgram_10","2","","9","","Voice_T_Mirrorgram_35"
"T_Mirrorgram_10_3","T_Mirrorgram_10","3","","8","","Voice_T_Mirrorgram_36"
"T_Mirrorgram_10_4","T_Mirrorgram_10","4","","6","","Voice_T_Mirrorgram_37"
"T_Mirrorgram_10_5","T_Mirrorgram_10","5","","3","","Voice_T_Mirrorgram_38"
"T_Mirrorgram_11_1","T_Mirrorgram_11","1","Dorothy","3","","Voice_T_Mirrorgram_39"
"T_Mirrorgram_11_2","T_Mirrorgram_11","2","","9","","Voice_T_Mirrorgram_40"
"T_Mirrorgram_11_3","T_Mirrorgram_11","3","","6","","Voice_T_Mirrorgram_41"
"T_Mirrorgram_11_4","T_Mirrorgram_11","4","","5","","Voice_T_Mirrorgram_42"
"T_Mirrorgram_11_5","T_Mirrorgram_11","5","","8","","Voice_T_Mirrorgram_43"
"T_Mirrorgram_11_6","T_Mirrorgram_11","6","","2","","Voice_T_Mirrorgram_44"
"T_Mirrorgram_11_7","T_Mirrorgram_11","7","","3","","Voice_T_Mirrorgram_45"
