"PracticeBook_Season001","1","PracticeBook_Normal_040","PracticeBook_Challenge_004","Day","Season"
"PracticeBook_Season002","2","PracticeBook_Normal_050","PracticeBook_Challenge_005","Day","Season"
"PracticeBook_Season003","3","PracticeBook_Normal_060","PracticeBook_Challenge_006","Day","Season"
"PracticeBook_Season004","4","PracticeBook_Normal_070","PracticeBook_Challenge_007","Day","Season"
"PracticeBook_Season005","5","PracticeBook_Normal_080","PracticeBook_Challenge_008","Day","Season"
"PracticeBook_Season006","6","PracticeBook_Normal_090","PracticeBook_Challenge_009","Day","Season"
"PracticeBook_Season007","7","PracticeBook_Normal_100","PracticeBook_Challenge_010","Day","Season"
"PracticeBook_Season008","8","PracticeBook_Normal_110","PracticeBook_Challenge_011","Day","Season"
"PracticeBook_Season009","9","PracticeBook_Normal_120","PracticeBook_Challenge_012","Day","Season"
"PracticeBook_Season010","10","PracticeBook_Normal_130","PracticeBook_Challenge_013","Day","Season"
