"StageChap_Munchkin_0001","Munchkin","","","Normal","Chapter01","True"
"StageChap_Munchkin_0002","Munchkin","","","Normal","Chapter02","False"
"StageChap_Munchkin_0003","Munchkin","","","Normal","Chapter03","False"
"StageChap_Kainan_0001","Kainan","","","Normal","Chapter04","False"
"StageChap_Muir_0001","Muir","","","Normal","Chapter05","False"
"StageChap_Trinavally_0001","Trinavally","","","Normal","Chapter06","False"
"StageChap_Lospanga_0001","Lospanga","","","Normal","Chapter07","False"
"StageChap_Delmar_0001","Delmar","","","Normal","Chapter08","False"
"StageChap_E_Munchkin_0001","Munchkin","","","Expert","Chapter01","True"
"StageChap_E_Munchkin_0002","Munchkin","","","Expert","Chapter02","True"
"StageChap_E_Munchkin_0003","Munchkin","","","Expert","Chapter03","False"
"StageChap_E_Kainan_0001","Kainan","","","Expert","Chapter04","False"
"StageChap_E_Muir_0001","Muir","","","Expert","Chapter05","False"
