"Char_Stat_R_Atk","1080","720","1800","100","100","15000","100","100","10000","7","10000"
"Char_Stat_R_Cri","981","720","1800","150","100","15000","100","100","10000","7","10000"
"Char_Stat_R_Def","720","1080","2700","100","100","15000","100","100","10000","7","10000"
"Char_Stat_R_Hp","720","900","2970","100","100","15000","100","100","10000","7","10000"
"Char_Stat_R_Avo","720","1000","2430","100","100","15000","186","100","10000","7","10000"
"Char_Stat_SSR_Atk","1200","800","2000","100","100","15000","100","100","10000","7","10000"
"Char_Stat_SSR_Cri","1090","800","2000","150","100","15000","100","100","10000","7","10000"
"Char_Stat_SSR_Def","800","1200","3000","100","100","15000","100","100","10000","7","10000"
"Char_Stat_SSR_Hp","800","1000","3300","100","100","15000","100","100","10000","7","10000"
"Char_Stat_SSR_Avo","800","1000","2700","100","100","15000","186","100","10000","7","10000"
"Test_Defender","800","1200","14000","108","200","15000","100","100","10000","7","10000"
"Test_Attacker","1200","800","10200","150","200","15000","100","100","10000","7","10000"
"Test_Slayer","1300","800","7000","300","200","15000","100","100","10000","7","10000"
"Test_Assister","900","800","8500","108","200","15000","100","100","10000","7","10000"
