"CastleRankUp_01","","","","","ResourceProduct","Point_AP","5","0.35","100","Point_Gold","5","105","30000","2","2","3"
"CastleRankUp_02","Point_Gold","200","Item_CastleRankUp_OForce1060","1","ResourceProduct","Point_AP","5","0.49","140","Point_Gold","5","261","75000","2","2","3"
"CastleRankUp_03","Point_Gold","20000","Item_CastleRankUp_OForce1660","1","ResourceProduct","Point_AP","5","0.63","180","Point_Gold","5","417","120000","3","3","4"
"CastleRankUp_04","Point_Gold","50000","Item_CastleRankUp_OForce2060","1","ResourceProduct","Point_AP","5","0.77","220","Point_Gold","5","573","165000","3","3","4"
"CastleRankUp_05","Point_Gold","100000","Item_CastleRankUp_OForce3060","1","ResourceProduct","Point_AP","5","0.91","260","Point_Gold","5","730","210000","4","3","4"
"CastleRankUp_06","Point_Gold","250000","Item_CastleRankUp_OForce4060","1","ResourceProduct","Point_AP","5","1.05","300","Point_Gold","5","886","255000","4","3","4"
"CastleRankUp_07","Point_Gold","500000","Item_CastleRankUp_OForce5060","1","ResourceProduct","Point_AP","5","1.19","340","Point_Gold","5","1042","300000","5","4","5"
"CastleRankUp_08","Point_Gold","1000000","Item_CastleRankUp_OForce6060","1","ResourceProduct","Point_AP","5","1.32","380","Point_Gold","5","1198","345000","5","4","5"
"CastleRankUp_09","Point_Gold","2000000","Item_CastleRankUp_OForce7060","1","ResourceProduct","Point_AP","5","1.46","420","Point_Gold","5","1355","390000","6","5","6"
"CastleRankUp_10","Point_Gold","4000000","Item_CastleRankUp_OForce8060","1","ResourceProduct","Point_AP","5","1.6","460","Point_Gold","5","1511","435000","6","5","6"
