"Str_Buildin_Data_Loading_01","집에 가서 뭐 할지 고민 중…","","家でやることを考え中…","",""
"Str_Buildin_Data_Loading_02","오늘 후회 되는 일 생각 중…","","今日の失敗を振り返り中…","",""
"Str_Buildin_Data_Loading_03","진상 손님 골탕 먹이는 상상 중…","","迷惑客の撃退法を考え中…","",""
"Str_Buildin_Data_Loading_04","토토랑 산책 갈지 말지 고민 중…","","トトの散歩を準備中…","",""
"Str_Buildin_Download_Noti","알림","","お知らせ","",""
"Str_Buildin_Download_Cancel","취소","","キャンセル","",""
"Str_Buildin_Download","다운로드","","ダウンロード","",""
"Str_Buildin_Network_Error","네트워크 에러!","","ネットワークエラー！","",""
"Str_Buildin_Data_Loading_05","동화를 쓰고 있습니다…","","童話を書いています…","",""
"Str_Buildin_Download_Desc","<color=#8059E3>{0}</color> 게임 리소스를 다운로드해야 합니다.
다운로드를 진행하시겠습니까?

[WIFI가 연결된 환경에서 다운로드하는 것을 권장합니다.]","","<color=#8059E3>{0}</color>ゲームリソースのダウンロードが必要です。
ダウンロードしますか？

[Wi-Fi環境でのダウンロードをお勧めします]","",""
"Str_Buildin_Internet_Check","인터넷 연결을 확인해주세요.","","ネットワーク接続を確認してください。","",""
"Str_Error_No_Initiaize","정보를 불러오는 중 에러가 발생했습니다. 다시 시도해주세요.","","ロード中にエラーが発生しました。もう一度お試しください。","",""
"Str_Error_security","정보를 불러오는 중 에러가 발생했습니다. 관리자에게 문의해주세요.","","ロード中にエラーが発生しました。管理者にお問い合わせください。","",""
"Str_Table Initialize","미러그램 보면서 쇼파에서 뒹구는 중…","","ミラーグラムを見ながらソファーでゴロゴロ中…","",""
"Str_Resource Initialize","초코와 산책 갈지 말지 고민 중…","","チョコと散歩に行くか悩み中…","",""
"Str_Buildin_Server_Error","서버가 요청을 처리하는데 실패했습니다. (에러코드:{0})
타이틀 화면으로 이동합니다.","","サーバーがリクエストの処理に失敗しました。 (エラーコード:{0})
タイトル画面に移動します。","",""
"Str_Buildin_Session_Expires","서버와의 연결이 끊어졌습니다.
타이틀 화면으로 이동합니다.","","サーバーとの接続が切れました。
タイトル画面に戻ります。","",""
"Str_Buildin_Session_Kick","서버와의 연결이 끊어졌습니다.
타이틀 화면으로 이동합니다.","","サーバーとの接続が切れました。
タイトル画面に戻ります。","",""
"Str_Buildin_Server_Connect_Error","서버 정보를 불러오는 중 에러가 발생하였습니다. 관리자에게 문의해주세요.","","サーバー情報の読み込み中にエラーが発生しました。管理者にお問い合わせください。","",""
"Str_Buildin_UpdateClient_Force","최신 버전으로의 업데이트가 필요합니다. 계속 사용하려면 앱을 업데이트해 주세요.","","最新バージョンへのアップデートが必要です。プレイするにはアプリをアップデートしてください。","",""
"Str_Buildin_UpdateClient_recommended","최신 버전의 앱이 있습니다. 원활한 사용을 위해 업데이트를 권장합니다.","","最新バージョンのアプリがあります。スムーズなプレイのためにアップデートを推奨します。","",""
"Str_Buildin_UpdateClient_Comfirm","업데이트하기","","アップデートする","",""
"Str_Buildin_UpdateClient_Later","나중에","","あとで","",""
"Str_Buildin_Download_ExitApp","앱 종료","","アプリを終了します","",""
"Str_Buildin_LogIn_Error","로그인 이후 다음 진행이 가능합니다.","","ログインすると次に進むことできます。","",""
"Str_Buildin_Confirm_Btn","OK","","OK","",""
"Str_Buildin_Retry_Btn","재시도","","リトライ","",""
