id	petStar	petRare	petLv	skin1Lv	skin2Lv	petWeapon	status
int	int	int	int	int	int	int	int
999	0;0	1;1	60;60	1;1	1;1	0;0	1
10001	6;6	5;5	50;47	50;50	50;50	0;0	1
10002	6;6	5;5	45;65	10;50	10;50	0;0	1
10111	2;2	1;1	15;15	1;1	1;1	0;0	1
10115	1	2	25	1	1	0	1
10117	1	1	10	1	1	0	1
10207	1	2	18	1	1	0	1
10216	0	1	25	1	1	0	1
10221	1;1	2;2	22;20	1;1	1;1	0;0	1
10320	4	4	40	1	1	0	1
10604	6	8	60	1	1	0	1
10606	6	8	60	1	1	0	1
10811	6	8	60	1	1	0	1
10901	6	8	60	1	1	0	1
10307	0	4	33	1	1	0	1
10309	0	4	30	1	1	0	1
10314	0	4	33	1	1	0	1
10413	2	4	38	1	1	0	1
10418	4	4	50	20	20	0	1
10501	1	4	42	1	1	0	1
10507	3	7	55	1	1	0	1
10917	6	8	60	50	50	0	1
11101	4	8	63	1	1	0	1
10601	0	8	65	1	1	0	1
20001	1;1;1;1	3;3;3;3	49;49;49;49	5;5;5;5	5;5;5;5	0;0;0;0	1
20002	1;1;1;1	3;3;3;3	49;49;49;49	5;5;5;5	5;5;5;5	0;0;0;0	1
20003	1;1;1;1	3;3;3;3	49;49;49;49	5;5;5;5	5;5;5;5	0;0;0;0	1
20004	1;1;1;1	3;3;3;3	49;49;49;49	5;5;5;5	5;5;5;5	0;0;0;0	1
20005	1;1;1;1	3;3;3;3	49;49;49;49	5;5;5;5	5;5;5;5	0;0;0;0	1
20006	1;1;1;1	3;3;3;3	49;49;49;49	5;5;5;5	5;5;5;5	0;0;0;0	1
20007	1;1;1;1	3;3;3;3	49;49;49;49	5;5;5;5	5;5;5;5	0;0;0;0	1
20008	1;1;1;1	3;3;3;3	49;49;49;49	5;5;5;5	5;5;5;5	0;0;0;0	1
20009	1;1;1;1	3;3;3;3	49;49;49;49	5;5;5;5	5;5;5;5	0;0;0;0	1
20010	1;1;1;1	3;3;3;3	49;49;49;49	5;5;5;5	5;5;5;5	0;0;0;0	1
20011	2;2;2;2	3;3;3;3	52;52;46;46	10;10;10;10	5;5;5;5	0;0;0;0	1
20012	2;2;2;2	3;3;3;3	52;52;46;46	10;10;10;10	5;5;5;5	0;0;0;0	1
20013	2;2;2;2	3;3;3;3	52;52;46;46	10;10;10;10	5;5;5;5	0;0;0;0	1
20014	2;2;2;2	3;3;3;3	52;52;46;46	10;10;10;10	5;5;5;5	0;0;0;0	1
20015	2;2;2;2	3;3;3;3	52;52;46;46	10;10;10;10	5;5;5;5	0;0;0;0	1
20016	2;2;2;2	3;3;3;3	52;52;46;46	10;10;10;10	5;5;5;5	0;0;0;0	1
20017	2;2;2;2	3;3;3;3	52;52;46;46	10;10;10;10	5;5;5;5	0;0;0;0	1
20018	2;2;2;2	3;3;3;3	52;52;46;46	10;10;10;10	5;5;5;5	0;0;0;0	1
20019	2;2;2;2	3;3;3;3	52;52;46;46	10;10;10;10	5;5;5;5	0;0;0;0	1
