id	lineupId	cardSkin	relationLineupId	equipId	Station	catBall	status
int	int	int	int	int	int	int	int
999	101008;102008	10100801;10200801	103008;104008	0;0	1;2	0	1
10001	108006;117008	10800601;11700801		1001;0	1;2	1	1
10002	108006;102021	10800601;10202101		0;0	1;2	1	1
10207	103008	10300801		0	1	0	1
10111	101008;108008	10100801;10800801		0;0	1;2	1	1
10115	115008	11500801		0	1	0	1
10117	102008	10200801		0	1	0	1
10216	121008	12100801		0	1	0	1
10221	104003;101008	10400301;10100801		0	1;2	0	1
10320	115008	11500801		0	1	0	1
10604	107008	10700801		0	1	0	1
10606	113001	11300101		0	1	0	1
10811	109008	10900801		0	1	0	1
10901	109008	10900801		0	1	0	1
10307	102008	10200801		0	1	0	1
10309	130008	13000801		0	1	0	1
10314	904025	90402501		0	1	0	1
10413	904014	90401401		0	1	0	1
10418	101008	10100801		0	1	0	1
10501	101008	10100801		0	1	0	1
10601	102021	10202101		1002	1	0	1
10507	103008	10300801		0	1	0	1
10917	109008	10900801		999	1	0	1
11101	108008	10800801		0	1	1	1
20001	101008;102008;103008;104008	10100801;10200801;10300801;10400801	105008;106008;107008;108008	0;0;0;0	1;2;3;4	0	1
20002	101005;102007;103007;105006	10100501;10200701;10300701;10500601	904009;108008;104005;904001	0;0;0;0	1;2;3;4	0	1
20003	904010;112008;101008;114001	90401001;11200801;10100801;11400101	107008;106002;105008;102008	0;0;0;0	1;2;3;4	0	1
20004	904043;904041;106001;103002	90404301;90404101;10600101;10300201	101013;108006;107008;904001	0;0;0;0	1;2;3;4	0	1
20005	108008;106002;111002;112002	10800801;10600201;11100201;11200201	107001;904005;102008;101008	0;0;0;0	1;2;3;4	0	1
20006	904022;904026;904043;908002	90402201;90402601;90404301;90800201	101008;102007;103008;108008	0;0;0;0	1;2;3;4	0	1
20007	101011;104005;103021;107001	10101101;10400501;10302101;10700101	112008;111008;114008;904022	0;0;0;0	1;2;3;4	0	1
20008	113001;114001;106001;102008	11300101;11400101;10600101;10200801	101008;103008;904022;904009	0;0;0;0	1;2;3;4	0	1
20009	105006;104003;107005;904031	10500601;10400301;10700501;90403101	904034;111008;108008;114001	0;0;0;0	1;2;3;4	0	1
20010	101008;114001;904026;904025	10100801;11400101;90402601;90402501	904007;904043;103008;106008	0;0;0;0	1;2;3;4	0	1
20011	101008;102008;103008;104008	10100801;10200801;10300801;10400801	105008;106008;107008;108008	0;0;0;0	1;2;3;4	0	1
20012	101005;102007;103007;105006	10100501;10200701;10300701;10500601	904009;108008;104005;904001	0;0;0;0	1;2;3;4	0	1
20013	904010;112008;101008;114001	90401001;11200801;10100801;11400101	107008;106002;105008;102008	0;0;0;0	1;2;3;4	0	1
20014	904043;904041;106001;103002	90404301;90404101;10600101;10300201	101013;108006;107008;904001	0;0;0;0	1;2;3;4	0	1
20015	108008;106002;111002;112002	10800801;10600201;11100201;11200201	107001;904005;102008;101008	0;0;0;0	1;2;3;4	0	1
20016	904022;904026;904043;908002	90402201;90402601;90404301;90800201	101008;102007;103008;108008	0;0;0;0	1;2;3;4	0	1
20017	101011;104005;103021;107001	10101101;10400501;10302101;10700101	112008;111008;114008;904022	0;0;0;0	1;2;3;4	0	1
20018	113001;114001;106001;102008	11300101;11400101;10600101;10200801	101008;103008;904022;904009	0;0;0;0	1;2;3;4	0	1
20019	105006;104003;107005;904031	10500601;10400301;10700501;90403101	904034;111008;108008;114001	0;0;0;0	1;2;3;4	0	1
20020	101008;114001;904026;904025	10100801;11400101;90402601;90402501	904007;904043;103008;106008	0;0;0;0	1;2;3;4	0	1
20021	101008;102008;103008;104008	10100801;10200801;10300801;10400801	105008;106008;107008;108008	0;0;0;0	1;2;3;4	0	1
20022	101005;102007;103007;105006	10100501;10200701;10300701;10500601	904009;108008;104005;904001	0;0;0;0	1;2;3;4	0	1
