id	activetyId	regionLevel	type	unlockItem	unlockNum	unlockPlot	pos	endFlag	plotId	plotImage	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	plotDesc	plotDesc_zh_TW	plotDesc_en_UK	plotDesc_ja_JP	plotDesc_ko_KR	plotDesc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
101	1	1	1	0	0	0	8	1	3002010		1	序章	序章	Prologue	Chapter 0	프롤로그	บทนำ						
111	1	1	2	9000045	50	0	1	0	3002090	114:pt_bg_lock_004	1	艾可	艾可	Echo	アイコ	에코	เอคโค	嘿嘿~调查官快来看我的秘密武器！	嘿嘿~調查官快來看我的秘密武器！	Hehe, Inspector, check out my secret weapon!	へへ～調査官、アイコの秘密兵器を見てよ！	헤헤~ 조사관님, 어서 제 비밀 병기 좀 보세요!	ฮี​ฮี​~​ ผู้ตรวจการ​ รีบ​ๆ ​มา​ดู​อาวุธ​ลับ​ของ​เอคโค​สิ​!​
112	1	1	2	9000045	100	111	1	0	3002100	114:pt_bg_lock_004	1	艾可	艾可	Echo	アイコ	에코	เอคโค	好气啊！艾可要造出最厉害的水枪！	好氣啊！艾可要造出最厲害的水槍！	Ugh! I'll build the ultimate water blaster!	もうっ！アイコは絶対、最強の水鉄砲を作ってみせるんだから！	아, 분해! 에코는 반드시 가장 강력한 물총을 만들 거예요!	น่า​โมโห​​!​ เอ​ค​โค​ต้อง​ทำ​ปืน​ฉีด​น้ำ​ที่​เจ๋ง​ที่สุด​ออกมา​ให้ได้เลย​!​
113	1	1	2	9000045	150	112	1	0	3002110	114:pt_bg_lock_004	1	艾可	艾可	Echo	アイコ	에코	เอคโค	哼哼~超级超能水箭炮——准备发射！	哼哼~超級超能水箭炮——準備發射！	Heh heh… Super Ultra Aqua Cannon—fire!	ふふん～「スーパーウルトラウォーターキャノン」――発射準備！	흠흠~ 슈퍼 초에너지 워터 캐논——발사 준비!	หึฮึ่ม​~​ ซูเปอร์ปืนใหญ่พลังน้ำ​...​ เตรียม​ยิง​ได้​!​
114	1	1	2	9000045	200	113	1	1	3002120	114:pt_bg_lock_004	1	艾可	艾可	Echo	アイコ	에코	เอคโค	本天才发现离岛的秘密啦！	本天才發現離島的秘密啦！	Ha! I've uncovered Castaway Island's secret! Genius at work!	この天才アイコが、離島の秘密を見つけちゃったよ！	이 천재가 드디어 이도의 비밀을 발견했어요!	อัจฉริยะ​คน​นี้​ค้นพบ​ความลับ​ของ​เกาะ​นอก​ชายฝั่ง​แล้วล่ะ​!​
121	1	1	2	9000045	50	0	2	0	3002170	114:pt_bg_lock_003	1	南弥生	南彌生	Minami	南 弥生	미나미	มินามิ	浪头正劲，调查官要来冲浪吗？	浪頭正勁，調查官要來衝浪嗎？	The waves are perfect! Surf with me?	いい波が来てるよ、調査官。サーフィンしてみない？	파도가 딱 좋아요, 조사관님도 서핑해 보실래요?	คลื่น​แรง​กำลัง​ดี​เลย​ ผู้ตรวจการ​จะ​มา​ลอง​โต้คลื่น​หน่อยมั้ยล่ะ​?​
122	1	1	2	9000045	100	121	2	0	3002180	114:pt_bg_lock_003	1	南弥生	南彌生	Minami	南 弥生	미나미	มินามิ	我保证能教会你的，调查官。	我保證能教會你的，調查官。	Relax—I've got you, Inspector.	ちゃんと教えるから、大丈夫よ、調査官。	제가 꼭 가르쳐 드릴게요, 조사관님.	ฉัน​สัญญา​ว่า​สอน​คุณ​ได้​แน่นอนนะ​ ผู้ตรวจการ​
123	1	1	2	9000045	150	122	2	0	3002190	114:pt_bg_lock_003	1	南弥生	南彌生	Minami	南 弥生	미나미	มินามิ	调查官，来，伸手给我，浪来啦！	調查官，來，伸手給我，浪來啦！	Quick, grab my hand! Wave incoming!	調査官、ほら、手を！波が来るよ！	조사관님, 자, 손을 잡아요—파도 온다!	ผู้ตรวจการ​ มา​สิ​ ยื่นมือ​มา​ให้​ฉัน​ คลื่น​มา​แล้ว​!​
124	1	1	2	9000045	200	123	2	1	3002200	114:pt_bg_lock_003	1	南弥生	南彌生	Minami	南 弥生	미나미	มินามิ	哈哈，刺激吗？更大的浪要来咯~	哈哈，刺激嗎？更大的浪要來了~	Haha! Fun, right? Bigger one's coming!	ははっ、スリルあるでしょ？もっと大きい波が来るよ！	하하, 짜릿하죠? 더 큰 파도가 올 거예요~	ฮ่า​ๆ​ ตื่นเต้น​ดี​ใช่ไหม​ล่ะ​ คลื่น​ลูก​ใหญ่​กำลังจะ​มา​แล้ว​นะ​!​
