id	icon	uploadBgImage	status
int	int	int	int
1001	102:activity_tab_icon_1		1
1002	102:activity_tab_icon_3		1
1003	102:activity_tab_icon_2		1
1004	102:activity_tab_icon_4		1
1005	102:activity_tab_icon_5		1
1006	102:activity_tab_icon_6		1
1007	102:activity_tab_icon_4		1
1008	102:activity_tab_icon_5		1
1010	102:activity_tab_icon_5		1
1011	102:activity_tab_icon_3		1
1012	102:activity_tab_icon_4		1
1013	102:activity_tab_icon_11		1
1014	102:activity_tab_icon_7		1
1015	102:activity_tab_icon_7		1
1101	102:activity_tab_icon_4		1
1102	102:activity_tab_icon_4		1
1103	102:activity_tab_icon_4		1
1104	102:activity_tab_icon_4		1
1105	102:activity_tab_icon_4		1
1106	102:activity_tab_icon_4		1
1107	102:activity_tab_icon_4		1
1108	102:activity_tab_icon_4		1
1109	102:activity_tab_icon_4		1
1110	102:activity_tab_icon_7		1
1201	102:activity_tab_icon_4		1
1202	102:activity_tab_icon_4		1
1203	102:activity_tab_icon_4		1
1204	102:activity_tab_icon_4		1
1205	102:activity_tab_icon_4		1
1206	102:activity_tab_icon_4		1
1207	102:activity_tab_icon_4		1
1208	102:activity_tab_icon_4		1
1209	102:activity_tab_icon_4		1
1210	102:activity_tab_icon_4		1
1211	102:activity_tab_icon_8		1
1212	102:activity_tab_icon_8		1
1213	102:activity_tab_icon_8		1
1214	102:activity_tab_icon_8		1
1215	102:activity_tab_icon_4		1
1216	102:activity_tab_icon_8		1
1218	102:activity_tab_icon_8		1
5011			1
9000	102:activity_tab_icon_5		1
9001	102:activity_tab_icon_5		1
10001	102:activity_tab_icon_1		1
10002	102:activity_tab_icon_2		1
10003	102:activity_tab_icon_3		1
10004	102:activity_tab_icon_4		1
10005	102:activity_tab_icon_5		1
20001	102:activity_tab_icon_5		1
112000	102:activity_tab_icon_4		1
112001	102:activity_tab_icon_4		1
112002	102:activity_tab_icon_4		1
112003	102:activity_tab_icon_4		1
100001	102:activity_tab_icon_4		1
100002	102:activity_tab_icon_4		1
100003	102:activity_tab_icon_4		1
100004	102:activity_tab_icon_4		1
110001	102:activity_tab_icon_4		1
110002	102:activity_tab_icon_4		1
110003	102:activity_tab_icon_4		1
120001	102:activity_tab_icon_4		1
120002	102:activity_tab_icon_4		1
120003	102:activity_tab_icon_4		1
120004	102:activity_tab_icon_4		1
120005	102:activity_tab_icon_4		1
120006	102:activity_tab_icon_4		1
120007	102:activity_tab_icon_4		1
120008	102:activity_tab_icon_4		1
120009	102:activity_tab_icon_4		1
120010	102:activity_tab_icon_4		1
120011	102:activity_tab_icon_4		1
120012	102:activity_tab_icon_4		1
120013	102:activity_tab_icon_4		1
120014	102:activity_tab_icon_4		1
122801	102:activity_tab_icon_4		1
120501	102:activity_tab_icon_4		1
130101	102:activity_tab_icon_4		1
14001	102:activity_tab_icon_4		1
130201	102:activity_tab_icon_4		1
110004	102:activity_tab_icon_4		1
113001	102:activity_tab_icon_7		1
113002	102:activity_tab_icon_7		1
113003	102:activity_tab_icon_4		1
113004			1
113005	102:activity_tab_icon_6		1
113006			1
113007			1
113008	102:activity_tab_icon_6		1
113009	102:activity_tab_icon_6		1
113010	102:activity_tab_icon_4		1
140001	102:activity_tab_icon_7		1
140002	102:activity_tab_icon_7		1
140003	102:activity_tab_icon_7		1
140004	102:activity_tab_icon_7		1
150001			1
150002			1
150003			1
150004			1
150005			1
150006			1
120015	102:activity_tab_icon_4		1
120016			1
100103			1
120017			1
120018	102:activity_tab_icon_4		1
120019			1
120020	102:activity_tab_icon_4		1
110005	102:activity_tab_icon_4		1
120021			1
120022	102:activity_tab_icon_7		1
120023			1
120024			1
120025	102:activity_tab_icon_7		1
120026	102:activity_tab_icon_7		1
120027	102:activity_tab_icon_7		1
120029			1
120030	102:activity_tab_icon_4		1
120031			1
101601	102:activity_tab_icon_7		1
120032	102:activity_tab_icon_7		1
120033	102:activity_tab_icon_7		1
120035	102:activity_tab_icon_7		1
120037	102:activity_tab_icon_7		1
