value	CN	US	TW	HK	SG	JP	KR	PH	AU	NZ	ZM	TH	MY	MM	LA	KH	BN	ID	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	1	0.16	5	1.3	0.48	50	500	19	0.49	0.49	500	1	1	1	1	1	1	1	1
180	180	29	900	234	28	1800	1800	1450	88	88	1800	1000	128	1000	1000	1000	1000	399000 	1
360	360	58	1800	468	56	3600	3600	2900	176	176	3600	2000	256	2000	2000	2000	2000	799000 	1
540	540	86	2700	702	84	5400	5400	4300	265	265	5400	3000	380	3000	3000	3000	3000	1199000 	1
900	900	144	4500	1170	140	9000	9000	7200	441	441	9000	5000	640	5000	5000	5000	5000	1999000 	1
2000	2000	320	10000	2600	315	20000	20000	16000	980	980	20000	11500	1400	11500	11500	11500	11500	4449000 	1
2800	2800	448	14000	3640	440	28000	28000	22400	1372	1372	28000	15750	2000	15750	15750	15750	15750	6299000 	1
3500	3500	560	17500	4550	550	35000	35000	28000	1715	1715	35000	20000	2500	20000	20000	20000	20000	7799000 	1
5300	5300	848	26500	6890	830	53000	53000	42400	2597	2597	53000	30000	3750	30000	30000	30000	30000	11799000 	1
8200	8200	1312	41000	10660	1300	82000	82000	65600	4018	4018	82000	46000	5800	46000	46000	46000	46000	18199000 	1
