id	storyId	groupId	people	jumpId	choiceOneId	choiceTwoId	choiceThreeId	faceId	action	time	timeLine	music	sound	voice	voiceLady	end	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	1	1	1		2	7	15	200502	3					coffee_love_101008_01_01	coffee_love_101008_01_01		1
2	1	2	1	3					4					coffee_love_101008_01_02	coffee_love_101008_01_02		1
3	1	3	3	4													1
4	1	4	1	5				200201	3	4				coffee_love_101008_01_03	coffee_love_101008_01_03		1
5	1	5	3	6													1
6	1	6	1											coffee_love_101008_01_04	coffee_love_101008_01_04	1	1
7	1	7	1	8					4					coffee_love_101008_01_05	coffee_love_101008_01_05		1
8	1	8	3	9													1
9	1	9	1	10				200502	1					coffee_love_101008_01_06	coffee_love_101008_01_06		1
10	1	10	3	11													1
11	1	11	3	12													1
12	1	12	1	13					3	6				coffee_love_101008_01_07	coffee_love_101008_01_07		1
13	1	13	3	14													1
14	1	14	1											coffee_love_101008_01_08	coffee_love_101008_01_08	1	1
15	1	15	1	16				200502	1	3				coffee_love_101008_01_09	coffee_love_101008_01_09		1
16	1	16	3	17													1
17	1	17	3	18													1
18	1	18	1	19										coffee_love_101008_01_10	coffee_love_101008_01_10		1
19	1	19	3	20													1
20	1	20	1	21					1					coffee_love_101008_01_11	coffee_love_101008_01_11		1
21	1	21	3	22													1
22	1	22	1	23					3					coffee_love_101008_01_12	coffee_love_101008_01_12		1
23	1	23	3	24													1
24	1	24	1	25					2	9				coffee_love_101008_01_13	coffee_love_101008_01_13		1
25	1	25	3													1	1
26	1	26	1						1					coffee_love_101008_01_14	coffee_love_101008_01_14		1
27	2	1	1		2	11	24	200502	1					coffee_love_101008_02_01	coffee_love_101008_02_01		1
28	2	2	1	3					3					coffee_love_101008_02_02	coffee_love_101008_02_02		1
29	2	3	3	4													1
30	2	4	1	5				200502	1					coffee_love_101008_02_03	coffee_love_101008_02_03		1
31	2	5	3	6													1
32	2	6	3	7													1
