id	storyId	npcId	drink	food	status
int	int	int	int	int	int
1	2	101	421012	421000	1
2	1	101	421012	421001	1
3	1	101	421012	421002	1
4	1	101	421013	421002	1
5	1	101	421013	421000	1
6	3	101	421013	421001	1
7	1	101	421014	421000	1
8	1	101	421014	421001	1
9	4	101	421014	421002	1
10	6	102	421018	421006	1
11	5	102	421018	421007	1
12	5	102	421018	421008	1
13	5	102	421019	421006	1
14	7	102	421019	421007	1
15	5	102	421019	421008	1
16	5	102	421020	421006	1
17	5	102	421020	421007	1
18	8	102	421020	421008	1
19	10	103	421015	421003	1
20	9	103	421015	421004	1
21	9	103	421015	421005	1
22	9	103	421016	421003	1
23	11	103	421016	421004	1
24	9	103	421016	421005	1
25	9	103	421017	421003	1
26	9	103	421017	421004	1
27	12	103	421017	421005	1
28	14	104	421021	421009	1
29	13	104	421021	421010	1
30	13	104	421021	421011	1
31	13	104	421022	421009	1
32	15	104	421022	421010	1
33	13	104	421022	421011	1
34	13	104	421023	421009	1
35	13	104	421023	421010	1
36	16	104	421023	421011	1
37	17	105	421036	421024	1
38	19	105	421036	421025	1
39	17	105	421036	421026	1
40	18	105	421037	421024	1
41	17	105	421037	421025	1
42	17	105	421037	421026	1
43	17	105	421038	421024	1
44	17	105	421038	421025	1
45	20	105	421038	421026	1
46	23	106	421039	421027	1
47	21	106	421039	421028	1
48	21	106	421039	421029	1
49	21	106	421040	421027	1
50	24	106	421040	421028	1
51	21	106	421040	421029	1
52	21	106	421041	421027	1
53	21	106	421041	421028	1
54	22	106	421041	421029	1
55	25	107	421042	421030	1
56	25	107	421042	421031	1
57	26	107	421042	421032	1
58	27	107	421043	421030	1
59	25	107	421043	421031	1
60	25	107	421043	421032	1
61	25	107	421044	421030	1
62	28	107	421044	421031	1
63	25	107	421044	421032	1
64	29	108	421045	421033	1
65	30	108	421045	421034	1
66	29	108	421045	421035	1
67	29	108	421046	421033	1
68	29	108	421046	421034	1
69	31	108	421046	421035	1
70	32	108	421047	421033	1
71	29	108	421047	421034	1
72	29	108	421047	421035	1
73	34	109	421047	421026	1
74	33	109	421047	421001	1
75	33	109	421047	421025	1
76	33	109	421044	421026	1
77	35	109	421044	421001	1
78	33	109	421044	421025	1
79	33	109	421023	421026	1
80	33	109	421023	421001	1
81	36	109	421023	421025	1
