phoneId	id	status
string	string	int
101	101_2,102_2,103_3,104_3,105_4,106_4,107_5,108_5,109_6,110_6,111_7,112_7	1
102	201_2,202_2,203_3,204_3,205_4,206_4,207_5,208_5,209_6,210_6,211_7,212_7	1
103	301_2,302_2,303_3,304_3,305_4,306_4,307_5,308_5,309_6,310_6,311_7,312_7	1
104	401_2,402_2,403_3,404_3,405_4,406_4,407_5,408_5,409_6,410_6,411_7,412_7	1
105	501_2,502_2,503_3,504_3,505_4,506_4,507_5,508_5,509_6,510_6,511_7,512_7	1
106	601_2,602_2,603_3,604_3,605_4,606_4,607_5,608_5,609_6,610_6,611_7,612_7	1
107	701_2,702_2,703_3,704_3,705_4,706_4,707_5,708_5,709_6,710_6,711_7,712_7	1
108	801_1,802_1,803_1,804_2,805_2,806_3,807_3,808_4,809_4,810_5,811_5,812_6,813_6,814_7,815_7	1
109	901_2,902_2,903_3,904_3,905_4,906_4,907_5,908_5,909_6,910_6,911_7,912_7	1
