id	type	love	catLoveId	status
int	int	int	int	int
421000	2	30	101	1
421001	2	60	101;109	1
421002	2	120	101	1
421003	2	30	103	1
421004	2	60	103	1
421005	2	120	103	1
421006	2	30	102	1
421007	2	60	102	1
421008	2	120	102	1
421009	2	30	104	1
421010	2	60	104	1
421011	2	120	104	1
421012	1	20	101	1
421013	1	40	101	1
421014	1	80	101	1
421015	1	20	103	1
421016	1	40	103	1
421017	1	80	103	1
421018	1	20	102	1
421019	1	40	102	1
421020	1	80	102	1
421021	1	20	104	1
421022	1	40	104	1
421023	1	80	104;109	1
421024	2	30	105	1
421025	2	60	105;109	1
421026	2	120	105;109	1
421027	2	30	106	1
421028	2	60	106	1
421029	2	120	106	1
421030	2	30	107	1
421031	2	60	107	1
421032	2	120	107	1
421033	2	30	108	1
421034	2	60	108	1
421035	2	120	108	1
421036	1	20	105	1
421037	1	40	105	1
421038	1	80	105	1
421039	1	20	106	1
421040	1	40	106	1
421041	1	80	106	1
421042	1	20	107	1
421043	1	40	107	1
421044	1	80	107;109	1
421045	1	20	108	1
421046	1	40	108	1
421047	1	80	108;109	1
