id	voicecode	voicecodeLady	people	action	specialEffects	face	scene	status
int	int	int	int	int	int	int	int	int
101	vo_order_101_02	vo_order_101_02	101	1			2	1
102	vo_order_101_03	vo_order_101_03	101	1			2	1
103	vo_order_101_04	vo_order_101_04	101	1			3	1
104	vo_order_101_05	vo_order_101_05	101	1			3	1
105	vo_order_101_06	vo_order_101_06	101	1			4	1
106	vo_order_101_07	vo_order_101_07	101	1			4	1
107	vo_order_101_08	vo_order_101_08	101	1			5	1
108	vo_order_101_09	vo_order_101_09	101	1			5	1
109	vo_order_101_10	vo_order_101_10	101	1			6	1
110	vo_order_101_11	vo_order_101_11	101	1			6	1
111	vo_order_101_12	vo_order_101_12	101	1			7	1
112	vo_order_101_13	vo_order_101_13	101	1			7	1
201	vo_order_102_02	vo_order_102_02	102	1			2	1
202	vo_order_102_03	vo_order_102_03	102	1			2	1
203	vo_order_102_04	vo_order_102_04	102	1			3	1
204	vo_order_102_05	vo_order_102_05	102	1			3	1
205	vo_order_102_06	vo_order_102_06	102	1			4	1
206	vo_order_102_07	vo_order_102_07	102	1			4	1
207	vo_order_102_08	vo_order_102_08	102	1			5	1
208	vo_order_102_09	vo_order_102_09	102	1			5	1
209	vo_order_102_10	vo_order_102_10	102	1			6	1
210	vo_order_102_11	vo_order_102_11	102	1			6	1
211	vo_order_102_12	vo_order_102_12	102	1			7	1
212	vo_order_102_13	vo_order_102_13	102	1			7	1
301	vo_order_103_02	vo_order_103_02	103	1			2	1
302	vo_order_103_03	vo_order_103_03	103	1			2	1
303	vo_order_103_04	vo_order_103_04	103	1			3	1
304	vo_order_103_05	vo_order_103_05	103	1			3	1
305	vo_order_103_06	vo_order_103_06	103	1			4	1
306	vo_order_103_07	vo_order_103_07	103	1			4	1
307	vo_order_103_08	vo_order_103_08	103	1			5	1
308	vo_order_103_09	vo_order_103_09	103	1			5	1
309	vo_order_103_10	vo_order_103_10	103	1			6	1
310	vo_order_103_11	vo_order_103_11	103	1			6	1
311	vo_order_103_12	vo_order_103_12	103	1			7	1
312	vo_order_103_13	vo_order_103_13	103	1			7	1
401	vo_order_104_02	vo_order_104_02	104	1			2	1
402	vo_order_104_03	vo_order_104_03	104	1			2	1
403	vo_order_104_04	vo_order_104_04	104	1			3	1
404	vo_order_104_05	vo_order_104_05	104	1			3	1
405	vo_order_104_06	vo_order_104_06	104	1			4	1
406	vo_order_104_07	vo_order_104_07	104	1			4	1
407	vo_order_104_08	vo_order_104_08	104	1			5	1
408	vo_order_104_09	vo_order_104_09	104	1			5	1
409	vo_order_104_10	vo_order_104_10	104	1			6	1
410	vo_order_104_11	vo_order_104_11	104	1			6	1
411	vo_order_104_12	vo_order_104_12	104	1			7	1
412	vo_order_104_13	vo_order_104_13	104	1			7	1
501	vo_order_105_02	vo_order_105_02	105	1			2	1
502	vo_order_105_03	vo_order_105_03	105	1			2	1
503	vo_order_105_04	vo_order_105_04	105	1			3	1
504	vo_order_105_05	vo_order_105_05	105	1			3	1
505	vo_order_105_06	vo_order_105_06	105	1			4	1
506	vo_order_105_07	vo_order_105_07	105	1			4	1
507	vo_order_105_08	vo_order_105_08	105	1			5	1
508	vo_order_105_09	vo_order_105_09	105	1			5	1
509	vo_order_105_10	vo_order_105_10	105	1			6	1
510	vo_order_105_11	vo_order_105_11	105	1			6	1
511	vo_order_105_12	vo_order_105_12	105	1			7	1
512	vo_order_105_13	vo_order_105_13	105	1			7	1
601	vo_order_106_02	vo_order_106_15	106	1			2	1
602	vo_order_106_03	vo_order_106_03	106	1			2	1
603	vo_order_106_04	vo_order_106_16	106	1			3	1
604	vo_order_106_05	vo_order_106_05	106	1			3	1
605	vo_order_106_06	vo_order_106_06	106	1			4	1
606	vo_order_106_07	vo_order_106_07	106	1			4	1
607	vo_order_106_08	vo_order_106_08	106	1			5	1
