id	storyId	groupId	people	jumpId	faceId	action	time	music	sound	voice	voiceLady	end	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	1	1	1	2	200502	3				coffee_101008_01_01	coffee_101008_01_01		1
2	1	2	3	3									1
3	1	3	1	4		1				coffee_101008_01_02	coffee_101008_01_02		1
4	1	4	1	5						coffee_101008_01_03	coffee_101008_01_03		1
5	1	5	3	6									1
6	1	6	1	7	200101	4	4			coffee_101008_01_04	coffee_101008_01_04		1
7	1	7	3									1	1
8	2	1	1	2	200601	1				coffee_101008_02_01	coffee_101008_02_01		1
9	2	2	3	3									1
10	2	3	1	4	200502	3				coffee_101008_02_02	coffee_101008_02_02		1
11	2	4	3	5									1
12	2	5	1	6	200601	1				coffee_101008_02_03	coffee_101008_02_03		1
13	2	6	1	7	200201	1				coffee_101008_02_04	coffee_101008_02_04		1
14	2	7	3	8									1
15	2	8	1	9	200601	1	6			coffee_101008_02_05	coffee_101008_02_05		1
16	2	9	3	10									1
17	2	10	3	11									1
18	2	11	3	12									1
19	2	12	1	13	200502	1				coffee_101008_02_06	coffee_101008_02_06		1
20	2	13	3									1	1
21	3	1	1	2	201302	1	3			coffee_101008_03_01	coffee_101008_03_01		1
22	3	2	3	3									1
23	3	3	1	4	200701	3	2			coffee_101008_03_02	coffee_101008_03_02		1
24	3	4	3	5									1
25	3	5	1	6						coffee_101008_03_03	coffee_101008_03_03		1
26	3	6	3	7									1
27	3	7	3	8	200601	1				coffee_101008_03_04	coffee_101008_03_04		1
28	3	8	1	9									1
29	3	9	1	10	200601	1				coffee_101008_03_05	coffee_101008_03_05		1
30	3	10	3	11									1
31	3	11	1	12	201001	1				coffee_101008_03_06	coffee_101008_03_06		1
32	3	12	3	13									1
33	3	13	1			1				coffee_101008_03_07	coffee_101008_03_07	1	1
34	4	1	1	2	200502	1				coffee_101008_04_01	coffee_101008_04_01		1
35	4	2	3	3									1
36	4	3	1	4	200601	3				coffee_101008_04_02	coffee_101008_04_02		1
37	4	4	3	5									1
38	4	5	1	6	200601	3				coffee_101008_04_03	coffee_101008_04_03		1
39	4	6	3	7									1
40	4	7	3	8									1
