phoneId	id	status
string	string	int
1_1	1	1
1_2	2	1
1_3	3	1
1_4	4	1
1_5	5	1
1_6	6	1
1_7	7	1
2_1	8	1
2_2	9	1
2_3	10	1
2_4	11	1
2_5	12	1
2_6	13	1
2_7	14	1
2_8	15	1
2_9	16	1
2_10	17	1
2_11	18	1
2_12	19	1
2_13	20	1
3_1	21	1
3_2	22	1
3_3	23	1
3_4	24	1
3_5	25	1
3_6	26	1
3_7	27	1
3_8	28	1
3_9	29	1
3_10	30	1
3_11	31	1
3_12	32	1
3_13	33	1
4_1	34	1
4_2	35	1
4_3	36	1
4_4	37	1
4_5	38	1
4_6	39	1
4_7	40	1
4_8	41	1
4_9	42	1
4_10	43	1
4_11	44	1
4_12	45	1
4_13	46	1
5_1	47	1
5_2	48	1
5_3	49	1
5_4	50	1
5_5	51	1
5_6	52	1
5_7	53	1
5_8	54	1
5_9	55	1
6_1	56	1
6_2	57	1
6_3	58	1
6_4	59	1
6_5	60	1
6_6	61	1
6_7	62	1
6_8	63	1
6_9	64	1
6_10	65	1
7_1	66	1
7_2	67	1
7_3	68	1
7_4	69	1
7_5	70	1
7_6	71	1
7_7	72	1
8_1	73	1
8_2	74	1
8_3	75	1
8_4	76	1
8_5	77	1
8_6	78	1
8_7	79	1
8_8	80	1
9_1	81	1
9_2	82	1
9_3	83	1
9_4	84	1
9_5	85	1
9_6	86	1
9_7	87	1
9_8	88	1
9_9	89	1
9_10	90	1
9_11	91	1
9_12	92	1
9_13	93	1
9_14	94	1
10_1	95	1
10_2	96	1
10_3	97	1
10_4	98	1
10_5	99	1
10_6	100	1
10_7	101	1
10_8	102	1
10_9	103	1
10_10	104	1
11_1	105	1
11_2	106	1
11_3	107	1
11_4	108	1
11_5	109	1
11_6	110	1
11_7	111	1
11_8	112	1
12_1	113	1
12_2	114	1
12_3	115	1
12_4	116	1
12_5	117	1
12_6	118	1
12_7	119	1
12_8	120	1
12_9	121	1
12_10	122	1
12_11	123	1
12_12	124	1
