id	voicecode	voicecodeLady	people	action	specialEffects	body	status
int	int	int	int	int	int	int	int
1	vo_coffeeTrigger_101_02	vo_coffeeTrigger_101_02	101	1		1	1
2	vo_coffeeTrigger_101_01	vo_coffeeTrigger_101_01	101	2		2	1
3	vo_coffeeTrigger_101_03	vo_coffeeTrigger_101_03	101	3		3	1
4	vo_coffeeTrigger_101_04	vo_coffeeTrigger_101_04	101	4		4	1
5	vo_coffeeTrigger_102_02	vo_coffeeTrigger_102_02	102	1		1	1
6	vo_coffeeTrigger_102_01	vo_coffeeTrigger_102_01	102	2		2	1
7	vo_coffeeTrigger_102_03	vo_coffeeTrigger_102_03	102	3		3	1
8	vo_coffeeTrigger_102_04	vo_coffeeTrigger_102_04	102	4		4	1
9	vo_coffeeTrigger_103_02	vo_coffeeTrigger_103_02	103	1		1	1
10	vo_coffeeTrigger_103_01	vo_coffeeTrigger_103_01	103	2		2	1
11	vo_coffeeTrigger_103_03	vo_coffeeTrigger_103_03	103	3		3	1
12	vo_coffeeTrigger_103_04	vo_coffeeTrigger_103_04	103	4		4	1
13	vo_coffeeTrigger_104_02	vo_coffeeTrigger_104_02	104	1		1	1
14	vo_coffeeTrigger_104_01	vo_coffeeTrigger_104_01	104	2		2	1
15	vo_coffeeTrigger_104_03	vo_coffeeTrigger_104_03	104	3		3	1
16	vo_coffeeTrigger_104_04	vo_coffeeTrigger_104_04	104	4		4	1
17	vo_coffeeTrigger_105_01	vo_coffeeTrigger_105_01	105	1		1	1
18	vo_coffeeTrigger_105_02	vo_coffeeTrigger_105_02	105	2		2	1
19	vo_coffeeTrigger_105_03	vo_coffeeTrigger_105_03	105	3		3	1
20	vo_coffeeTrigger_105_04	vo_coffeeTrigger_105_04	105	4		4	1
21	vo_coffeeTrigger_106_01	vo_coffeeTrigger_106_05	106	1		1	1
22	vo_coffeeTrigger_106_02	vo_coffeeTrigger_106_02	106	2		2	1
23	vo_coffeeTrigger_106_03	vo_coffeeTrigger_106_03	106	3		3	1
24	vo_coffeeTrigger_106_04	vo_coffeeTrigger_106_06	106	4		4	1
25	vo_coffeeTrigger_107_01	vo_coffeeTrigger_107_01	107	1		1	1
26	vo_coffeeTrigger_107_02	vo_coffeeTrigger_107_02	107	2		2	1
27	vo_coffeeTrigger_107_03	vo_coffeeTrigger_107_03	107	3		3	1
28	vo_coffeeTrigger_107_04	vo_coffeeTrigger_107_04	107	4		4	1
29	vo_coffeeTrigger_108_02	vo_coffeeTrigger_108_02	108	1		1	1
30	vo_coffeeTrigger_108_01	vo_coffeeTrigger_108_01	108	2		2	1
31	vo_coffeeTrigger_108_03	vo_coffeeTrigger_108_03	108	3	coffeeEffect_108_01	3	1
32	vo_coffeeTrigger_108_04	vo_coffeeTrigger_108_04	108	4	coffeeEffect_108_02	4	1
33	vo_coffeeTrigger_109_02	vo_coffeeTrigger_109_02	109	1		1	1
34	vo_coffeeTrigger_109_01	vo_coffeeTrigger_109_01	109	2		2	1
35	vo_coffeeTrigger_109_03	vo_coffeeTrigger_109_03	109	3		3	1
36	vo_coffeeTrigger_109_04	vo_coffeeTrigger_109_04	109	4		4	1
